family,config,tf,stop%,target%,max_hold_h,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,verdict,n_long_events,n_short_events,realized_cost_bps,gross_edge_bps
B-stopping-volume,K>=6 wick-upper50% stop1.0xATR tgt3xstop hold24h,15m,0.36130660519972224,1.0839198155991667,24,665,-9.089320811214693,22.706766917293233,-60.44398339457771,-60.495703618245976,215,-9.765784660112184,24.186046511627907,-20.9964370192412,-24.79459071639348,0.25,2.4008522727272728,FAIL,1056,931,6.8411799452732165,-2.41341328356984
B-stopping-volume,K>=6 wick-upper50% stop1.5xATR tgt2xstop hold8h,15m,0.5419599077995834,1.0839198155991667,8,942,-7.514720749497978,34.50106157112526,-70.78866946027095,-71.0547428913197,292,-9.94203099068027,33.21917808219178,-29.030730492786383,-32.62453340725801,1.0,2.4173419773095626,FAIL,1056,931,5.379675969735896,-2.709416408955945
B-stopping-volume,K>=6 wick-upper50% stop1.5xATR tgt2xstop hold24h,15m,0.5419599077995834,1.0839198155991667,24,665,-10.616650642816248,28.57142857142857,-70.60072677472806,-70.60072677472805,215,-11.163725269854991,31.627906976744185,-24.002009330188233,-28.596016082046123,1.0,3.3363636363636364,FAIL,1056,931,5.860774232299935,-4.88953668871328
B-stopping-volume,K>=6 wick-upper50% stop1.5xATR tgt3xstop hold8h,15m,0.5419599077995834,1.62587972339875,8,942,-7.7467703909739525,30.997876857749468,-72.97457708297463,-73.92885917578111,292,-10.406819616877817,27.73972602739726,-30.38791328128323,-34.78463084313177,1.5,2.8877633711507293,FAIL,1056,931,5.504772551818437,-2.8714422264844686
B-stopping-volume,K>=6 wick-upper50% stop1.5xATR tgt3xstop hold24h,15m,0.5419599077995834,1.62587972339875,24,665,-11.234636556577648,22.406015037593985,-74.71033310124136,-74.78651475130205,215,-5.765841489554103,27.906976744186046,-12.396559202541324,-21.84672591179429,1.25,4.344602272727273,FAIL,1056,931,5.878688481544167,-4.0198220075220465
B-stopping-volume,K>=10 wick-upper40% stop1.0xATR tgt2xstop hold8h,15m,0.36130660519972224,0.7226132103994445,8,372,-8.883023865028669,32.795698924731184,-33.044848777906644,-33.40893200721756,77,-22.386582045475663,19.480519480519483,-17.237668175016264,-17.23766817501626,0.25,1.0952115812917596,FAIL,305,255,7.21034380059335,-3.988435030792598
B-stopping-volume,K>=10 wick-upper40% stop1.0xATR tgt2xstop hold24h,15m,0.36130660519972224,0.7226132103994445,24,309,-9.359826418723348,31.715210355987054,-28.92186363385515,-29.644627336789064,72,-20.009902659222387,22.22222222222222,-14.407129914640116,-14.987558930092282,0.25,1.370734908136483,FAIL,305,255,7.504924256247146,-3.867514995326414
B-stopping-volume,K>=10 wick-upper40% stop1.0xATR tgt3xstop hold8h,15m,0.36130660519972224,1.0839198155991667,8,372,-9.088278119173923,26.881720430107524,-33.808394603326995,-33.96430442404358,77,-24.534761454187347,12.987012987012985,-18.89176631972426,-18.89176631972426,0.25,1.505011135857461,FAIL,305,255,7.556342066097961,-4.18088753814508
B-stopping-volume,K>=10 wick-upper40% stop1.0xATR tgt3xstop hold24h,15m,0.36130660519972224,1.0839198155991667,24,309,-9.852739717267756,24.271844660194176,-30.444965726357363,-30.999641470959894,72,-22.15590140795914,15.277777777777779,-15.95224901373058,-16.820753964823812,0.25,2.073490813648294,FAIL,305,255,7.939814252661831,-4.237932398279888
B-stopping-volume,K>=10 wick-upper40% stop1.5xATR tgt2xstop hold8h,15m,0.5419599077995834,1.0839198155991667,8,372,-11.117171758304849,33.33333333333333,-41.35587894089403,-41.35587894089404,77,-25.390905426445023,22.07792207792208,-19.55099717836267,-20.567605269071272,0.75,2.1174832962138086,FAIL,305,255,6.726791119563547,-6.8382146976428455
