window,arm,instrument,control,trades,per_week,win_rate,mean_r,net,acct_per_week,lev_med,lev_hi,size_med,open,held_out
12 months,"LAYERED: + weekly close, engulf pattern only",BOOK,reversed,28,0.5384615384615384,25.0,-0.28420194848655644,-37740.19624130666,-0.0018144325116012815,15.156746537817245,45.65862310384713,1.2,2,0
12 months,LAYERED: + weekly close + top-down layers,BOOK,none,6,0.11538461538461539,33.333333333333336,0.2992496513434943,6496.596774130334,0.00031233638337165064,18.258014437046942,27.55072429906502,1.3333333333333333,1,0
12 months,LAYERED: + weekly close + top-down layers,BOOK,reversed,5,0.09615384615384616,20.0,-0.42792076901069065,-8105.7519587858915,-0.00038969961340316786,16.831456070242673,27.55072429906502,1.3333333333333333,1,0
12 months,"LAYERED: + weekly close, his engulf floor at 3",BOOK,none,3,0.057692307692307696,33.333333333333336,-0.03824230796202932,623.7821016700327,2.9989524118751573e-05,15.096158533986749,17.633802558869068,1.6,0,0
12 months,"LAYERED: + weekly close, his engulf floor at 3",BOOK,reversed,3,0.057692307692307696,33.333333333333336,0.35504447956796614,4485.588468775926,0.00021565329176807338,15.096158533986749,17.633802558869068,1.6,0,0
12 months,"LAYERED: + weekly close, head and shoulders only",BOOK,none,7,0.1346153846153846,14.285714285714286,-0.5687152047055173,-17007.738856077325,-0.0008176797526960253,9.414701313644505,14.414895600536473,1.2,0,0
12 months,"LAYERED: + weekly close, head and shoulders only",BOOK,reversed,6,0.11538461538461539,16.666666666666668,-0.540892635844025,-9659.69755940773,-0.000464408536509987,10.216708299391744,14.414895600536473,1.2,1,0
5 years,"step470 spine (engulf, flat 1:2)",BOOK,none,703,2.6643205197617763,34.56614509246088,-0.022924775291755108,-89085.22419327988,-0.0008440668237046009,7.175019737372259,32.61330221703368,1.0,0,4
5 years,+ head and shoulders only,BOOK,none,203,0.7693557119653492,32.01970443349754,-0.06850033395168764,-45811.138924496285,-0.0004340524803349676,4.635281020907038,40.43435138121764,1.0,0,15
5 years,+ structure FILTER only (his newest),BOOK,none,460,1.7433676231727127,34.130434782608695,-0.04269115844539581,-75210.63928784277,-0.0007126075731116668,7.689092004009756,32.678482395395974,1.0,0,1
5 years,+ structure RIDE only (hold to the level),BOOK,none,440,1.6675690308608555,31.136363636363637,0.00067545051645917,-26453.948674930973,-0.00025064650883123554,7.646981734106549,32.67848239539597,1.0,1,1
5 years,+ quality-weighted size only,BOOK,none,703,2.6643205197617763,34.56614509246088,-0.02292477529175511,-133530.48760862468,-0.001265177873931203,9.302281683392176,45.65862310384713,1.2,0,4
5 years,+ his rejection candle only,BOOK,none,980,3.7141310232809968,35.0,-0.029749114344133215,-132545.12191681287,-0.0012558417073872362,8.081113096802532,36.962040072862436,1.0,0,4
5 years,+ rejection with no level under it,BOOK,none,1183,4.483486735246346,34.404057480980555,-0.05498778103146948,-203559.86786004738,-0.0019286939293724037,8.406644295301644,37.05856451612515,1.0,0,5
5 years,step472 engulf spine,BOOK,none,440,1.6675690308608555,31.136363636363637,0.0006754505164591055,-13833.969078952563,-0.00013107442278379526,9.63093050340979,45.65862310384713,1.2,1,1
5 years,step472 head and shoulders,BOOK,none,101,0.38278289117487824,27.722772277227723,-0.12347374521460416,-45014.616507409824,-0.00042650557058996865,7.529529988572207,48.52122165746116,1.2,0,0
5 years,step472 BOTH PATTERNS,BOOK,none,461,1.7471575527883054,30.15184381778742,-0.03459849620687364,-85747.79343254337,-0.0008124452545043363,9.537835524352017,48.52122165746117,1.2,1,1
5 years,"step472 BOTH, engulf trigger only",BOOK,none,461,1.7471575527883054,30.15184381778742,-0.03459849620687364,-85747.79343254337,-0.0008124452545043363,9.537835524352017,48.52122165746117,1.2,1,1
5 years,"step472 BOTH, engulf trigger, flat size",BOOK,none,461,1.7471575527883054,30.15184381778742,-0.03459849620687363,-74570.16830515195,-0.0007065392232485973,7.584367362053593,40.43435138121764,1.0,1,1
5 years,step472 engulf spine,BOOK,reversed,446,1.6903086085544128,26.905829596412556,-0.1784137250725074,-222642.5349365583,-0.002109498842116822,9.534556510436534,45.65862310384713,1.2,2,1
5 years,step472 head and shoulders,BOOK,reversed,94,0.35625338386572825,34.04255319148936,0.0982980564478321,53974.549469680314,0.0005113993588085574,7.574162185248241,48.52122165746116,1.2,1,1
5 years,step472 BOTH PATTERNS,BOOK,reversed,470,1.7812669193286412,27.4468085106383,-0.1524797223515262,-196181.6389529064,-0.0018587865087579113,9.503401789785434,48.52122165746117,1.2,2,1
5 years,"step472 BOTH, engulf trigger only",BOOK,reversed,470,1.7812669193286412,27.4468085106383,-0.1524797223515262,-196181.6389529064,-0.0018587865087579113,9.503401789785434,48.52122165746117,1.2,2,1
5 years,"step472 BOTH, engulf trigger, flat size",BOOK,reversed,470,1.7812669193286412,27.4468085106383,-0.15247972235152615,-164080.72508301845,-0.001554635998350202,7.555655472851987,40.43435138121764,1.0,2,1
5 years,+ head and shoulders only,BOOK,reversed,197,0.7466161342717922,31.472081218274113,-0.09182685560376898,-48936.661849920856,-0.00046366626008317,4.978957393127411,40.43435138121764,1.0,0,14
5 years,+ structure FILTER only (his newest),BOOK,reversed,457,1.7319978343259341,30.85339168490153,-0.14581526919562227,-167753.01744747665,-0.0015894303223231412,7.584367362053594,32.67848239539597,1.0,2,0
5 years,"step470 spine (engulf, flat 1:2)",BOOK,reversed,713,2.7022198159177044,28.190743338008414,-0.21840895839407862,-281756.84773782955,-0.0026695965540942165,7.139002998500878,32.678482395395974,1.0,2,2
5 years,step472 BOTH PATTERNS,GBP_JPY,none,107,0.40552246886843535,24.299065420560748,-0.21001600138150578,-65272.685602572186,-0.002473788842544696,9.322159299246513,45.65862310384714,1.2,0,0
5 years,step472 BOTH PATTERNS,GBP_USD,none,153,0.5798592311857066,30.718954248366014,0.026496354511202632,-11475.497521962825,-0.00043491327912149316,10.847463998787216,32.99843527087301,1.2,1,0
5 years,step472 BOTH PATTERNS,EUR_USD,none,115,0.43584190579317816,31.304347826086957,0.012983355416069082,-213.72603691504264,-8.100066369276117e-06,12.662943900267933,48.52122165746117,1.2,0,0
