family,config,tf,stop%,target%,max_hold_h,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,verdict,n_events_tr_va,realized_cost_bps,gross_edge_bps,base_tool,threshold,k
1-sweep,k8 tol0.05% depth0.6% tgt2x hold3d,15m,0.25,0.5,72,161,-9.73855076200409,31.05590062111801,-15.679066726826585,-16.169761995100778,51,-16.007148522396808,23.52941176470588,-8.163645746422377,-9.004859944074216,0.5,1.7476415094339623,FAIL,787,8.314170252518277,-2.932392234863306,,,
1-sweep,k8 tol0.05% depth0.6% tgt2x hold7d,15m,0.25,0.5,168,105,-12.51476113841468,27.61904761904762,-13.140499195335419,-13.140499195335414,36,-10.73725823748368,30.555555555555557,-3.8654129654941194,-5.649181349076866,0.25,1.4095744680851063,FAIL,787,8.512576423102734,-3.5483541874146685,,,
1-sweep,k8 tol0.05% depth0.6% tgt3x hold3d,15m,0.25,0.75,72,161,-8.822989001614074,24.84472049689441,-14.205012292598662,-14.833631754449069,51,-20.208469614470946,13.725490196078432,-10.306319503380179,-11.572130871697707,0.75,2.331367924528302,FAIL,787,8.821315457027495,-2.740633503339882,,,
1-sweep,k8 tol0.05% depth0.6% tgt3x hold7d,15m,0.25,0.75,168,105,-11.847548150598543,21.904761904761905,-12.439925558128472,-12.43992555812847,36,-14.823383818164277,19.444444444444446,-5.336418174539137,-6.6723677907982255,0.5,1.9858156028368794,FAIL,787,9.00411478739773,-3.603221193217596,,,
1-sweep,k8 tol0.10% depth0.3% tgt2x hold3d,15m,0.25,0.5,72,217,-8.659758449082961,32.25806451612903,-18.791675834510023,-18.791675834510023,83,-9.867174002702304,31.32530120481928,-8.189754422242912,-8.701981004343013,0.5,1.665,FAIL,1328,8.061867498692813,-0.9319425868915,,,
1-sweep,k8 tol0.10% depth0.3% tgt2x hold7d,15m,0.25,0.5,168,128,-6.373242584376968,35.9375,-8.157750508002515,-8.412484743295332,47,-11.33489739665055,29.78723404255319,-5.327401776425756,-6.385903470934777,0.5,1.44,FAIL,1328,8.430060055798851,0.7242587504112636,,,
1-sweep,k8 tol0.10% depth0.3% tgt3x hold3d,15m,0.25,0.75,72,217,-7.707268593379537,25.806451612903224,-16.724772847633595,-18.14790611988429,83,-15.534637435439896,18.072289156626507,-12.893749071415117,-13.513586254128008,0.75,2.5258333333333334,FAIL,1328,8.72959033165167,-1.1432503080312326,,,
1-sweep,k8 tol0.10% depth0.3% tgt3x hold7d,15m,0.25,0.75,168,128,-4.288659339247175,29.6875,-5.489483954236385,-9.092951683555837,47,-15.060724353899166,19.148936170212767,-7.078540446332604,-8.962378416990209,0.5,2.0042857142857144,FAIL,1328,9.105763444548337,1.9240352156517702,,,
1-sweep,k8 tol0.10% depth0.6% tgt2x hold3d,15m,0.25,0.5,72,232,-7.990618101881942,33.189655172413794,-18.538233996366106,-18.538233996366106,85,-10.405782545629721,30.58823529411765,-8.844915163785261,-9.264652719175414,0.5,1.522870662460568,FAIL,1488,8.140831633612038,-0.49738576706662846,,,
1-sweep,k8 tol0.10% depth0.6% tgt2x hold7d,15m,0.25,0.5,168,135,-6.0981041441989,36.2962962962963,-8.23244059466851,-10.48378826061251,48,-11.809062017245386,29.166666666666668,-5.66834976827778,-6.723039440787973,0.25,1.3934426229508197,FAIL,1488,8.489754038491865,0.8936937308709362,,,
1-sweep,k8 tol0.10% depth0.6% tgt3x hold3d,15m,0.25,0.75,72,232,-7.6196489601052075,25.862068965517242,-17.677585587444078,-18.92052799515673,85,-13.713627482786979,20.0,-11.656583360368932,-12.285224059485174,0.75,2.30205047318612,FAIL,1488,8.71854068474126,-0.535140371351174,,,
1-sweep,k8 tol0.10% depth0.6% tgt3x hold7d,15m,0.25,0.75,168,135,-6.523889554059187,27.40740740740741,-8.807250897979902,-11.700750262166709,48,-15.444129159525952,18.75,-7.41318199657246,-9.290235630630853,0.5,1.9631147540983607,FAIL,1488,9.099618772719394,0.23599424017712067,,,
2-bos,k5 cont eqfilt=False tgt2x hold5d,1h,3.056377816485057,6.112755632970114,120,209,-24.192869946490728,34.44976076555024,-50.563098188165625,-68.87270747948013,73,-13.29699371025529,41.0958904109589,-9.706805408486364,-34.18898646698023,34.0,48.43262411347518,FAIL,1190,,,,,
2-bos,k5 cont eqfilt=False tgt2x hold15d,1h,3.056377816485057,6.112755632970114,360,84,-51.85562160791739,29.761904761904763,-43.55872215065061,-56.48500625076922,29,-111.2139622715245,20.689655172413794,-32.2520490587421,-35.23819104803187,28.0,59.68141592920354,FAIL,1190,,,,,
2-bos,k5 cont eqfilt=False tgt3x hold5d,1h,3.056377816485057,9.16913344945517,120,209,-19.581827608614347,32.057416267942585,-40.92601970200399,-57.39630516029271,73,-33.82871493682329,36.986301369863014,-24.69496190388101,-37.95932381822203,46.5,57.13120567375886,FAIL,1190,,,,,
2-bos,k5 cont eqfilt=False tgt3x hold15d,1h,3.056377816485057,9.16913344945517,360,84,-67.85372636452138,21.428571428571427,-56.99713014619795,-63.14140977759555,29,-99.32184840701063,17.24137931034483,-28.803336038033088,-35.70216521383555,34.0,71.4424778761062,FAIL,1190,,,,,
