trades,per_week,win_rate,mean_r,net,cost,lev_med,lev_lo,lev_hi,stop_lo,stop_hi,hold_med_h,hold_max_h,open,held_out,ties,window,instrument,session
5,0.09615384615384616,60.0,0.7488181757776056,10096.805468295774,797.8885088064313,10.284978875527976,5.136779684282782,18.637482610135432,0.16096594495914057,0.5840234902772303,23.5,315.75,0,0,0,12 months,GBP_USD,new_york
22,0.4230769230769231,36.36363636363637,0.014881914224784888,-1044.5192427845022,5310.544519008241,11.53422940790895,5.5922691975842715,59.227756584932145,0.05065192695080427,0.5364548618825304,22.875,184.25,0,0,0,12 months,EUR_USD,all
16,0.3076923076923077,43.75,0.24615166370615252,11177.918147364415,3360.379562794319,11.53422940790895,6.221557438325613,47.57684058667617,0.06305588944130405,0.48219437491963096,25.5,184.25,0,0,0,12 months,EUR_USD,london
6,0.11538461538461539,16.666666666666668,-0.6018374177255287,-12222.437390148914,1950.1649562139226,14.488172769027567,5.5922691975842715,59.227756584932145,0.05065192695080427,0.5364548618825304,13.625,82.0,0,0,0,12 months,EUR_USD,new_york
23,0.4423076923076923,52.17391304347826,0.4264771592303155,30839.871339468566,12619.521589671189,3.1703065911662525,0.7199059505439165,9.192498237795368,0.32635306772922357,4.167211005456178,20.5,614.5,0,0,0,12 months,XAU_USD,all
13,0.25,53.84615384615385,0.488419102481554,20313.67023879343,6556.0673828359095,3.020876276127795,0.7199059505439165,8.402746893394356,0.3570261056367635,4.167211005456178,33.0,199.0,0,0,0,12 months,XAU_USD,london
10,0.19230769230769232,50.0,0.3459526330037052,10526.201100675135,6063.454206835281,3.509763353953057,1.1177313962403528,9.192498237795368,0.32635306772922357,2.6840079916256476,14.125,614.5,0,0,0,12 months,XAU_USD,new_york
2,0.5599999999999999,50.0,0.42904859267907136,2379.9610634357987,443.6536876143275,13.6431903470672,7.723084869911434,19.56329582422297,0.15334839420489907,0.3884458154393431,28.125,53.0,0,0,0,July 2026,GBP_JPY,all
2,0.5599999999999999,50.0,0.42904859267907136,2379.9610634357987,443.6536876143275,13.6431903470672,7.723084869911434,19.56329582422297,0.15334839420489907,0.3884458154393431,28.125,53.0,0,0,0,July 2026,GBP_JPY,new_york
1,0.27999999999999997,100.0,1.9758756158854403,5927.626847656321,72.37315234367865,5.136779684282782,5.136779684282782,5.136779684282782,0.5840234902772303,0.5840234902772303,315.75,315.75,0,0,0,July 2026,GBP_USD,all
1,0.27999999999999997,100.0,1.9758756158854403,5927.626847656321,72.37315234367865,5.136779684282782,5.136779684282782,5.136779684282782,0.5840234902772303,0.5840234902772303,315.75,315.75,0,0,0,July 2026,GBP_USD,new_york
1,0.27999999999999997,0.0,-1.0965035326314339,-3289.5105978943016,289.51059789430144,20.96852867285519,20.96852867285519,20.96852867285519,0.14307155484321846,0.14307155484321846,2.0,2.0,0,0,0,July 2026,EUR_USD,all
1,0.27999999999999997,0.0,-1.0965035326314339,-3289.5105978943016,289.51059789430144,20.96852867285519,20.96852867285519,20.96852867285519,0.14307155484321846,0.14307155484321846,2.0,2.0,0,0,0,July 2026,EUR_USD,london
2,0.5599999999999999,0.0,-1.27488052369472,-7503.509937709001,1624.9950303185499,6.6024145002735,4.802082107152645,8.402746893394356,0.3570261056367635,0.6247290098458613,16.0,26.5,0,0,0,July 2026,XAU_USD,all
1,0.27999999999999997,0.0,-1.3498343623283184,-4049.503086984955,1049.503086984955,8.402746893394356,8.402746893394356,8.402746893394356,0.3570261056367635,0.3570261056367635,5.5,5.5,0,0,0,July 2026,XAU_USD,london
1,0.27999999999999997,0.0,-1.1999266850611219,-3454.006850724046,575.4919433335949,4.802082107152645,4.802082107152645,4.802082107152645,0.6247290098458613,0.6247290098458613,26.5,26.5,0,0,0,July 2026,XAU_USD,new_york
