family,variant,config,tf,asset,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,verdict,stop_pct,target_pct,trades_yr,osc,k,tmult,M,N_pct,gate,max_wait,ext_thresh,W,config_name,vmult,hold_days,disp_mult,tgt_tag,H,direction
A-divergence,after-level,MACDhist k5 regular LEVEL-GATE M100 N0.5% tgt3x,4h,BTC,95,-38.7289,30.53,-36.79,-54.21,32,-54.7667,34.38,-17.53,-23.95,52.0,52.47244094488189,FAIL,2.7888492899778567,8.36654786993357,25.1,MACDhist,5.0,3.0,100.0,0.5,level,,,,,,,,,,
A-divergence,after-level,MACDhist k5 regular LEVEL-GATE M100 N1.0% tgt3x,4h,BTC,105,-27.5285,35.24,-28.9,-42.81,35,-26.7084,40.0,-9.35,-25.61,60.0,56.8,FAIL,2.9640278081514455,8.892083424454336,27.7,MACDhist,5.0,3.0,100.0,1.0,level,,,,,,,,,,
A-divergence,after-level,MACDhist k5 regular LEVEL-GATE M100 N2.0% tgt3x,4h,BTC,111,-24.0555,36.04,-26.7,-40.97,37,-12.9464,40.54,-4.79,-26.12,58.0,56.86486486486486,FAIL,3.0058947081420047,9.017684124426014,29.2,MACDhist,5.0,3.0,100.0,2.0,level,,,,,,,,,,
A-divergence,after-level,MACDhist k5 regular LEVEL-GATE M200 N0.5% tgt3x,4h,BTC,87,-52.9272,29.89,-46.05,-51.7,31,-61.9927,32.26,-19.22,-24.36,52.0,53.76271186440678,FAIL,2.8199838827913206,8.459951648373963,23.3,MACDhist,5.0,3.0,200.0,0.5,level,,,,,,,,,,
A-divergence,after-level,MACDhist k5 regular LEVEL-GATE M200 N1.0% tgt3x,4h,BTC,98,-29.8236,35.71,-29.23,-39.11,32,-24.9987,37.5,-8.0,-25.56,60.0,56.46153846153846,FAIL,2.9598007614498507,8.879402284349553,25.7,MACDhist,5.0,3.0,200.0,1.0,level,,,,,,,,,,
A-divergence,after-level,MACDhist k5 regular LEVEL-GATE M200 N2.0% tgt3x,4h,BTC,106,-25.5726,35.85,-27.11,-42.01,35,-8.0837,40.0,-2.83,-25.72,60.0,56.737588652482266,FAIL,2.9733270988197393,8.919981296459218,27.9,MACDhist,5.0,3.0,200.0,2.0,level,,,,,,,,,,
A-divergence,after-confirm,MACDhist k5 regular CONFIRM-GATE wait10 tgt3x,4h,BTC,64,20.3084,39.06,13.0,-23.07,16,78.3865,50.0,12.54,-13.14,96.0,69.35,SURVIVOR,4.0,12.0,15.8,MACDhist,5.0,3.0,,,confirm,10.0,,,,,,,,,
A-divergence,after-confirm,MACDhist k5 regular CONFIRM-GATE wait30 tgt3x,4h,BTC,81,6.3834,41.98,5.17,-26.42,24,212.6545,62.5,51.04,-13.14,96.0,71.12380952380953,SURVIVOR,4.0,12.0,20.8,MACDhist,5.0,3.0,,,confirm,30.0,,,,,,,,,
A-divergence,after-extreme,MACDhist k5 regular TREND-EXTREME>=2.0ATR tgt3x,4h,BTC,78,-40.7648,33.33,-31.8,-37.93,23,-104.1476,34.78,-23.95,-26.26,52.0,51.92079207920792,FAIL,2.949507241225022,8.848521723675066,20.0,MACDhist,5.0,3.0,,,extreme,,2.0,,,,,,,,
A-divergence,after-extreme,MACDhist k5 regular TREND-EXTREME>=3.0ATR tgt3x,4h,BTC,58,-77.26,29.31,-44.81,-46.91,14,-108.0269,35.71,-15.12,-15.77,46.0,51.611111111111114,FAIL,2.9987757889228948,8.996327366768684,14.2,MACDhist,5.0,3.0,,,extreme,,3.0,,,,,,,,
