family,config,tf,tr_n,tr_exp,va_n,va_exp,combined_n,combined_exp,stop_pct,target_pct,thickness_x_cost,worst_adverse_pct,verdict
2b-engulfing,engulf ctx=none stop1.0xATR tgt2xstop,1h,906,-10.560202985868708,302,-21.345782021147276,1208,-13.25659774468835,1.4643208985498533,2.9286417970997065,-1.9971168536848305,-1.494760194819425,FAIL
2b-engulfing,engulf ctx=none stop1.0xATR tgt3xstop,1h,906,-10.282279536894949,302,-21.32532554117215,1208,-13.04304103796425,1.4643208985498533,4.39296269564956,-1.7179594098232467,-1.494760194819425,FAIL
2b-engulfing,engulf ctx=none stop1.5xATR tgt2xstop,1h,906,-9.777566909634135,302,-21.36313048764028,1208,-12.673957804135673,2.19648134782478,4.39296269564956,-1.437445957096093,-2.2271402922291372,FAIL
2b-engulfing,engulf ctx=none stop1.5xATR tgt3xstop,1h,906,-10.30554967346285,302,-18.54156974425109,1208,-12.36455469115991,2.19648134782478,6.58944404347434,-1.5152387246134436,-2.2271402922291372,FAIL
2b-engulfing,engulf ctx=roll20 stop1.0xATR tgt2xstop,4h,76,-7.215254296293551,43,-56.99843338959452,119,-25.204134136730033,3.0,6.0,-1.617938911711839,-3.030900000000012,FAIL
2b-engulfing,engulf ctx=roll20 stop1.0xATR tgt3xstop,4h,76,-18.643327654161066,43,-46.92092263655886,119,-28.861282143598924,3.0,9.0,-1.9122787123659926,-3.030900000000012,FAIL
2b-engulfing,engulf ctx=roll20 stop1.5xATR tgt2xstop,4h,76,-7.215254296293551,43,-56.99843338959452,119,-25.204134136730033,3.0,6.0,-1.617938911711839,-3.030900000000012,FAIL
2b-engulfing,engulf ctx=roll20 stop1.5xATR tgt3xstop,4h,76,-18.643327654161066,43,-46.92092263655886,119,-28.861282143598924,3.0,9.0,-1.9122787123659926,-3.030900000000012,FAIL
2b-engulfing,engulf ctx=roll55 stop1.0xATR tgt2xstop,4h,37,21.964286715878533,20,75.25188207776819,57,40.66168859724333,3.0,6.0,2.294593208641488,-3.030900000000008,"REJECT (thin, <5x cost)"
2b-engulfing,engulf ctx=roll55 stop1.0xATR tgt3xstop,4h,37,-18.281934920551215,20,108.27259710758798,57,26.12316403669061,3.0,9.0,1.5491985486404918,-3.030900000000008,FAIL
2b-engulfing,engulf ctx=roll55 stop1.5xATR tgt2xstop,4h,37,21.964286715878533,20,75.25188207776819,57,40.66168859724333,3.0,6.0,2.294593208641488,-3.030900000000008,"REJECT (thin, <5x cost)"
2b-engulfing,engulf ctx=roll55 stop1.5xATR tgt3xstop,4h,37,-18.281934920551215,20,108.27259710758798,57,26.12316403669061,3.0,9.0,1.5491985486404918,-3.030900000000008,FAIL
2b-engulfing,engulf ctx=sma50 stop1.0xATR tgt2xstop,4h,26,-56.71835609698274,11,80.92167458184453,37,-15.798346976250311,3.0,6.0,-0.8683002557851384,-3.030900000000007,FAIL
2b-engulfing,engulf ctx=sma50 stop1.0xATR tgt3xstop,4h,26,-83.53099223887696,11,107.15036153157797,37,-26.841941117930908,3.0,9.0,-1.5027833031165223,-3.030900000000007,FAIL
2b-engulfing,engulf ctx=sma50 stop1.5xATR tgt2xstop,4h,26,-56.71835609698274,11,80.92167458184453,37,-15.798346976250311,3.0,6.0,-0.8683002557851384,-3.030900000000007,FAIL
2b-engulfing,engulf ctx=sma50 stop1.5xATR tgt3xstop,4h,26,-83.53099223887696,11,107.15036153157797,37,-26.841941117930908,3.0,9.0,-1.5027833031165223,-3.030900000000007,FAIL
2b-engulfing,engulf ctx=none stop1.0xATR tgt2xstop,4h,657,-6.718908651800599,219,-17.7870604201901,876,-9.485946593897975,3.0,6.0,-0.7412981750906303,-3.0309000000000146,FAIL
2b-engulfing,engulf ctx=none stop1.0xATR tgt3xstop,4h,657,-4.795143777717717,219,-25.951137715956072,876,-10.084142262277306,3.0,9.0,-0.7226238260978707,-3.0309000000000146,FAIL
2b-engulfing,engulf ctx=none stop1.5xATR tgt2xstop,4h,657,-6.718908651800599,219,-17.7870604201901,876,-9.485946593897975,3.0,6.0,-0.7412981750906303,-3.0309000000000146,FAIL
2b-engulfing,engulf ctx=none stop1.5xATR tgt3xstop,4h,657,-4.795143777717717,219,-25.951137715956072,876,-10.084142262277306,3.0,9.0,-0.7226238260978707,-3.0309000000000146,FAIL
