pair,session,entry_t,exit_t,side,outcome,r,pnl,cost,stop_move_in_price_pct,face_value_times_account,hours_held,moved_to_breakeven
SOL/USD,london,2025-08-01 11:00:00,2025-08-01 12:00:00,short,target,4.0,10308.071715129348,1691.9282848706514,0.23648143752582876,12.685985130111266,1.0,False
SOL/USD,asia,2025-08-10 06:00:00,2025-08-10 07:00:00,long,stopped out,-1.0,-3993.9104732905244,684.6683218366439,0.6446233991392082,4.653880085653145,1.0,False
SOL/USD,new_york,2025-08-17 16:00:00,2025-08-17 18:00:00,long,stopped out,-1.0,-3997.477454051041,808.0526167958766,0.5264177004401988,5.698896517900809,2.0,False
SOL/USD,london,2025-08-29 12:00:00,2025-08-29 15:00:00,short,target,4.0,11876.741031605136,401.26102292939805,1.020230933493549,2.940510723123422,3.0,True
SOL/USD,asia,2025-09-05 01:00:00,2025-09-05 05:00:00,short,stopped out,-1.0,-3986.805453928441,561.0027093466534,0.8144325960269979,3.6835460842735617,4.0,False
SOL/USD,asia,2025-09-11 02:00:00,2025-09-11 03:00:00,long,stopped out,-1.0,-5225.812038165436,1919.6134572015023,0.22970629770651668,13.060155642023092,1.0,False
SOL/USD,new_york,2025-09-19 03:00:00,2025-09-19 04:00:00,long,stopped out,-1.0,-3995.4915761548245,846.0673563358531,0.49645967282493647,6.042786885245907,1.0,False
SOL/USD,london,2025-09-30 13:00:00,2025-09-30 20:00:00,short,break even,-0.0,-548.7487086778389,548.7487086778389,0.7363151290252905,4.074342467974684,7.0,True
SOL/USD,new_york,2025-10-06 06:00:00,2025-10-06 14:00:00,short,stopped out,-1.0,-3700.4032970078547,687.3062857338633,0.5846831145435276,5.130984503190507,8.0,False
SOL/USD,london,2025-10-09 12:00:00,2025-10-09 14:00:00,short,target,4.0,10898.388286751418,709.951362703604,0.545179191238129,5.502777890672699,2.0,False
SOL/USD,asia,2025-10-14 04:00:00,2025-10-14 05:00:00,long,stopped out,-1.0,-3670.770143139946,441.73358217364796,0.9749229592070152,3.077166222898418,1.0,False
SOL/USD,new_york,2025-10-31 15:00:00,2025-11-02 15:00:00,short,held to the cap,2.85743801652893,8549.223267447827,362.8786139106864,1.1463037231187025,2.6171074380165327,48.0,True
SOL/USD,asia,2025-11-06 02:00:00,2025-11-06 03:00:00,short,stopped out,-1.0,-5166.22539132108,1790.8352366255451,0.2513773253946576,11.934250614251134,1.0,False
SOL/USD,new_york,2025-11-14 20:00:00,2025-11-14 23:00:00,long,stopped out,-1.0,-3465.6055434987315,245.20215054282917,1.7516355611139467,1.712685027981597,3.0,False
