tool,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,hold_hours,stop_pct,leverage,notional,gross_pnl,fees,funding_cost,net_pnl,overlap_tag
SP-DIP,1,2021-05-12 04:00:00+00:00,377.673095703125,2021-05-14 04:00:00+00:00,388.07879638671875,signal_exit,48.0,,10,2500.0,68.88034123943324,0.5068880341239433,0.0,68.37345320530929,in-sample-overlap
SP-DONCH,1,2021-06-10 04:00:00+00:00,394.6278076171875,2021-06-18 04:00:00+00:00,387.79935555163786,structure_floor,192.0,1.7303524824519325,20,5000.0,-86.51762412259663,0.9913482375877404,0.0,-87.50897236018437,transfer-assumption
SP-DIP,1,2021-06-18 04:00:00+00:00,387.7969970703125,2021-06-21 04:00:00+00:00,393.3486328125,signal_exit,72.0,,10,2500.0,35.789574082112594,0.5035789574082113,0.0,35.285995124704385,in-sample-overlap
SP-DIP,1,2021-07-19 04:00:00+00:00,397.1900329589844,2021-07-21 04:00:00+00:00,406.143798828125,signal_exit,48.0,,10,2500.0,56.356939538719686,0.505635693953872,0.0,55.851303844765816,in-sample-overlap
SP-DIP,1,2021-09-09 04:00:00+00:00,419.63055419921875,2021-09-15 04:00:00+00:00,418.60235595703125,signal_exit,144.0,,10,2500.0,-6.125615925117819,0.4993874384074883,0.0,-6.625003363525307,in-sample-overlap
SP-DONCH,1,2021-06-24 04:00:00+00:00,397.3115234375,2021-09-20 04:00:00+00:00,407.61120965110115,structure_floor,2112.0,2.394133400301055,20,5000.0,129.6172600845966,1.0129617260084596,0.0,128.60429835858815,transfer-assumption
SP-DIP,1,2021-09-20 04:00:00+00:00,406.9666748046875,2021-09-23 04:00:00+00:00,415.5365905761719,signal_exit,72.0,,10,2500.0,52.64507085007188,0.5052645070850071,0.0,52.13980634298687,in-sample-overlap
SP-DIP,1,2022-01-07 05:00:00+00:00,438.552978515625,2022-01-11 05:00:00+00:00,441.9967041015625,signal_exit,96.0,,10,2500.0,19.63118342961388,0.5019631183429614,0.0,19.12922031127092,in-sample-overlap
SP-DONCH,1,2021-10-15 04:00:00+00:00,418.0588073730469,2022-01-20 05:00:00+00:00,424.4862394814665,structure_floor,2329.0,4.375713395107496,19,4750.0,73.02872700335212,0.9573028727003351,0.0,72.07142413065178,transfer-assumption
SP-DIP,1,2022-01-18 05:00:00+00:00,429.52020263671875,2022-01-28 05:00:00+00:00,415.8392028808594,signal_exit,240.0,,10,2500.0,-79.62954752695616,0.49203704524730435,0.0,-80.12158457220346,in-sample-overlap
SP-DONCH,1,2022-03-22 04:00:00+00:00,424.34197998046875,2022-04-29 04:00:00+00:00,390.59434954887394,structure_floor,912.0,7.95293231019663,10,2500.0,-198.82330775491576,0.48011766922450844,0.0,-199.30342542414027,transfer-assumption
SP-DONCH,1,2022-07-20 04:00:00+00:00,374.2100830078125,2022-09-16 04:00:00+00:00,368.19080797230174,structure_floor,1392.0,5.62606100768618,15,3750.0,-60.31981073768688,0.7439680189262313,0.0,-61.06377875661311,transfer-assumption
SP-DONCH,1,2022-10-25 04:00:00+00:00,366.3719787597656,2022-12-15 05:00:00+00:00,372.7681254520418,structure_floor,1225.0,9.563046825069454,10,2500.0,43.645168456443116,0.5043645168456443,0.0,43.140803939597475,transfer-assumption
SP-DIP,1,2023-02-21 05:00:00+00:00,381.6034240722656,2023-03-02 05:00:00+00:00,380.3795471191406,signal_exit,216.0,,10,2500.0,-8.01798985491565,0.4991982010145084,0.0,-8.517188055930157,val-overlap
SP-DONCH,1,2023-01-23 05:00:00+00:00,383.075927734375,2023-03-10 05:00:00+00:00,370.29178966269103,structure_floor,1104.0,6.454823082491442,13,3250.0,-108.46008773953191,0.6391539912260467,0.0,-109.09924173075797,transfer-assumption
SP-DIP,1,2023-04-25 04:00:00+00:00,389.76904296875,2023-04-27 04:00:00+00:00,395.84478759765625,signal_exit,48.0,,10,2500.0,38.9701589858778,0.5038970158985878,0.0,38.466261969979215,val-overlap
SP-DONCH,1,2023-03-31 04:00:00+00:00,392.9461364746094,2023-05-04 04:00:00+00:00,387.56141271088387,structure_floor,816.0,7.37372010747188,11,2750.0,-37.68452969940822,0.5462315470300592,0.0,-38.230761246438284,transfer-assumption
SP-DIP,1,2023-08-04 04:00:00+00:00,430.4561462402344,2023-08-07 04:00:00+00:00,434.2133483886719,signal_exit,72.0,,10,2500.0,21.821050653210055,0.502182105065321,0.0,21.318868548144735,val-overlap
SP-DIP,1,2023-08-17 04:00:00+00:00,420.32122802734375,2023-08-21 04:00:00+00:00,423.259521484375,signal_exit,96.0,,10,2500.0,17.476475497212462,0.5017476475497213,0.0,16.97472784966274,val-overlap
SP-1H,1,2023-08-31 13:30:00+00:00,452.6600036621094,2023-09-05 19:30:00+00:00,449.1700134277344,structure_floor,126.0,18.0,10,2500.0,-19.274898412386147,0.49807251015876136,0.0,-19.772970922544907,transfer-assumption
SP-1H,1,2023-09-11 13:30:00+00:00,447.79998779296875,2023-09-15 14:30:00+00:00,445.0793151855469,structure_floor,97.0,1.1277329009896064,20,5000.0,-30.378212166005273,0.9969621787833995,0.0,-31.37517434478867,transfer-assumption
SP-DONCH,1,2023-05-18 04:00:00+00:00,402.390869140625,2023-09-19 04:00:00+00:00,426.5447585365695,structure_floor,2976.0,3.694868286751522,20,5000.0,300.1296904118285,1.0300129690411828,0.0,299.0996774427873,transfer-assumption
SP-DIP,1,2023-09-21 04:00:00+00:00,417.0664978027344,2023-10-02 04:00:00+00:00,413.1219482421875,signal_exit,264.0,,10,2500.0,-23.64460812201573,0.49763553918779846,0.0,-24.142243661203526,val-overlap
