family,config,tf,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,verdict,oscillator,k,flavor,buffer_pct,stop_pct,target_pct,max_hold_h,filter_name,exit_n,setup,trigger,level,cost_bps_per_trade,clears_9bps_floor
1-divergence,MACDhist k8 regular buf0.15% tgt2x hold96h,4h,110,30.519537760910218,44.54545454545455,33.57149153700123,-31.466630738785085,37,-62.58559593818243,43.24324324324324,-23.156670497127497,-29.3345337551436,64.0,58.857142857142854,FAIL,MACDhist,8.0,regular,0.15,3.509834351948745,7.01966870389749,96.0,,,,,,,
1-divergence,MACDhist k8 regular buf0.15% tgt3x hold48h,4h,125,41.307219031019486,52.0,51.63402378877435,-26.7098765275793,42,-31.578850124778477,52.38095238095239,-13.263117052406958,-22.354779742679177,48.0,38.58682634730539,FAIL,MACDhist,8.0,regular,0.15,3.509834351948745,10.529503055846234,48.0,,,,,,,
1-divergence,MACDhist k8 regular buf0.15% tgt3x hold96h,4h,110,50.31293019458487,43.63636363636363,55.34422321404335,-30.03925913903719,37,-57.72831200293348,43.24324324324324,-21.359475441085387,-28.495725052651977,76.0,64.78911564625851,FAIL,MACDhist,8.0,regular,0.15,3.509834351948745,10.529503055846234,96.0,,,,,,,
1-divergence,MACDhist k8 regular buf0.35% tgt2x hold48h,4h,125,34.33657566810514,52.800000000000004,42.920719585131415,-26.369691409845398,42,-34.53820736033616,52.38095238095239,-14.50604709134119,-23.283080278914838,48.0,37.89221556886228,FAIL,MACDhist,8.0,regular,0.35,3.625710258183165,7.25142051636633,48.0,,,,,,,
1-divergence,MACDhist k8 regular buf0.35% tgt2x hold96h,4h,110,39.280204323778854,45.45454545454545,43.20822475615673,-32.59526379160856,37,-65.41500609595096,43.24324324324324,-24.203552255501858,-30.36433311824832,68.0,60.54421768707483,FAIL,MACDhist,8.0,regular,0.35,3.625710258183165,7.25142051636633,96.0,,,,,,,
1-divergence,MACDhist k8 regular buf0.35% tgt3x hold48h,4h,125,42.735018823284726,52.0,53.41877352910591,-27.58627365862646,42,-34.53820736033616,52.38095238095239,-14.50604709134119,-23.283080278914838,48.0,39.01796407185629,FAIL,MACDhist,8.0,regular,0.35,3.625710258183165,10.877130774549494,48.0,,,,,,,
1-divergence,MACDhist k8 regular buf0.35% tgt3x hold96h,4h,110,61.47738957263527,44.54545454545455,67.62512852989879,-30.876037023436382,37,-61.529264626995996,43.24324324324324,-22.765827911988513,-29.689998157978987,84.0,66.01360544217687,FAIL,MACDhist,8.0,regular,0.35,3.625710258183165,10.877130774549494,96.0,,,,,,,
1-divergence,MACDhist k8 hidden buf0.15% tgt2x hold48h,4h,93,-40.047547933761265,35.483870967741936,-37.244219578397974,-45.377827134467594,35,-77.02300687594567,34.285714285714285,-26.95805240658098,-28.471633444849413,28.0,28.84375,FAIL,MACDhist,8.0,hidden,0.15,3.1043914209901695,6.208782841980339,48.0,,,,,,,
1-divergence,MACDhist k8 hidden buf0.15% tgt2x hold96h,4h,90,-41.603176193575116,37.77777777777778,-37.44285857421761,-46.11104427429374,34,-98.69728488711226,26.47058823529412,-33.55707686161817,-36.41695008170372,28.0,43.12903225806452,FAIL,MACDhist,8.0,hidden,0.15,3.1043914209901695,6.208782841980339,96.0,,,,,,,
1-divergence,MACDhist k8 hidden buf0.15% tgt3x hold48h,4h,93,-36.64933820405625,33.33333333333333,-34.08388452977231,-48.4633589587841,35,-77.02300687594567,34.285714285714285,-26.95805240658098,-28.471633444849413,36.0,30.96875,FAIL,MACDhist,8.0,hidden,0.15,3.1043914209901695,9.31317426297051,48.0,,,,,,,
