entry_idx,exit_idx,entry_time,exit_time,direction,entry_price,exit_price,stop_price,stop_dist_pct,notional,leverage,pnl,reason,hold_hours
3408,3420,2021-10-14 08:00:00+00:00,2021-10-16 08:00:00+00:00,1,57416.2197,61705.482800000005,53512.05,6.799767940835015,3387.3652085187755,0.2941276845624822,245.49475641675934,time_cap,48.0
3479,3486,2021-10-26 04:00:00+00:00,2021-10-27 08:00:00+00:00,1,62836.8454,59230.1296288,59247.904,5.711523831525757,4118.74090969786,0.350169247121171,-247.99600026406625,"stop:stop_structure(k=8,n_back=1,buffer_pct=0.35,use=wick)",28.0
3509,3521,2021-10-31 04:00:00+00:00,2021-11-02 04:00:00+00:00,-1,61712.98055,61560.96275,63208.95975,2.4240916362611196,9499.762515830362,0.8250513182268836,41.38496934721117,time_cap,48.0
3539,3551,2021-11-05 04:00:00+00:00,2021-11-07 04:00:00+00:00,1,62247.168549999995,61745.4708,59866.730500000005,3.824170810416709,6043.418546272348,0.5229891914221441,-81.67216239356483,time_cap,48.0
3671,3683,2021-11-27 04:00:00+00:00,2021-11-29 04:00:00+00:00,-1,54359.18735,57523.2518,59648.541750000004,9.730377987337597,2358.358586363351,0.2055418610256101,-135.31328110870933,time_cap,48.0
3742,3754,2021-12-09 00:00:00+00:00,2021-12-11 00:00:00+00:00,-1,50436.36455,48315.4903,52105.23225,3.308858033067735,6853.450249648994,0.6044381415015694,284.25184092102745,time_cap,48.0
3773,3785,2021-12-14 04:00:00+00:00,2021-12-16 04:00:00+00:00,-1,46887.42955,48742.11825,50967.765,8.702408063655515,2671.1684196590877,0.2298214454402273,-108.15188868994723,time_cap,48.0
3855,3857,2021-12-27 20:00:00+00:00,2021-12-28 04:00:00+00:00,1,51236.3663,49095.77634715,49110.5095,4.149117030572875,5550.408351355571,0.4820302693953796,-238.96537026947243,"stop:stop_structure(k=8,n_back=1,buffer_pct=0.35,use=wick)",8.0
4007,4019,2022-01-22 04:00:00+00:00,2022-01-24 04:00:00+00:00,-1,36300.606550000004,34884.4622,43634.187000000005,20.202363395495386,1116.2735089565188,0.09899831820894525,42.60540949679377,time_cap,48.0
4062,4068,2022-01-31 08:00:00+00:00,2022-02-01 08:00:00+00:00,-1,37064.8772,38916.36290745,38904.6915,4.96376742346255,4560.3615086194895,0.40291976423924997,-235.94449484102526,"stop:stop_structure(k=8,n_back=1,buffer_pct=0.35,use=wick)",24.0
4266,4267,2022-03-06 08:00:00+00:00,2022-03-06 12:00:00+00:00,1,39386.31235,38304.00535,38371.229,2.5772490224005464,8600.133209235202,0.7760212469251904,-245.9652254698132,"stop:stop_structure(k=8,n_back=1,buffer_pct=0.35,use=wick)",4.0
4363,4375,2022-03-22 12:00:00+00:00,2022-03-24 12:00:00+00:00,1,42957.883499999996,43938.31455,40331.84275,6.113058968559271,3545.3206923970047,0.3271684455010846,75.31580856896161,time_cap,48.0
4488,4500,2022-04-12 08:00:00+00:00,2022-04-14 08:00:00+00:00,-1,40115.46175,40924.77375,43554.910500000005,8.573873015434012,2545.33581648917,0.23326680910712783,-54.69437958528704,time_cap,48.0
4505,4517,2022-04-15 04:00:00+00:00,2022-04-17 04:00:00+00:00,-1,40168.945700000004,40283.0813,41698.4355,3.8076423798197814,5702.740737451127,0.5252594126485854,-21.833021737191398,time_cap,48.0
4742,4754,2022-05-24 16:00:00+00:00,2022-05-26 16:00:00+00:00,-1,29364.1881,29379.311149999998,30761.79075,4.759548076863057,4553.022875199489,0.42020796254214293,-5.8410539403350485,time_cap,48.0
4800,4812,2022-06-03 08:00:00+00:00,2022-06-05 08:00:00+00:00,1,30433.62735,29699.587450000003,29188.4815,4.091348808606599,5293.76745295518,0.4888363455574312,-134.90143476540297,time_cap,48.0
4918,4930,2022-06-23 00:00:00+00:00,2022-06-25 00:00:00+00:00,-1,19974.006,21293.3861,21798.027000000002,9.131973826382152,2342.1931226265306,0.21901070217941562,-157.2724932985087,time_cap,48.0
5004,5005,2022-07-07 08:00:00+00:00,2022-07-07 12:00:00+00:00,-1,20425.8704,20828.8717875,20822.625,1.9424122068257135,10849.551517183021,1.0296475655228692,-226.66652232028923,"stop:stop_structure(k=8,n_back=1,buffer_pct=0.35,use=wick)",4.0
5336,5348,2022-08-31 16:00:00+00:00,2022-09-02 16:00:00+00:00,-1,20128.45965,19912.9721,20640.9915,2.546304381517835,8098.390911391412,0.7854520514188542,80.72232208353888,time_cap,48.0
5356,5368,2022-09-04 00:00:00+00:00,2022-09-06 00:00:00+00:00,-1,19815.55355,19782.43295,20499.498,3.451553590336107,6021.176366281909,0.5794492096543814,6.1789761527024805,time_cap,48.0
5447,5459,2022-09-19 04:00:00+00:00,2022-09-21 04:00:00+00:00,-1,18762.3696,18941.6808,20247.11775,7.913436211170252,2627.780183283676,0.2527347092501851,-27.80476110500397,time_cap,48.0
5574,5576,2022-10-10 08:00:00+00:00,2022-10-10 16:00:00+00:00,1,19409.32105,19102.155133750002,19107.8875,1.5530350042821202,13353.956142649322,1.2878009796852494,-228.5689243464323,"stop:stop_structure(k=8,n_back=1,buffer_pct=0.35,use=wick)",8.0
5794,5806,2022-11-16 00:00:00+00:00,2022-11-18 00:00:00+00:00,-1,16872.9366,16849.55335,17273.2455,2.3724909865423185,8548.830575769183,0.8429958264730063,-14.019098729716251,time_cap,48.0
