asset,symbol,split,entry_time,exit_time,direction,entry_price,exit_price,units,fees,funding,pnl,is_win
DOT,DOTUSDT,train,2023-09-11 02:00:00+00:00,2023-09-12 04:00:00+00:00,-1,4.093,4.023,863.9610641963361,1.4023815994034927,3.961903043867057,55.112989850472786,True
DOT,DOTUSDT,train,2023-09-15 23:00:00+00:00,2023-09-16 14:00:00+00:00,1,4.161,4.155,863.0871486676464,1.4354865456640296,-2.0778305489233353,-4.536178888746235,False
DOT,DOTUSDT,train,2023-09-17 21:00:00+00:00,2023-09-18 03:00:00+00:00,-1,4.051,4.108,885.4034674691014,1.4448013782160798,0.7297878935662442,-52.64258691752002,False
DOT,DOTUSDT,train,2023-09-21 11:00:00+00:00,2023-09-22 10:00:00+00:00,-1,4.02,4.023,879.1360347760723,1.4141782255407898,0.5174157209633455,-4.569002050833205,False
DOT,DOTUSDT,train,2023-09-24 12:00:00+00:00,2023-09-24 20:00:00+00:00,1,4.043,4.013,873.0046642960615,1.4065851151138142,-0.27744400548747494,-27.319281038508507,False
DOT,DOTUSDT,train,2023-09-27 10:00:00+00:00,2023-09-27 15:00:00+00:00,1,4.034,3.994,868.1801132152872,1.393949989778465,-0.15668700676911596,-35.96446751162057,False
DOT,DOTUSDT,train,2023-09-30 14:00:00+00:00,2023-10-02 12:00:00+00:00,1,4.101,4.227,845.226556741977,1.407809352909437,1.774352150439256,103.3163846461407,True
DOT,DOTUSDT,train,2023-10-02 16:00:00+00:00,2023-10-03 11:00:00+00:00,-1,4.163,4.141,857.4562800492405,1.4240633899057786,0.5839608202386612,16.856013950936358,True
DOT,DOTUSDT,train,2023-10-03 16:00:00+00:00,2023-10-04 19:00:00+00:00,-1,4.081,4.03,878.81561082968,1.4256146838879071,0.6068202063368479,42.787161262088375,True
DOT,DOTUSDT,train,2023-10-09 08:00:00+00:00,2023-10-10 07:00:00+00:00,-1,3.987,3.849,910.2667843135222,1.426570104376152,1.5605618301604947,122.62968430072851,True
DOT,DOTUSDT,train,2023-10-11 03:00:00+00:00,2023-10-13 01:00:00+00:00,-1,3.763,3.681,997.0404872066813,1.4843938773533072,3.493176363306605,76.77974971029153,True
DOT,DOTUSDT,train,2023-10-13 13:00:00+00:00,2023-10-14 22:00:00+00:00,1,3.714,3.733,1030.8678252743762,1.535374538963656,-4.000692159764198,22.05180630101404,True
DOT,DOTUSDT,train,2023-10-15 06:00:00+00:00,2023-10-15 09:00:00+00:00,-1,3.706,3.743,1039.0434186103744,1.5479668850457355,0.2426296340810807,-40.235203007710425,False
DOT,DOTUSDT,train,2023-10-16 06:00:00+00:00,2023-10-16 14:00:00+00:00,1,3.796,3.765,1003.809195564367,1.5179602655324356,-0.21573237842703755,-32.42031294960043,False
DOT,DOTUSDT,train,2023-10-21 12:00:00+00:00,2023-10-22 08:00:00+00:00,1,3.807,3.867,992.3928010015069,1.5231244709771128,-0.8708539485425237,58.8912975376561,True
DOT,DOTUSDT,train,2023-10-23 23:00:00+00:00,2023-10-24 15:00:00+00:00,1,4.317,4.275,888.795619863422,1.5273063931733044,-1.2278383633928902,-37.62888406404363,False
DOT,DOTUSDT,train,2023-10-25 15:00:00+00:00,2023-10-26 06:00:00+00:00,1,4.297,4.271,884.175426317512,1.5151230105376885,-0.8993945975678663,-23.60428949722518,False
DOT,DOTUSDT,train,2023-10-26 09:00:00+00:00,2023-10-26 12:00:00+00:00,1,4.417,4.305,854.8103956054164,1.4911312540940882,0.1391310770147266,-97.36902663891578,False
DOT,DOTUSDT,train,2023-10-29 13:00:00+00:00,2023-10-30 06:00:00+00:00,1,4.224,4.259,870.8164040601818,1.4774271111285044,0.7925408945402224,28.20860613643754,True
DOT,DOTUSDT,train,2023-10-30 22:00:00+00:00,2023-10-31 08:00:00+00:00,1,4.462,4.427,830.6896227894769,1.4768000113951318,0.4676471067696208,-31.01858391579617,False
DOT,DOTUSDT,train,2023-11-01 19:00:00+00:00,2023-11-02 14:00:00+00:00,1,4.584,4.704,801.8146843304646,1.489450957612271,1.6395534107296912,93.088757751314,True
DOT,DOTUSDT,train,2023-11-03 02:00:00+00:00,2023-11-03 14:00:00+00:00,-1,4.493,4.582,838.7730404456183,1.5223730684087973,-0.5703132441879925,-75.60286042387906,False
DOT,DOTUSDT,train,2023-11-04 14:00:00+00:00,2023-11-05 14:00:00+00:00,1,4.726,4.731,781.4228544854601,1.4779831869737992,1.7302208239699037,0.6989102614834337,True
DOT,DOTUSDT,train,2023-11-09 15:00:00+00:00,2023-11-09 17:00:00+00:00,1,5.246,4.867,704.0989936255752,1.4241106245070885,0.12714358230139253,-268.4047727909019,False
DOT,DOTUSDT,train,2023-11-09 17:00:00+00:00,2023-11-10 00:00:00+00:00,-1,4.867,5.095,703.7802645919181,1.4022117991729375,-0.5797441745397907,-161.2843679515886,False
DOT,DOTUSDT,train,2023-11-11 15:00:00+00:00,2023-11-13 00:00:00+00:00,1,5.46,5.715,597.8047948383291,1.3360937164636657,3.7297002090892573,147.3744287582208,True
DOT,DOTUSDT,train,2023-11-14 19:00:00+00:00,2023-11-15 05:00:00+00:00,-1,5.099,5.279,669.0309097029806,1.3886405561795065,-0.43606598405803143,-121.37813831865697,False
DOT,DOTUSDT,train,2023-11-17 15:00:00+00:00,2023-11-18 11:00:00+00:00,-1,5.192,5.17,633.6691968907629,1.313216043636417,-0.8189540700616221,13.446460358020886,True
DOT,DOTUSDT,train,2023-11-19 18:00:00+00:00,2023-11-20 13:00:00+00:00,1,5.411,5.437,610.5076567390246,1.3245574120609878,0.7918436934819333,13.75679796967188,True
DOT,DOTUSDT,train,2023-11-21 18:00:00+00:00,2023-11-22 07:00:00+00:00,-1,5.037,5.062,658.5693326552579,1.33017833809709,-0.5336387302505554,-17.26077292422906,False
DOT,DOTUSDT,train,2023-11-24 08:00:00+00:00,2023-11-25 12:00:00+00:00,1,5.229,5.272,631.0868150048393,1.3254085288731634,1.1610577450755284,24.65026677125934,True
DOT,DOTUSDT,train,2023-11-25 15:00:00+00:00,2023-11-26 02:00:00+00:00,1,5.388,5.305,617.0384599910104,1.3195984505367748,0.4528059608836531,-52.98659659067471,False
DOT,DOTUSDT,train,2023-11-26 17:00:00+00:00,2023-11-26 21:00:00+00:00,-1,5.235,5.354,624.9506448597687,1.3235204756840182,-0.16501040589216115,-75.52763680810358,False
DOT,DOTUSDT,train,2023-11-30 15:00:00+00:00,2023-12-01 09:00:00+00:00,1,5.264,5.435,607.1597623542526,1.29920045948563,0.746935529145231,101.77818337394638,True
DOT,DOTUSDT,train,2023-12-07 18:00:00+00:00,2023-12-09 17:00:00+00:00,1,6.286,7.207,524.6368393901897,1.415784974778366,7.700674045550572,474.07407005803634,True
DOT,DOTUSDT,train,2023-12-10 10:00:00+00:00,2023-12-10 13:00:00+00:00,-1,6.969,7.199,541.2456941404461,1.533673798916368,-0.5094132873210114,-125.51077016389763,False
DOT,DOTUSDT,train,2023-12-11 03:00:00+00:00,2023-12-11 22:00:00+00:00,-1,6.723,6.731,542.3814476128025,1.459439999236529,-1.5440394316531028,-4.2544521484860525,False
DOT,DOTUSDT,train,2023-12-12 08:00:00+00:00,2023-12-12 18:00:00+00:00,1,7.265,6.84,501.33186788057606,1.414257199291105,0.5352000766664349,-215.0155011252018,False
DOT,DOTUSDT,train,2023-12-13 20:00:00+00:00,2023-12-14 14:00:00+00:00,1,7.28,7.293,470.763807558679,1.3720881935105258,1.1653658460147063,3.5824754587379175,True
DOT,DOTUSDT,train,2023-12-17 15:00:00+00:00,2023-12-18 19:00:00+00:00,-1,6.874,6.693,499.08975770816426,1.3542301485653327,-1.5061865665969247,90.48720256320894,True
DOT,DOTUSDT,train,2023-12-19 18:00:00+00:00,2023-12-20 04:00:00+00:00,-1,6.634,6.775,530.7853779091241,1.423460226476689,-0.4464435813593643,-75.81775493030182,False
DOT,DOTUSDT,train,2023-12-20 10:00:00+00:00,2023-12-20 21:00:00+00:00,1,7.026,6.891,490.3803646625147,1.3649247070016433,0.6109109974011961,-68.177184933842,False
DOT,DOTUSDT,train,2023-12-21 07:00:00+00:00,2023-12-22 07:00:00+00:00,1,7.379,8.001,457.68197007521155,1.4078297399513509,3.1161529567297235,280.1542026901002,True
DOT,DOTUSDT,train,2023-12-23 22:00:00+00:00,2023-12-24 21:00:00+00:00,1,8.216,8.774,445.1545106956045,1.512635027343664,1.7447816117344817,245.138800329069,True
DOT,DOTUSDT,train,2023-12-26 01:00:00+00:00,2023-12-26 06:00:00+00:00,1,9.506,9.071,410.53316433874977,1.5252949187841907,1.3608674994498466,-181.46808890559032,False
DOT,DOTUSDT,train,2023-12-31 08:00:00+00:00,2023-12-31 21:00:00+00:00,1,8.572,8.331,434.09474700169915,1.467500701713944,1.9154293353019654,-107.99976406442511,False
DOT,DOTUSDT,train,2024-01-01 19:00:00+00:00,2024-01-02 13:00:00+00:00,1,8.523,8.635,423.9188557120896,1.4547199452616066,4.1310766405077475,41.89311525398443,True
DOT,DOTUSDT,train,2024-01-03 12:00:00+00:00,2024-01-04 07:00:00+00:00,-1,8.148,7.697,448.5706335896078,1.421520337845467,-1.4909042061295177,202.3747396171966,True
DOT,DOTUSDT,train,2024-01-06 06:00:00+00:00,2024-01-06 18:00:00+00:00,-1,7.092,7.3,543.8985141152455,1.5655574830293224,-0.5859554667192068,-114.11049295228167,False
DOT,DOTUSDT,train,2024-01-07 23:00:00+00:00,2024-01-08 11:00:00+00:00,-1,6.905,6.963,542.1025009635104,1.5035754966723924,-0.5565292037704018,-32.388991348786476,False
DOT,DOTUSDT,train,2024-01-09 13:00:00+00:00,2024-01-10 02:00:00+00:00,-1,7.114,7.202,521.6233873776009,1.4935120827395467,-0.6015817323702449,-46.79478843959896,False
DOT,DOTUSDT,train,2024-01-10 22:00:00+00:00,2024-01-11 17:00:00+00:00,1,7.833,8.163,467.7689249795294,1.4964863447945105,0.9132954375762823,151.9539634608741,True
DOT,DOTUSDT,train,2024-01-12 16:00:00+00:00,2024-01-13 13:00:00+00:00,-1,7.901,7.659,482.97531360910364,1.5030191759515306,-0.9710882771167242,116.34809499456924,True
DOT,DOTUSDT,train,2024-01-14 01:00:00+00:00,2024-01-14 07:00:00+00:00,-1,7.539,7.648,521.5991574240744,1.5843052807598834,-0.29562284245956194,-58.142990597524204,False
DOT,DOTUSDT,train,2024-01-15 00:00:00+00:00,2024-01-15 04:00:00+00:00,-1,7.322,7.604,529.1167791890977,1.5795194092352944,-0.19884208561926292,-150.59160905494127,False
DOT,DOTUSDT,train,2024-01-18 11:00:00+00:00,2024-01-19 07:00:00+00:00,-1,7.205,7.048,516.807973375105,1.4732128089030745,-0.909246107957491,80.57488511894644,True
DOT,DOTUSDT,train,2024-01-19 16:00:00+00:00,2024-01-20 07:00:00+00:00,-1,6.8,6.891,559.4376960715556,1.5318522993831336,-0.7162410893092117,-51.724441552586086,False
DOT,DOTUSDT,train,2024-01-22 00:00:00+00:00,2024-01-23 17:00:00+00:00,-1,6.817,6.277,550.4550229916374,1.4415316142105001,-1.8202102665898092,297.6243910678654,True
DOT,DOTUSDT,train,2024-01-26 12:00:00+00:00,2024-01-27 06:00:00+00:00,1,6.592,6.577,614.3926399881459,1.6181873352007785,0.9193387469382623,-11.753415681960632,False
DOT,DOTUSDT,train,2024-01-29 19:00:00+00:00,2024-01-30 10:00:00+00:00,1,7.106,6.992,568.2976171010268,1.6023719611780551,0.7516162209373907,-67.13991653163248,False
DOT,DOTUSDT,train,2024-02-04 01:00:00+00:00,2024-02-05 04:00:00+00:00,-1,6.784,6.836,585.3748453107701,1.5945610786265376,-1.3347717222776179,-30.699281312510266,False
