family,config,tf,stop%,target%,max_hold_h,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,verdict
1-momentum-burst,X1.8% champ tgt2xATR hold8h,1h,0.8092711048548278,1.6185422097096556,8,343,-5.0023787959463455,35.27696793002916,-17.158159270095965,-25.045114090264413,76,14.255866196469805,44.73684210526316,10.834458309317041,-5.2932309902924315,0.0,1.1575178997613365,FAIL
1-momentum-burst,X1.8% champ tgt2xATR hold24h,1h,0.8092711048548278,1.6185422097096556,24,257,-1.1761680179535354,36.964980544747085,-3.022751806140589,-20.413384453066705,61,12.031906043173757,44.26229508196721,7.339462686335985,-6.27652778821442,0.0,1.7075471698113207,FAIL
1-momentum-burst,X1.8% champ tgt3xATR hold8h,1h,0.8092711048548278,2.4278133145644833,8,343,-5.08505758268132,29.737609329446062,-17.441747508596926,-23.944175157761936,76,5.25606289758968,34.21052631578947,3.9946078021681597,-8.648106058670567,0.0,1.8138424821002386,FAIL
1-momentum-burst,X1.8% champ tgt3xATR hold24h,1h,0.8092711048548278,2.4278133145644833,24,257,7.201061835876636,30.739299610894943,18.506728918202953,-17.715524519202265,61,8.7398139432017,34.42622950819672,5.331286505353039,-8.072251944547185,1.0,2.9245283018867925,SURVIVOR
1-momentum-burst,X1.8% raw tgt2xATR hold8h,1h,0.8092711048548278,1.6185422097096556,8,568,-5.878980922296663,34.859154929577464,-33.39261163864505,-41.378138821861604,134,43.0999562727942,52.23880597014925,57.75394140554422,-6.094334153625811,0.0,1.3105413105413106,FAIL
1-momentum-burst,X1.8% raw tgt2xATR hold24h,1h,0.8092711048548278,1.6185422097096556,24,389,-1.1389768614506297,37.01799485861182,-4.43061999104295,-26.251149785051446,100,36.07460734277895,51.0,36.07460734277894,-6.094217793611023,0.0,1.8425357873210635,FAIL
1-momentum-burst,X1.8% raw tgt3xATR hold8h,1h,0.8092711048548278,2.4278133145644833,8,568,-6.064236030223154,29.753521126760564,-34.44486065166751,-41.99595281809812,134,55.526704807709066,46.26865671641791,74.40578444233014,-6.569423013204988,1.0,2.011396011396011,FAIL
1-momentum-burst,X1.8% raw tgt3xATR hold24h,1h,0.8092711048548278,2.4278133145644833,24,389,7.131717442841862,31.10539845758355,27.742380852654836,-26.230155154758545,100,37.90428465696809,42.0,37.90428465696809,-6.676982240993865,1.0,3.3190184049079754,SURVIVOR
1-momentum-burst,X0.8% champ tgt2xATR hold8h,15m,0.36130660519972224,0.7226132103994445,8,1706,-4.625618767125359,33.29425556858148,-78.91305616715863,-79.30694424316836,506,-8.204629907103863,31.818181818181817,-41.515427329945545,-42.20430507520999,0.25,0.5667947558770343,FAIL
1-momentum-burst,X0.8% champ tgt2xATR hold24h,15m,0.36130660519972224,0.7226132103994445,24,878,-5.789571824639778,34.054669703872435,-50.83244062033725,-52.70088501545938,285,-11.070407480619396,29.47368421052631,-31.550661319765272,-31.55066131976528,0.25,0.6410146173688736,FAIL
1-momentum-burst,X0.8% champ tgt3xATR hold8h,15m,0.36130660519972224,1.0839198155991667,8,1706,-4.7058510796869895,25.67409144196952,-80.28181941946004,-81.5011298388638,506,-7.696495761586985,25.296442687747035,-38.944268553630145,-39.95696363887323,0.25,0.8730786618444847,FAIL
1-momentum-burst,X0.8% champ tgt3xATR hold24h,15m,0.36130660519972224,1.0839198155991667,24,878,-6.155213810376717,25.512528473804103,-54.04277725510758,-57.44542787667113,285,-12.172423574355381,21.403508771929825,-34.69140718691284,-35.54946211076907,0.25,1.0715821152192606,FAIL
1-momentum-burst,X0.8% raw tgt2xATR hold8h,15m,0.36130660519972224,0.7226132103994445,8,2261,-3.852467345259347,33.348076072534276,-87.10428667631383,-87.33344001502009,678,-8.009405029682329,30.973451327433626,-54.30376610124619,-54.399021998796336,0.25,0.5745151412044913,FAIL
1-momentum-burst,X0.8% raw tgt2xATR hold24h,15m,0.36130660519972224,0.7226132103994445,24,1037,-5.006243537933903,34.908389585342334,-51.91474548837458,-53.8158083653688,343,-7.942958999073093,32.94460641399417,-27.244349366820707,-27.88770084974509,0.25,0.7251811594202898,FAIL
1-momentum-burst,X0.8% raw tgt3xATR hold8h,15m,0.36130660519972224,1.0839198155991667,8,2261,-3.886229048837744,25.78505086245024,-87.86763879422138,-88.68913751530114,678,-6.913035757822546,25.368731563421832,-46.87038243803686,-46.96709239579256,0.25,0.8835488261313372,FAIL
