asset,N_red,basis,n_events,hit_rate%,resolved_n,inconclusive_n,stop%,target%,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,trades/yr,verdict,tf,gross_exp,net_exp,cost_drag_bps,gross_bps,net_bps,tr_gross_exp,va_gross_exp,gross_verdict
BTC,4,close,223,89.68609865470852,223,0,2.9761062548892894,0.8232189973614776,131,-12.760794804424181,71.7557251908397,-16.716641193795677,-21.111762420469475,58,-10.414221985363556,75.86206896551724,-6.040248751510857,-17.703684426880145,4.0,37.320613610253865,FAIL,1h,-3.7485665798815395,-12.040682510744201,8.639717022096399,-3.9057044979465108,-12.545421520042911,-4.643286914205523,-1.7277327213221976,FAIL
BTC,4,wick,249,86.74698795180723,249,0,2.83288213947104,1.0039636259351101,143,-10.615158906116061,69.93006993006993,-15.17967723574597,-22.094950571307116,63,-14.648439558958252,69.84126984126983,-9.228516922143704,-16.982040339534866,6.0,40.677494199535964,FAIL,1h,-3.377775946567674,-11.848637940723139,8.954406727997725,-3.570590535235128,-12.524997263232851,-2.2260744927401634,-5.991955437001548,FAIL
BTC,2,close,4747,87.27617442595323,4747,0,1.681192181950955,0.4290285950871754,1415,-5.800039394613103,69.75265017667844,-82.0705574337754,-82.94927749746874,470,-6.10605205469339,72.3404255319149,-28.69844465705893,-34.61699302963325,2.0,372.21043384241113,FAIL,15m,-1.280028009141134,-5.876339633466013,8.334005902134056,-2.320939452108196,-10.654945354242251,-2.380326455043532,2.0325726311820427,FAIL
BTC,2,wick,5688,85.3902953586498,5688,0,1.6121971389643397,0.47398234131027084,1544,-5.457888206900355,68.26424870466322,-84.26979391454148,-85.19753172872439,516,-7.757079196942385,69.57364341085271,-40.0265286562227,-43.20807279022126,2.25,406.76577915934587,FAIL,15m,-1.7891966063847173,-6.03380206654195,8.31566848126774,-3.5052411740415232,-11.820909655309265,-2.181689518398516,-0.6147604510566071,FAIL
BTC,3,close,2909,87.76211756617394,2909,0,1.836741758534377,0.46390013495276655,1210,-6.6402654985208684,68.26446280991736,-80.34721253210252,-81.10327500629192,397,-8.320586444851061,70.7808564231738,-33.03272818605871,-39.10558903360756,2.0,317.3167995675091,FAIL,15m,-2.654148090770354,-7.055379011708851,7.795517181816074,-4.701061456750988,-12.496578638567062,-3.257640433064561,-0.8147885588409083,FAIL
BTC,3,wick,3320,85.69277108433735,3320,0,1.7560855620439821,0.49455806291497917,1304,-6.10275186433182,68.02147239263803,-79.57988431088694,-80.05262629962202,439,-9.205768817721896,69.02050113895216,-40.413325109799125,-44.88691010007375,2.25,344.1712393566698,FAIL,15m,-2.365099166201918,-6.884291992007233,8.423521329017891,-4.4084118646108275,-12.831933193628718,-2.3802090593230556,-2.320216932420679,FAIL
BTC,4,close,1453,89.3324156916724,1453,0,1.9979066249164408,0.4999062675748297,776,-8.21446358636003,68.81443298969072,-63.74423743015383,-64.42565935572489,282,-8.914686476692596,68.79432624113475,-25.13941586427313,-31.544828875578112,2.5,208.91174483038247,FAIL,15m,-2.65762211890929,-8.40110144559801,9.141381888849002,-4.229899216718913,-13.371281105567913,-3.2733928196861357,-0.9631608997503095,FAIL
BTC,4,wick,1606,87.60896637608967,1606,0,1.9017258650515259,0.524990956357658,834,-8.091342795290181,67.98561151079137,-67.48179891272011,-68.16508265718781,302,-8.796978611277082,67.88079470198676,-26.566875406056788,-33.94706955991438,2.75,224.31355588593053,FAIL,15m,-2.7871174980205575,-8.278932598483882,8.922639915927324,-4.528274419894373,-13.450914335821698,-3.4800139398727192,-0.8736220261506793,FAIL
BTC,2,close,19723,87.81118491101759,19723,0,1.275147010639949,0.271599085826619,4801,-2.075059615555114,67.96500729014788,-99.62361214280102,-99.6318550245851,1613,-5.197410203013177,67.82393056416615,-83.83422657460254,-84.19124276327497,0.9166666666666666,1270.1506556877098,FAIL,5m,-1.4704882086766085,-2.860271885210533,6.04059256967204,-6.391368885030537,-12.431961454702579,-1.3938393434642204,-1.6986290653937046,FAIL
BTC,2,wick,22338,86.16706956755304,22338,0,1.2448616906196879,0.2919099249374479,5085,-1.9616128133109063,66.3913470993117,-99.74801155685958,-99.75042653060491,1740,-4.788160572324684,67.18390804597702,-83.3139939584495,-83.55027200240744,1.0,1351.5401036901494,FAIL,5m,-1.2496496671837143,-2.6822271870374954,6.325233277463092,-5.517555280951133,-11.842788558414227,-1.378071317414465,-0.8743484652162617,FAIL
BTC,3,close,11393,87.57131572017906,11393,0,1.3151920203970762,0.2766464724672443,4082,-2.4244547954680606,67.95688388045076,-98.96624475100624,-98.9815533615512,1419,-5.786442329164908,66.8076109936575,-82.10961665085004,-82.27194581067178,0.9166666666666666,1089.3512249669614,FAIL,5m,-1.5574412156929769,-3.2916899000519226,6.485886277507806,-5.824647122406247,-12.310533399914052,-1.3072288932502822,-2.2772204265534985,FAIL
BTC,3,wick,12393,86.0647139514242,12393,0,1.28125,0.29562646726371616,4279,-2.313966801715712,66.83804627249359,-99.0146394454153,-99.05565896717964,1497,-5.281886029111477,67.00066800267201,-79.0698338557988,-79.33056795209339,1.0,1143.8088848226087,FAIL,5m,-1.0433308703896493,-3.0831799394254515,7.430931208201423,-3.800732143836042,-11.231663352037465,-1.0603662465191241,-0.9946372334771424,FAIL
BTC,4,close,5750,87.91304347826087,5750,0,1.3725635897892785,0.2890333660382548,2786,-3.3777344819631656,67.51615218951902,-94.1036826674938,-94.31319093340832,1000,-6.153777627738668,68.89999999999999,-61.53777627738668,-62.46875998572019,0.9166666666666666,749.7334553217445,FAIL,5m,-0.6114434097187161,-4.110973559030124,8.9279491616168,-1.5599053142172437,-10.487854475834043,-0.7339262712533167,-0.2702061574833187,FAIL
