name,n_tr,n_va,mean_tr,mean_va,gross_tr,gross_va,R_tr,win_tr,stop_tr,lev,verdict,n_assets_pos,arm
"1h swing high -> 1m BOS, target 2R",853,285,-0.44916388546873093,-0.393549908850052,0.05083611453126908,0.106450091149948,-4.638835868191248,20.63305978898007,0.29381929057106193,3.4034525032594622,reject,0,B
"prev day high -> 1m BOS, target 1R",286,90,-0.45003287525150465,-0.4237735707858695,0.04996712474849541,0.07622642921413053,-4.235430539053788,8.041958041958042,0.2928541400897365,3.414669158146713,reject,0,B
"4h swing low -> 5m BOS, target 2R",403,141,-0.45136530225284527,-0.6532687126178406,0.04863469774715472,-0.15326871261784045,-1.262542225279551,29.280397022332505,0.7402418955757253,1.3509097579815408,reject,0,A
"1h swing low -> 1m BOS, target 1R",860,289,-0.46043309320629566,-0.4529307486521545,0.03956690679370429,0.047069251347845446,-4.614398141141515,6.511627906976744,0.2761416385788742,3.621329999873853,reject,0,B
"last session low -> 1m BOS, target 1R",553,170,-0.46277383768451874,-0.4948092625893324,0.037226162315481245,0.005190737410667665,-5.600469395822101,7.05244122965642,0.27496373529270174,3.6368432329284794,reject,0,B
"4h swing low -> 1m BOS, target 2R",389,137,-0.467365192352483,-0.3590951329477481,0.03263480764751696,0.14090486705225191,-4.44919073759047,16.452442159383033,0.2629697453181144,3.8027188214762133,reject,0,B
"4h swing low -> 5m BOS, target 1R",403,141,-0.46784462435864815,-0.5899151328528353,0.03215537564135183,-0.08991513285283527,-1.2172769677250272,27.04714640198511,0.7402418955757253,1.3509097579815408,reject,0,A
"4h swing low -> 1m BOS, target 1R",389,137,-0.4689223805146985,-0.44514050547352113,0.03107761948530149,0.05485949452647888,-4.467185596202295,5.3984575835475574,0.2629697453181144,3.8027188214762133,reject,0,B
"prev day low -> 1m BOS, target 2R",267,136,-0.46940993437739365,-0.4583330548804238,0.030590065622606338,0.0416669451195762,-5.713655850399979,13.48314606741573,0.2699288563484187,3.7046798683473114,reject,0,B
"1h swing low -> 5m BOS, target 3R",896,302,-0.471013679236968,-0.6407575863595649,0.028986320763032047,-0.1407575863595649,-1.1389060828870072,26.5625,0.6545561462869676,1.5277528225387476,reject,0,A
"prev day low -> 5m BOS, hold 24h",279,138,-0.47234304296096974,-0.7720321558896645,0.027656957039030337,-0.2720321558896644,-1.1237901952693214,18.63799283154122,0.6516033421171716,1.534675983629592,reject,0,A
