family,config,symbol,market,tf,tr_n,tr_exp,tr_win%,tr_dd%,tr_ret%,va_n,va_exp,va_win%,va_dd%,va_ret%,tr_per_yr,cadence,verdict,vol_gate,direction,trend_gate
2-meanrev,zscore>2 long trend=none vol=high-vol,USO,USO (ETF),1d,36,-91.4907796187363,58.333333333333336,-43.72806065437953,-32.93668066274507,14,-69.8155912528169,57.14285714285714,-38.24960387096955,-9.774182775394369,3.083319263886544,TOO-RARE(3.1/yr),FAIL,high-vol,long,none
2-meanrev,zscore>2 long trend=none vol=low-vol,USO,USO (ETF),1d,33,-88.80389096784022,54.54545454545454,-34.433818751360356,-29.30528401938727,8,48.73182214623807,62.5,-17.680638035918804,3.8985457716990357,2.5283217963869657,TOO-RARE(2.5/yr),FAIL,low-vol,long,none
2-meanrev,zscore>2 long trend=with-trend vol=none,USO,USO (ETF),1d,20,-6.622508679222756,65.0,-12.57795124696536,-1.324501735844552,8,-9.086473079894631,62.5,-20.868520913387087,-0.7269178463915726,1.7266587877764648,TOO-RARE(1.7/yr),INSUFFICIENT-SAMPLE,none,long,with-trend
2-meanrev,zscore>2 long trend=with-trend vol=high-vol,USO,USO (ETF),1d,8,-74.30918067736275,62.5,-14.597702773429674,-5.944734454189016,3,-130.75994791293124,66.66666666666666,-12.95451549149382,-3.922798437387942,0.6783302380550397,TOO-RARE(0.7/yr),INSUFFICIENT-SAMPLE,high-vol,long,with-trend
2-meanrev,zscore>2 long trend=with-trend vol=low-vol,USO,USO (ETF),1d,14,41.824660547921276,71.42857142857143,-7.492128847740539,5.855452476708978,6,116.08410443421629,66.66666666666666,-10.731716589994813,6.965046266052988,1.2333277055546177,TOO-RARE(1.2/yr),INSUFFICIENT-SAMPLE,low-vol,long,with-trend
2-meanrev,zscore>2 short trend=none vol=none,USO,USO (ETF),1d,60,27.482359917128754,58.333333333333336,-18.08541221017388,16.48941595027724,23,-97.96401676657004,47.82608695652174,-38.574671358335344,-22.531723856311114,5.118309978051663,TOO-RARE(5.1/yr),FAIL,none,short,none
2-meanrev,zscore>2 short trend=none vol=high-vol,USO,USO (ETF),1d,17,147.04222037960608,64.70588235294117,-7.496407860413414,24.997177464533028,12,38.689176574806275,58.333333333333336,-21.47294860607855,4.642701188976761,1.7883251730541956,TOO-RARE(1.8/yr),INSUFFICIENT-SAMPLE,high-vol,short,none
2-meanrev,zscore>2 short trend=none vol=low-vol,USO,USO (ETF),1d,47,-5.511652916070702,57.446808510638306,-18.064188815395507,-2.5904768705532266,13,-192.05238792062028,38.46153846153847,-26.035389325956498,-24.966810429680642,3.699983116663853,TOO-RARE(3.7/yr),FAIL,low-vol,short,none
2-meanrev,zscore>2 short trend=with-trend vol=none,USO,USO (ETF),1d,12,105.06783100314608,58.333333333333336,-7.4964078604134095,12.608139720377531,2,-66.89764778443714,50.0,-9.05449151796622,-1.3379529556887482,0.8633293938882324,TOO-RARE(0.9/yr),INSUFFICIENT-SAMPLE,none,short,with-trend
2-meanrev,zscore>2 short trend=with-trend vol=high-vol,USO,USO (ETF),1d,6,278.83066937346456,83.33333333333334,-7.496407860413408,16.729840162407882,2,-66.89764778443714,50.0,-9.05449151796622,-1.3379529556887482,0.4933310822218471,TOO-RARE(0.5/yr),INSUFFICIENT-SAMPLE,high-vol,short,with-trend
