symbol,tf,swing_def,scope,side,n,med_pct,p25,p75,p90,lev_risk1,lev_risk2
SMH,5m,ours fractal k=5,same session,long,100308,0.3851576105812332,0.1928881875680775,0.7283026502124205,1.2858191383692865,2.596339712698189,5.192679425396378
SMH,1d,TJR 2-candle,any,long,1578,2.5524609125216715,1.3117610362919692,4.26638659533625,6.056980650336898,0.39177877126120714,0.7835575425224143
SMH,1d,ours fractal k=3,any,long,1575,5.26680526680527,2.8233950062277793,7.719180122961486,10.102131301007978,0.18986842105263146,0.37973684210526293
SMH,1d,ours fractal k=5,any,long,1573,6.384517996020983,3.7725457799807174,9.501784062376103,12.556410306063343,0.15662889518413592,0.31325779036827184
SPY,5m,TJR 2-candle,same session,long,111510,0.09214057361796767,0.04371311707167842,0.18007817644451032,0.32024816964535346,10.852982141680494,21.705964283360988
SPY,5m,ours fractal k=2,same session,long,109012,0.13703546147653906,0.06483897352362812,0.2690527039322614,0.4913452999144343,7.297381197721609,14.594762395443219
SPY,5m,ours fractal k=3,same session,long,106072,0.16525684023329676,0.07996232790867774,0.32190293448703894,0.5832344243308559,6.051186738099783,12.102373476199565
SPY,5m,ours fractal k=5,same session,long,99652,0.21349408994578623,0.10599495699592976,0.411675404700975,0.739009913008847,4.683970409925332,9.367940819850665
SPY,1d,TJR 2-candle,any,long,1582,1.356042898391308,0.678034433324828,2.4314622278460782,3.929554785797175,0.7374397972116616,1.4748795944233233
SPY,1d,ours fractal k=3,any,long,1577,2.91968250638135,1.5182949830252728,4.751581385679922,6.654190357306547,0.3425029940119751,0.6850059880239502
SPY,1d,ours fractal k=5,any,long,1575,3.760918212661523,2.230680787477763,5.689627670201161,8.351564536868517,0.2658925143953931,0.5317850287907862
QQQ,5m,TJR 2-candle,same session,long,111795,0.12585499316004914,0.05994282079519416,0.24466695376569816,0.42511247319608514,7.945652173913396,15.891304347826791
QQQ,5m,ours fractal k=2,same session,long,109300,0.18596979020963236,0.0893343991547013,0.36199095022624034,0.6402379395105471,5.377217444149188,10.754434888298375
QQQ,5m,ours fractal k=3,same session,long,105927,0.2251547939208113,0.11054436930069098,0.4360158955422307,0.7650103139837704,4.441388888889072,8.882777777778143
QQQ,5m,ours fractal k=5,same session,long,99209,0.2922203230964333,0.14758453314094175,0.5572693800378029,0.9758731195249127,3.4220754716981063,6.844150943396213
QQQ,1d,TJR 2-candle,any,long,1583,1.8129276737275366,0.9343337499625812,3.1898058665596,4.69374927498265,0.551593984962408,1.103187969924816
QQQ,1d,ours fractal k=3,any,long,1573,3.801908765551324,2.0831547363909184,5.58954393770856,7.589686317958001,0.26302577512140474,0.5260515502428095
QQQ,1d,ours fractal k=5,any,long,1571,4.906686441725372,3.0813413278832433,7.398647310973173,10.125523012552293,0.20380352644836278,0.40760705289672555
