pair,session,choch_t,entry_t,exit_t,side,entry,stop,target,exit,outcome,stop_move_in_price_pct,leverage,units,notional,risk_dollars,pnl,cost,r,mfe_r,moved_to_breakeven,stop_from,hours_held,arm
BTC/USD,new_york,2026-04-26 14:50:00,2026-04-26 15:20:00,2026-04-26 15:25:00,long,78022.687525,77998.18455,78047.1905,78047.1905,target,0.0314049358939918,95.52638509203075,0.0005323469507343822,41.535139792035274,0.013044084025168556,-0.03686267099989188,0.04990675502506044,1.0,5.117642857654093,False,middle_candle,0.08333333333333333,fvg_midpoint_1to1
BTC/USD,asia,2026-04-27 01:25:00,2026-04-27 01:40:00,2026-04-27 01:45:00,short,79147.20999999999,79268.6,79025.81999999998,79268.6,stopped out,0.1533724309423086,19.560229837710903,9.83458595833502e-05,7.78380040107393,0.011938203894824254,-0.021290868210519065,0.009352664315694809,-1.0,1.1711137655488184,False,middle_candle,0.08333333333333333,fvg_midpoint_1to1
BTC/USD,london,2026-04-28 07:50:00,2026-04-28 08:00:00,2026-04-28 08:15:00,long,76779.7135,76696.9585,76862.4685,76862.4685,target,0.10778237665604816,27.833863875292973,0.00013654133102296878,10.483604276852205,0.011299477848806418,-0.001297149321444915,0.012596627170251333,1.0,2.059730529877337,False,middle_candle,0.25,fvg_midpoint_1to1
BTC/USD,asia,2026-05-01 01:15:00,2026-05-01 01:30:00,2026-05-01 01:35:00,long,76475.32250000001,76429.848,76520.79700000002,76520.79700000002,target,0.05946297251641034,50.45156461312245,0.00024762368731912624,18.937101346369342,0.011260563368996373,-0.01149340549953326,0.022753968868529633,1.0,1.9909179870030573,False,middle_candle,0.08333333333333333,fvg_midpoint_1to1
BTC/USD,asia,2026-05-03 00:10:00,2026-05-03 00:25:00,2026-05-03 00:40:00,short,78656.83350000001,78725.3325,78588.33450000001,78588.33450000001,target,0.08708588555118502,34.44875114965375,0.00015935650453207008,12.534478044121032,0.010915761203941656,-0.004145103602270042,0.015060864806211698,1.0,1.1099943064863613,False,middle_candle,0.25,fvg_midpoint_1to1
BTC/USD,london,2026-05-04 08:00:00,2026-05-04 08:10:00,2026-05-04 08:15:00,short,79779.915,79834.7975,79725.03249999999,79725.03249999999,target,0.06879237712901422,43.609482986374445,0.00019662748774415564,15.686924258892278,0.010791408096119995,-0.00805729423171807,0.018848702327838064,1.0,1.6414521933218797,False,middle_candle,0.08333333333333333,fvg_midpoint_1to1
BTC/USD,new_york,2026-05-08 15:00:00,2026-05-08 15:55:00,2026-05-08 16:00:00,short,80150.10574999999,80264.2365,80035.97499999998,80035.97499999998,target,0.14239625628942004,21.0679696094152,9.243511734527486e-05,7.408684430237438,0.010549689268955262,0.0016477474247932056,0.008901941844162056,1.0,1.6609305555248994,False,middle_candle,0.08333333333333333,fvg_midpoint_1to1
BTC/USD,new_york,2026-05-11 14:25:00,2026-05-11 15:10:00,2026-05-11 15:25:00,short,80998.60500000001,81143.79,80853.42000000003,81143.79,stopped out,0.1792438277177528,16.736977993596323,7.300424762734951e-05,5.913242216889871,0.010599121691775506,-0.01770420746251747,0.007105085770741963,-1.0,1.232978613493337,False,middle_candle,0.25,fvg_midpoint_1to1
BTC/USD,new_york,2026-05-12 13:55:00,2026-05-12 14:15:00,2026-05-12 14:20:00,short,80741.0376594825,80796.89,80685.18531896501,80796.89,stopped out,0.0691746627694391,43.368480306135716,0.00018026094116290665,14.554455438968006,0.010067995467834406,-0.027555974219142756,0.01748797875130835,-1.0,2.765106315179955,False,middle_candle,0.08333333333333333,fvg_midpoint_1to1
BTC/USD,asia,2026-05-14 00:40:00,2026-05-14 01:35:00,2026-05-14 01:40:00,long,79418.1925,79345.417065,79490.96793500001,79490.96793500001,target,0.09163572313736956,32.7383240649801,0.00012698400554234275,10.084840196582844,0.009241316241386811,-0.0028761739531268683,0.01211749019451368,1.0,1.1296050652254557,False,middle_candle,0.08333333333333333,fvg_midpoint_1to1
BTC/USD,london,2026-05-14 08:35:00,2026-05-14 08:50:00,2026-05-14 08:55:00,long,79765.19625000001,79722.04,79808.35250000002,79808.35250000002,target,0.054104110600761604,55.448651991291946,0.000212136852085535,16.92113763845992,0.009155031022819457,-0.011176646566234556,0.020331677589054013,1.0,1.6383200579281607,False,middle_candle,0.08333333333333333,fvg_midpoint_1to1
BTC/USD,asia,2026-05-15 00:10:00,2026-05-15 01:30:00,2026-05-15 01:35:00,long,81214.20725,81121.4,81307.01450000002,81307.01450000002,target,0.11427464866378112,26.25254188115336,9.503278704732669e-05,7.718012462806707,0.008819731625699205,-0.0004538848636214711,0.009273616489320676,1.0,3.033844338669222,False,middle_candle,0.08333333333333333,fvg_midpoint_1to1
BTC/USD,asia,2026-05-15 01:55:00,2026-05-15 02:50:00,2026-05-15 02:55:00,short,81324.978,81380.72,81269.236,81269.236,target,0.06854228721709384,43.76860069606529,0.00015797989092485623,12.847711153906333,0.008806115079933079,-0.006631116536503981,0.01543723161643706,1.0,3.938287108464212,False,middle_candle,0.08333333333333333,fvg_midpoint_1to1
BTC/USD,london,2026-05-16 08:20:00,2026-05-16 08:25:00,2026-05-16 09:10:00,short,78391.55725,78532.54440511,78250.57009488999,78250.57009488999,target,0.1798499226905047,16.680574309517826,6.104940252841977e-05,4.785757733384913,0.008607181583647617,0.0028568304350731913,0.005750351148574425,1.0,1.3504333061507965,False,middle_candle,0.75,fvg_midpoint_1to1
BTC/USD,new_york,2026-05-18 15:00:00,2026-05-18 16:15:00,2026-05-18 16:20:00,short,76546.63675,76659.25,76434.02350000001,76434.02350000001,target,0.1471171755955625,20.391908611998186,7.71923951832076e-05,5.908818233951442,0.008692886496864958,0.0015931163849566632,0.007099770111908294,1.0,1.9295398188047486,False,middle_candle,0.08333333333333333,fvg_midpoint_1to1
BTC/USD,london,2026-05-19 08:40:00,2026-05-19 08:50:00,2026-05-19 08:55:00,long,77053.89775,77007.36,77100.4355,77007.36,stopped out,0.060396360675995964,49.67186708639425,0.00018781913582540253,14.472196487383929,0.008740679988259217,-0.026129820084735064,0.017389140096475846,-1.0,1.2343581286159426,False,middle_candle,0.08333333333333333,fvg_midpoint_1to1
BTC/USD,new_york,2026-05-19 14:45:00,2026-05-19 15:05:00,2026-05-19 15:15:00,short,76487.7975,76585.45,76390.145,76585.45,stopped out,0.12767069152435265,23.49795371342344,8.1480611207134e-05,6.232272490187496,0.007956785385904368,-0.015445203577694203,0.007488418191789833,-1.0,1.3390799006682825,False,middle_candle,0.16666666666666666,fvg_midpoint_1to1
BTC/USD,asia,2026-05-20 01:50:00,2026-05-20 02:30:00,2026-05-20 03:25:00,long,76571.2775,76474.848,76667.707,76667.707,target,0.12593429696924982,23.82194582570726,7.770888865489851e-05,5.950268877410835,0.007493429278547409,0.0003438539386052923,0.007149575339942117,1.0,1.8288957217449942,False,middle_candle,0.9166666666666666,fvg_midpoint_1to1
BTC/USD,london,2026-05-21 07:15:00,2026-05-21 07:35:00,2026-05-21 07:45:00,short,77617.15100000001,77671.5,77562.80200000003,77671.5,stopped out,0.07002189503192074,42.84374192718429,0.00013806592387759076,10.71628366156147,0.007503744896821445,-0.020379949145907936,0.012876204249086491,-1.0,1.3705679957319028,False,middle_candle,0.16666666666666666,fvg_midpoint_1to1
BTC/USD,new_york,2026-05-22 15:20:00,2026-05-22 15:30:00,2026-05-22 15:35:00,short,76909.85225,77030.639,76789.0655,76789.0655,target,0.15704977511512422,19.10222410570707,5.70621067468138e-05,4.388638198971178,0.006892346422100672,0.0016191562369631098,0.005273190185137562,1.0,2.6377251643909463,False,middle_candle,0.08333333333333333,fvg_midpoint_1to1
