section,asset,tf,fade_type,break_direction,trade_direction,age_cutoff,touch_cutoff,bucket,split,n_trades,expectancy,trades_per_year,win_rate_pct,random_pctl
fade_selected,BTC,4h,fade_breakdown,short,long,20,3,LOCAL,val,58,-8.961250383462545,45.85,50.0,
fade_regime_split,BTC,4h,fade_breakdown,short,long,20,3,STRUCTURAL/BULL(close>50d-SMA),train+val,31,258.2942540912914,6.13,58.06451612903226,
fade_regime_split,BTC,4h,fade_breakdown,short,long,20,3,STRUCTURAL/BEAR(close<=50d-SMA),train+val,68,17.371487732412923,13.44,58.82352941176471,
fade_eth_transfer,ETH,4h,fade_breakdown,short,long,20,3,STRUCTURAL,train,64,53.12039754652247,19.92,56.25,60.5
fade_eth_transfer,ETH,4h,fade_breakdown,short,long,20,3,STRUCTURAL,val,27,-91.3142679494972,25.22,48.148148148148145,34.0
fade_eth_transfer,ETH,4h,fade_breakdown,short,long,20,3,LOCAL,train,147,66.75660318024526,45.76,57.14285714285714,
fade_eth_transfer,ETH,4h,fade_breakdown,short,long,20,3,LOCAL,val,50,-1.7944688497495735,46.71,62.0,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,20,1,STRUCTURAL,train,108,-74.86962060974683,28.46,47.22222222222222,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,20,1,LOCAL,train,188,-32.09115200227793,49.54,55.85106382978723,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,20,2,STRUCTURAL,train,93,-80.73242568030707,24.51,47.31182795698925,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,20,2,LOCAL,train,188,-33.321079652769626,49.54,55.85106382978723,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,20,3,STRUCTURAL,train,77,-99.67230179103029,20.29,42.857142857142854,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,20,3,LOCAL,train,190,-31.997085149911666,50.07,56.315789473684205,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,50,1,STRUCTURAL,train,60,-88.67300689533293,15.81,48.333333333333336,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,50,1,LOCAL,train,190,-33.24293886229613,50.07,55.26315789473685,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,50,2,STRUCTURAL,train,54,-59.20572253638314,14.23,51.85185185185185,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,50,2,LOCAL,train,190,-33.24293886229613,50.07,55.26315789473685,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,50,3,STRUCTURAL,train,40,-45.68400870686887,10.54,52.5,
fade_sweep,BTC,4h,fade_breakout_mirror,long,short,50,3,LOCAL,train,192,-32.05513600463233,50.6,55.729166666666664,
