pair,session,entry_t,stop_move_in_price_pct,face_value_times_account,exchange_leverage_wanted,exchange_leverage_set,capped_by_the_exchange,margin_posted_dollars,margin_share_of_account_pct,position_dollars,contracts,below_min_lot,liquidation_move_pct,guard_needs_pct
ETH/USD,asia,2025-12-23 02:00:00,0.5862963698922934,5.116866066476106,51.16866066476107,52,False,222.29240613100353,9.840127050915589,11559.205118812184,385.55105175577245,False,1.9230769230769231,1.7588891096768802
ETH/USD,london,2025-12-31 09:00:00,0.2953739499156582,10.156616725532594,101.56616725532592,102,False,224.94317105536416,9.957467377973128,22944.203447647145,772.1453799703731,False,0.9803921568627451,0.8861218497469746
ETH/USD,asia,2026-02-08 01:00:00,0.4948896319649616,6.061957669406985,60.619576694069856,61,False,224.49516153274027,9.93763552361801,13694.204853497156,653.4840778150344,False,1.639344262295082,1.4846688958948848
ETH/USD,new_york,2026-03-25 16:00:00,0.4358256789114547,6.883486093552327,68.83486093552327,69,False,225.36333948954274,9.97606680224975,15550.070424778449,713.9823008849414,False,1.4492753623188406,1.307477036734364
ETH/USD,new_york,2026-04-06 16:00:00,0.41618367945477397,7.208355704697942,72.08355704697942,73,False,223.06799823480603,9.874459869449236,16283.96387114084,758.0671140939551,False,1.36986301369863,1.248551038364322
ETH/USD,london,2026-04-06 23:00:00,0.7785337257378453,3.8533976124885125,38.53397612488513,39,False,223.20459852605256,9.880506698688496,8704.97934251605,414.8833792470146,False,2.5641025641025643,2.335601177213536
ETH/USD,london,2026-04-08 23:00:00,1.7636266088526424,1.7010403363962063,17.010403363962066,18,False,213.48434230736038,9.450224091090037,3842.7181615324866,175.9102943466757,False,5.555555555555555,5.290879826557927
ETH/USD,london,2026-04-19 11:00:00,0.1787111975968146,16.78686081421835,167.8686081421835,150,True,252.81460035834544,11.191240542812233,37922.190053751816,1627.74588687398,False,0.6666666666666666,0.5361335927904438
ETH/USD,new_york,2026-04-25 22:00:00,0.1727674498359727,17.364382022471435,173.64382022471435,150,True,261.51222376029244,11.576254681647622,39226.83356404387,1692.1647940074442,False,0.6666666666666666,0.5183023495079181
ETH/USD,asia,2026-05-13 12:00:00,0.3492056506623421,8.590926275992004,85.90926275992004,86,False,225.6656522618253,9.989449158130236,19407.246094516977,854.079395085023,False,1.1627906976744187,1.0476169519870264
