#,when,market,symbol,dir,level_swept,level_price,swept_at,confirmed_by,pullback_to,entry,stop,stop_move_pct_of_price,position_$,margin_$,leverage_x,targets,targets_hit,exit,exit_at,held,outcome,pl_$,pl_pct_of_margin,equity_after_$
59,Mon 13 Jul 17:46,crypto,ADA/USD,SHORT,4h,0.16529,13 Jul 14:15,5-minute break of structure,a fair value gap,0.157254,0.176257,12.085,597.51,240.69,2.5,none,0,0.157235,13 Jul 23:54,0 days 06:08:00,flat by the close,-1.01,-0.4,2405.88
60,Tue 14 Jul 07:17,crypto,ETH/USD,SHORT,15m,1778.293,14 Jul 03:35,5-minute break of structure,the midpoint,1780.48,1792.578548,0.68,10621.81,240.59,44.1,1754.43 / 1750.88 / 1736.49 / 1731.38,0,1792.578548,14 Jul 10:40,0 days 03:23:00,stopped out,-57.74,-24.0,2348.13
61,Tue 14 Jul 09:00,crypto,ADA/USD,SHORT,1h,0.158284,14 Jul 05:05,5-minute break of structure,the midpoint,0.158365,0.160446,1.314,5361.0,234.81,22.8,0.1561 / 0.1553,0,0.160446,14 Jul 12:30,0 days 03:30:00,stopped out,-80.12,-34.1,2268.01
62,Tue 14 Jul 10:24,crypto,SOL/USD,SHORT,1h,75.2426,14 Jul 08:25,5-minute break of structure,the midpoint,75.101,75.445162,0.458,14847.34,226.8,65.5,74.4827 / 74.36 / 74.216 / 74.054,0,75.445162,14 Jul 10:55,0 days 00:31:00,stopped out,-40.26,-17.7,2227.75
63,Thu 16 Jul 02:08,crypto,BTC/USD,LONG,15m,64658.185,16 Jul 00:20,5-minute break of structure,the midpoint,64664.3,64266.129787,0.616,10853.86,222.78,48.7,65101 / 65160.7 / 65308.6 / 65536.2,3,64664.3,16 Jul 06:37,0 days 04:29:00,stopped at break even,34.19,15.3,2261.94
64,Thu 16 Jul 02:48,crypto,ETH/USD,LONG,15m,1914.34,16 Jul 00:25,5-minute break of structure,the midpoint,1921.7335,1905.709197,0.834,8137.97,226.19,36.0,1944.24,0,1905.709197,16 Jul 07:40,0 days 04:52:00,stopped out,-64.76,-28.6,2197.18
65,Thu 16 Jul 05:13,crypto,ADA/USD,SHORT,1h,0.166124,16 Jul 02:50,5-minute break of structure,the midpoint,0.1646,0.166619,1.226,5374.61,219.72,24.5,0.162448 / 0.162235 / 0.161939 / 0.161543,4,0.161543,16 Jul 08:10,0 days 02:57:00,all 4 targets reached,69.42,31.6,2266.6
66,Thu 16 Jul 10:18,sp500,QQQ,SHORT,premarket_ny,712.57,16 Jul 09:30,5-minute break of structure,a fair value gap,711.787,713.670179,0.265,25701.29,226.66,113.4,707 / 701.315 / 700.91 / 699.46,1,705.58,16 Jul 15:55,0 days 05:37:00,flat by the close,197.59,87.2,2464.19
67,Thu 16 Jul 14:08,crypto,LTC/USD,LONG,4h,44.8103,16 Jul 09:00,5-minute break of structure,the midpoint,44.8025,44.236644,1.263,5853.18,246.42,23.8,45.8808 / 45.963 / 46.0614 / 48.9631,0,44.9135,16 Jul 23:59,0 days 09:51:00,flat by the close,6.22,2.5,2470.41
68,Thu 16 Jul 15:48,crypto,LINK/USD,LONG,1h,8.48211,16 Jul 14:25,5-minute gap inversion,the midpoint and a fair value gap,8.440495,8.370018,0.835,8875.9,247.04,35.9,8.51521 / 8.53 / 8.54705 / 8.5615,0,8.370018,16 Jul 17:14,0 days 01:26:00,stopped out,-71.66,-29.0,2398.76
