name,n_tr,n_va,mean_tr,mean_va,gross_tr,gross_va,R_tr,win_tr,stop_tr,lev,verdict,n_assets_pos,arm,filt
"prev day high -> 1m BOS, target 1R",484,154,-0.44663494402310644,-0.4336708998104443,0.053365055976893574,0.06632910018955565,-3.7396917600567745,6.8181818181818175,0.28912120586311363,3.4587570185822227,reject,0,FVG,FVG
"prev day high -> 1m BOS, target 2R",484,154,-0.38576671259471085,-0.45369345150273754,0.11423328740528915,0.0463065484972625,-3.552810802847898,21.90082644628099,0.28912120586311363,3.4587570185822227,reject,0,FVG,FVG
"prev day high -> 1m BOS, target 3R",484,154,-0.3479103034349262,-0.4454340707377285,0.15208969656507382,0.05456592926227151,-3.3895876623520307,23.7603305785124,0.28912120586311363,3.4587570185822227,reject,0,FVG,FVG
"last session low -> 1m BOS, hold 24h",1060,641,-0.28740376317191274,-0.18567447557396613,0.2125962368280873,0.3143255244260339,-4.327807118941485,9.716981132075473,0.30904321942450175,3.2357933685204077,reject,1,FVG,FVG
"last session low -> 1m BOS, target 1R",1060,641,-0.4020725635594041,-0.4501424216381414,0.0979274364405959,0.04985757836185865,-4.590203478226865,12.452830188679245,0.30904321942450175,3.2357933685204077,reject,0,FVG,FVG
"last session low -> 1m BOS, target 2R",1060,641,-0.3314737023467017,-0.38513587292603696,0.16852629765329824,0.11486412707396307,-4.443033666906111,22.547169811320757,0.30904321942450175,3.2357933685204077,reject,0,FVG,FVG
"last session low -> 1m BOS, target 3R",1060,641,-0.275881063672453,-0.3792467324276883,0.22411893632754698,0.12075326757231164,-4.306230896079112,25.37735849056604,0.30904321942450175,3.2357933685204077,reject,0,FVG,FVG
"last session high -> 1m BOS, hold 24h",1033,371,-0.3335332573464203,-0.48738276295593363,0.16646674265357966,0.012617237044066369,-5.360562332437977,9.970958373668925,0.27484065874000757,3.638471849778148,reject,0,FVG,FVG
"last session high -> 1m BOS, target 1R",1033,371,-0.4436899064122839,-0.4657254477565319,0.056310093587716124,0.03427455224346815,-5.899129765031878,7.55082284607938,0.27484065874000757,3.638471849778148,reject,0,FVG,FVG
"last session high -> 1m BOS, target 2R",1033,371,-0.36929745524553137,-0.4492145696159162,0.13070254475446863,0.05078543038408375,-5.691966163870212,20.232333010648595,0.27484065874000757,3.638471849778148,reject,0,FVG,FVG
"last session high -> 1m BOS, target 3R",1033,371,-0.3363839923296368,-0.44227536678946877,0.1636160076703633,0.05772463321053118,-5.521444302719382,23.910939012584706,0.27484065874000757,3.638471849778148,reject,0,FVG,FVG
"1h swing low -> 1m BOS, hold 24h",1661,941,-0.31613227475645406,-0.3356769003532235,0.183867725243546,0.16432309964677647,-5.311450527883544,8.729680915111379,0.2995640900107762,3.3381838255847924,reject,0,FVG,FVG
"1h swing low -> 1m BOS, target 1R",1661,941,-0.4307059097619134,-0.44711261252327905,0.06929409023808655,0.052887387476720914,-5.581255154859421,10.836845273931367,0.2995640900107762,3.3381838255847924,reject,0,FVG,FVG
"1h swing low -> 1m BOS, target 2R",1661,941,-0.37265448906300147,-0.4163128986354852,0.12734551093699853,0.08368710136451472,-5.440978213257977,21.131848284166168,0.2995640900107762,3.3381838255847924,reject,0,FVG,FVG
"1h swing low -> 1m BOS, target 3R",1661,941,-0.35200703738136163,-0.4089312364561074,0.1479929626186384,0.09106876354389258,-5.3662429889397085,22.456351595424444,0.2995640900107762,3.3381838255847924,reject,0,FVG,FVG
"1h swing high -> 1m BOS, hold 24h",1704,560,-0.3545691846465784,-0.373288952044086,0.14543081535342156,0.12671104795591398,-4.987060985047503,8.274647887323944,0.25637203236601197,3.9005814743955396,reject,0,FVG,FVG
"1h swing high -> 1m BOS, target 1R",1704,560,-0.43700931562264544,-0.4523616407359545,0.0629906843773545,0.0476383592640456,-5.8070372421159195,7.042253521126761,0.25637203236601197,3.9005814743955396,reject,0,FVG,FVG
"1h swing high -> 1m BOS, target 2R",1704,560,-0.3901016442272972,-0.42025132522617376,0.10989835577270281,0.07974867477382627,-5.6556287914116945,17.84037558685446,0.25637203236601197,3.9005814743955396,reject,0,FVG,FVG
"1h swing high -> 1m BOS, target 3R",1704,560,-0.3746333972398683,-0.42009434160125364,0.12536660276013162,0.07990565839874643,-5.568650286639924,20.657276995305164,0.25637203236601197,3.9005814743955396,reject,0,FVG,FVG
"4h swing low -> 1m BOS, hold 24h",646,361,-0.3731554134239753,-0.06187592557754883,0.1268445865760247,0.4381240744224511,-11.86307744129259,10.8359133126935,0.3120639291114084,3.2044716056978024,reject,0,FVG,FVG
"4h swing low -> 1m BOS, target 1R",646,361,-0.4098616244671423,-0.4180247103346805,0.0901383755328577,0.08197528966531945,-12.047538728330741,11.609907120743033,0.3120639291114084,3.2044716056978024,reject,0,FVG,FVG
"4h swing low -> 1m BOS, target 2R",646,361,-0.32943025950597443,-0.35895250963433273,0.1705697404940256,0.14104749036566724,-11.870200005028693,22.445820433436534,0.3120639291114084,3.2044716056978024,reject,0,FVG,FVG
"4h swing low -> 1m BOS, target 3R",646,361,-0.3007986222255041,-0.32059513127945866,0.1992013777744959,0.17940486872054132,-11.76416194853504,24.148606811145513,0.3120639291114084,3.2044716056978024,reject,0,FVG,FVG
"4h swing high -> 1m BOS, hold 24h",699,223,-0.29245619645514837,-0.4555630514607775,0.20754380354485158,0.04443694853922241,-3.5283642517130307,10.586552217453505,0.28553302749692705,3.5022218226953172,reject,0,FVG,FVG
"4h swing high -> 1m BOS, target 1R",699,223,-0.44399266327124975,-0.45331648022386467,0.05600733672875028,0.04668351977613536,-4.3365853226425095,8.15450643776824,0.28553302749692705,3.5022218226953172,reject,0,FVG,FVG
"4h swing high -> 1m BOS, target 2R",699,223,-0.3769532158255503,-0.4028709670025985,0.12304678417444966,0.09712903299740153,-4.103395050825628,20.600858369098713,0.28553302749692705,3.5022218226953172,reject,0,FVG,FVG
"4h swing high -> 1m BOS, target 3R",699,223,-0.3327210638018391,-0.4045275922131747,0.16727893619816095,0.09547240778682534,-3.9646253798671163,22.746781115879827,0.28553302749692705,3.5022218226953172,reject,0,FVG,FVG
"prev day low -> 1m BOS, hold 24h",3103,947,-0.11516264775143843,-0.352384564768768,0.3848373522485616,0.147615435231232,-6.415831146180913,13.406380921688687,0.4715608885105719,2.120616922150831,reject,1,FVG_C,FVG_C
"prev day low -> 1m BOS, target 1R",3103,947,-0.38748002116619334,-0.42371269121717575,0.11251997883380663,0.0762873087828242,-7.490750258667872,17.466967450854014,0.4715608885105719,2.120616922150831,reject,0,FVG_C,FVG_C
"prev day low -> 1m BOS, target 2R",3103,947,-0.326216557302678,-0.39547030988719034,0.173783442697322,0.10452969011280962,-7.333446855652041,27.65066065098292,0.4715608885105719,2.120616922150831,reject,0,FVG_C,FVG_C
"prev day low -> 1m BOS, target 3R",3103,947,-0.3090934587863802,-0.3663914519618304,0.19090654121361975,0.1336085480381696,-7.2475696973121195,26.973896229455363,0.4715608885105719,2.120616922150831,reject,0,FVG_C,FVG_C
