family,config,symbol,train_trades,train_$per_trade,train_pct_of_position,train_cost_multiple,train_win_pct,train_worst_drop_pct,val_trades,val_$per_trade,val_pct_of_position,val_cost_multiple,val_win_pct,verdict,E,H,filter,rsi_n,thresh,gate_pct,orig_constant,lookback,exit_ma
D1-vol-gated-trend,"D1 trend 50/200 day avgs, only when daily range above 2.130% (1.25x this market's own median)",QQQ,19,38.89,0.5743,14.36,47.4,-36.5,16,309.06,2.5832,64.58,81.2,NOT ENOUGH TRADES,,,,,,2.1301,1.5% on BTC 4-hour bars,,
D1-vol-gated-trend,"D1 trend 50/200 day avgs, only when daily range above 2.556% (1.5x this market's own median)",QQQ,7,-54.26,-0.3592,-8.98,42.9,-36.5,8,273.42,2.5154,62.88,100.0,FAIL,,,,,,2.5562,1.5% on BTC 4-hour bars,,
D2-breakout,"D2 buy a new 10-day high, sell when price drops below the 10-day average",QQQ,199,-23.39,-0.2534,-6.34,36.7,-61.2,72,6.15,0.1027,2.57,48.6,FAIL,,,,,,,"20-day channel, 20-day exit on gold daily",10.0,10.0
D2-breakout,"D2 buy a new 10-day high, sell when price drops below the 20-day average",QQQ,156,-16.72,-0.1083,-2.71,32.7,-49.3,51,84.61,0.7894,19.73,45.1,FAIL,,,,,,,"20-day channel, 20-day exit on gold daily",10.0,20.0
D2-breakout,"D2 buy a new 10-day high, sell when price drops below the 40-day average",QQQ,151,18.69,0.269,6.73,39.7,-31.8,49,109.15,1.0763,26.91,42.9,SURVIVOR,,,,,,,"20-day channel, 20-day exit on gold daily",10.0,40.0
D2-breakout,"D2 buy a new 20-day high, sell when price drops below the 10-day average",QQQ,146,-18.43,-0.1658,-4.15,36.3,-48.1,61,20.29,0.2266,5.66,49.2,FAIL,,,,,,,"20-day channel, 20-day exit on gold daily",20.0,10.0
D2-breakout,"D2 buy a new 20-day high, sell when price drops below the 20-day average",QQQ,105,-12.4,-0.0446,-1.11,39.0,-42.2,38,135.02,1.1758,29.4,52.6,FAIL,,,,,,,"20-day channel, 20-day exit on gold daily",20.0,20.0
D2-breakout,"D2 buy a new 20-day high, sell when price drops below the 40-day average",QQQ,78,57.45,0.6584,16.46,34.6,-34.6,24,353.07,2.9224,73.06,45.8,SURVIVOR,,,,,,,"20-day channel, 20-day exit on gold daily",20.0,40.0
D2-breakout,"D2 buy a new 30-day high, sell when price drops below the 10-day average",QQQ,128,-25.61,-0.2633,-6.58,39.1,-43.8,57,4.95,0.085,2.13,40.4,FAIL,,,,,,,"20-day channel, 20-day exit on gold daily",30.0,10.0
D2-breakout,"D2 buy a new 30-day high, sell when price drops below the 20-day average",QQQ,93,-28.84,-0.2569,-6.42,38.7,-44.1,35,117.93,1.0516,26.29,57.1,FAIL,,,,,,,"20-day channel, 20-day exit on gold daily",30.0,20.0
D2-breakout,"D2 buy a new 30-day high, sell when price drops below the 40-day average",QQQ,61,29.25,0.4751,11.88,36.1,-32.3,21,370.75,3.0588,76.47,52.4,SURVIVOR,,,,,,,"20-day channel, 20-day exit on gold daily",30.0,40.0
