entry_idx,exit_idx,entry_time,exit_time,direction,entry_price,exit_price,stop_price,stop_dist_pct,notional,leverage,pnl,reason,hold_hours
1183,1184,2024-05-15 15:00:00+00:00,2024-05-15 16:00:00+00:00,1,77.433226663208,78.35616791613249,76.95999908447266,0.6111427860208218,19793.022227420104,3.272557650597645,212.02359337706582,"target:target_fixed_r(stop=stop_structure(k=5,n_back=1,buffer_pct=0.0,use=wick),r=2.0)",1.0
1285,1288,2024-05-22 15:00:00+00:00,2024-05-22 18:00:00+00:00,1,78.27347499999999,77.32679347457886,77.3499984741211,1.1798077520882995,10612.245861607673,1.6951914381473872,-141.00789678139884,"stop:stop_structure(k=5,n_back=1,buffer_pct=0.0,use=wick)",3.0
1400,1404,2024-05-30 15:00:00+00:00,2024-05-30 19:00:00+00:00,-1,78.77636305084229,77.94337416839599,79.36000061035156,0.7408790364345591,16518.74805356287,2.699496006291248,154.9531445134639,time_cap,4.0
1492,1493,2024-06-05 15:00:00+00:00,2024-06-05 16:00:00+00:00,-1,73.4979406440735,73.71210944213867,73.69000244140625,0.2613158894653222,48019.66101537447,7.653572096561733,-197.6340966534081,"stop:stop_structure(k=5,n_back=1,buffer_pct=0.0,use=wick)",1.0
1607,1608,2024-06-12 15:00:00+00:00,2024-06-12 16:00:00+00:00,-1,78.2165258644104,78.38350861053466,78.36000061035156,0.18343277760748192,66253.32939544016,10.903176771818252,-221.0316412255201,"stop:stop_structure(k=5,n_back=1,buffer_pct=0.0,use=wick)",1.0
1722,1726,2024-06-20 15:00:00+00:00,2024-06-21 07:00:00+00:00,-1,82.30530283050537,81.14433874740601,83.30000305175781,1.2085493729375738,9690.103868766722,1.6548765361059914,125.1384272509023,time_cap,4.0
1801,1805,2024-06-26 15:00:00+00:00,2024-06-26 19:00:00+00:00,-1,80.70578435592651,80.684201663208,81.62999725341797,1.145163143964401,10445.01464428165,1.7464760462655726,-9.739090267332914,time_cap,4.0
1907,1911,2024-07-03 15:30:00+00:00,2024-07-05 06:00:00+00:00,-1,82.55522783050537,83.76511986312866,84.37999725341797,2.2103620459494584,5402.629695958041,0.9048291449199682,-85.70915688799136,time_cap,4.0
1989,1993,2024-07-10 15:00:00+00:00,2024-07-10 19:00:00+00:00,1,81.83454055786133,82.38528066101074,80.80999755859375,1.251968902474836,9401.47098799502,1.5974837682042184,51.951441797034484,time_cap,4.0
2104,2108,2024-07-17 15:00:00+00:00,2024-07-17 19:00:00+00:00,1,82.51474486312866,82.87513152542114,80.44999694824219,2.502277524230813,4745.377794069141,0.7992718555927524,15.018750873073985,time_cap,4.0
2216,2217,2024-07-24 15:00:00+00:00,2024-07-24 16:00:00+00:00,-1,77.14684716949463,77.84334569473266,77.51000213623047,0.4707320908889104,25288.884973509666,4.248701201193412,-258.7972071070926,"stop:stop_structure(k=5,n_back=1,buffer_pct=0.0,use=wick)",1.0
2331,2332,2024-07-31 15:00:00+00:00,2024-07-31 16:00:00+00:00,-1,76.88693066101075,77.67329652633667,77.6500015258789,0.9924584819655272,11473.220787094528,2.0151976494160984,-131.18134997015667,"stop:stop_structure(k=5,n_back=1,buffer_pct=0.0,use=wick)",1.0
