family,indicator,mode,config,tf,asset,tr_n,tr_exp,tr_win%,tr_ret%,va_n,va_exp,va_win%,va_ret%,va_dd%,verdict,va_exp_delta_vs_base,tr_exp_delta_vs_base,va_sample_retention_vs_base,filter_is_noop
volume,VWAP fade band,filter,k=2,1h,BTC,351,6.2504,32.48,21.94,119,-0.8496,36.97,-1.01,-32.03,FAIL,-1.2682,-1.4848,1.0,False
volume,VWAP fade band,signal,k=1,15m,BTC,6567,-1.5195,71.36,-99.78,2252,-3.5812,70.03,-80.65,-82.6,FAIL,,,,False
volume,VWAP fade band,signal,k=2,15m,BTC,3460,-2.8204,68.47,-97.59,1160,-5.9,66.72,-68.44,-72.5,FAIL,,,,False
volume,Volume oscillator confirm,signal,5/20,1h,BTC,8557,-1.1305,33.33,-96.73,2844,-3.1,33.97,-88.16,-89.19,FAIL,,,,False
volume,Volume oscillator confirm,filter,5/20,1h,BTC,340,12.7797,33.53,43.45,117,-0.4335,35.9,-0.51,-27.17,FAIL,-0.8521000000000001,5.0445,0.983,False
volume,Volume oscillator confirm,signal,10/50,1h,BTC,8303,-1.1819,32.31,-98.13,2767,-2.8113,34.12,-77.79,-80.37,FAIL,,,,False
volume,Volume oscillator confirm,filter,10/50,1h,BTC,307,14.8381,34.53,45.55,108,-6.2053,38.89,-6.7,-30.74,FAIL,-6.6239,7.102900000000001,0.908,False
volume,Volume oscillator confirm,signal,5/20,15m,BTC,32490,-0.3078,31.36,-100.0,10691,-0.9246,31.75,-98.85,-98.86,FAIL,,,,False
volume,Volume oscillator confirm,signal,10/50,15m,BTC,30889,-0.3237,30.49,-100.0,10267,-0.9554,31.42,-98.09,-98.1,FAIL,,,,False
volume,A/D line trend (vs own MA),signal,20,1h,BTC,4518,-2.179,29.79,-98.45,1483,-5.6096,30.14,-83.19,-84.78,FAIL,,,,False
volume,A/D line trend (vs own MA),filter,20,1h,BTC,348,11.2677,35.06,39.21,118,1.5237,38.98,1.8,-27.76,SURVIVOR,1.1051,3.5324999999999998,0.992,False
volume,A/D line trend (vs own MA),signal,50,1h,BTC,2526,-3.227,28.82,-81.51,849,-7.7794,28.86,-66.05,-66.66,FAIL,,,,False
volume,A/D line trend (vs own MA),filter,50,1h,BTC,337,9.3195,34.42,31.41,113,9.0133,40.71,10.19,-27.11,SURVIVOR,8.5947,1.5842999999999998,0.95,False
volume,A/D line trend (vs own MA),signal,20,15m,BTC,18287,-0.5468,28.25,-100.0,5899,-1.6717,27.6,-98.61,-98.62,FAIL,,,,False
