family,indicator,tf,eye_direction,eye_state,eye_tr_n,eye_tr_exp,eye_va_n,eye_va_exp,eye_va_win_pct,eye_va_ret_pct,eye_verdict,ungated_tr_n,ungated_tr_exp,ungated_va_n,ungated_va_exp,ungated_verdict,atr_gate_dir,atr_tr_n,atr_tr_exp,atr_va_n,atr_va_exp,control_n_draws,control_mean_va_exp,control_median_va_exp,control_pct_beat_eye,control_pct_beat_ungated
momentum,Ultimate Oscillator extremes,15m,short,transition|at range high|clean|expanding,32,24.8073,8,-34.5785,25.0,-2.77,FAIL,1510,2.7443,430,-5.4337,FAIL,below,348,-2.5315662523495464,65,-5.1812783448285,20,26.477890000000002,6.6167,0.95,0.95
momentum,Williams %R extremes,15m,long,transition|mid range|messy|stalling,73,15.215,24,-15.9797,29.17,-3.84,FAIL,18121,-0.5504,6345,-1.3545,FAIL,below,1248,-4.249380532928209,357,-5.22111512696855,20,-3.5842499999999995,-2.7487,0.85,0.35
momentum,Williams %R extremes,1h,short,downtrend|pulling back in trend|clean|expanding,32,63.1896,10,15.0399,40.0,1.5,SURVIVOR,4020,-2.2536,1520,0.7962,FAIL,below,507,-7.810699615295648,139,0.5292250830960309,20,-19.164250000000003,-34.9697,0.2,0.2
trend,ADX/DMI DI cross,15m,short,uptrend|at range high|clean|contracting,34,24.9859,8,-43.161,12.5,-3.45,FAIL,10624,-0.934,3541,-1.9647,FAIL,below,1139,-6.031586482285659,328,-9.897466181429577,20,-12.527174999999998,-15.2832,1.0,0.2
trend,ADX/DMI DI cross,1h,long,downtrend|pulling back in trend|messy|expanding,75,62.9792,16,-57.4254,18.75,-9.19,FAIL,2537,5.002,840,-1.9009,FAIL,below,420,-5.991481038586891,108,-3.757960234990218,20,9.208205000000001,13.9265,0.95,0.8
trend,ADX/DMI DI-cross+ADX>thresh,15m,long,downtrend|pulling back in trend|clean|contracting,34,23.775,8,40.6252,62.5,3.25,SURVIVOR,6259,-1.481,2072,-1.4556,FAIL,below,938,-5.451641318146256,235,-4.63109552683054,20,-3.4721099999999994,-5.2242500000000005,0.0,0.5
trend,ADX/DMI DI-cross+ADX>thresh,1h,long,downtrend|pulling back in trend|messy|expanding,28,50.1609,7,-67.9863,14.29,-4.76,UNRELIABLE,1636,1.3086,494,-1.9158,FAIL,above,234,-2.9776840990777997,124,2.9533991261418593,20,-7.6601,3.9097,0.75,0.55
trend,Aroon oscillator 0-cross,15m,long,uptrend|at range high|clean|contracting,22,18.4885,9,36.6628,66.67,3.3,SURVIVOR,10148,-0.9747,3395,-2.5174,FAIL,above,1004,-5.03588279604537,454,-3.1870404452796968,20,-11.067784999999997,-9.03555,0.0,0.25
trend,Aroon oscillator 0-cross,1h,long,transition|mid range|messy|stalling,32,19.8351,14,-23.8742,42.86,-3.34,FAIL,2561,-1.121,852,-1.7828,FAIL,below,500,-1.941089972888418,124,-5.627938213455955,20,-8.588429999999999,-3.813,0.85,0.3
trend,Aroon up/down cross,15m,long,uptrend|at range high|clean|contracting,22,18.4885,9,36.6628,66.67,3.3,SURVIVOR,10148,-0.9747,3395,-2.5174,FAIL,above,1004,-5.03588279604537,454,-3.1870404452796968,20,-18.083655,-21.0777,0.0,0.25
trend,Aroon up/down cross,1h,long,transition|mid range|messy|stalling,32,19.8351,14,-23.8742,42.86,-3.34,FAIL,2561,-1.121,852,-1.7828,FAIL,below,500,-1.941089972888418,124,-5.627938213455955,20,-34.91895,-81.1582,0.45,0.3
