symbol,level_kind,n_sweeps,pct_confirmed,risk_med_pct,risk_p25,risk_p75,level_to_conf_med_pct,wait_bars_med,nearest_unswept_med_pct,nearest_unswept_med_xrisk,stacked_pool_med_pct,stacked_pool_med_xrisk,pct_with_stack,sweeps_per_week,weeks,confirmed_per_week,confirmed_per_trading_day
QQQ,ny session,1980,43.63636363636363,0.330840697937919,0.174699494702087,0.6034321645336755,0.2166156390476439,7.0,0.8512503657031479,2.7565615431720656,0.7703440759074053,3.729204173014125,5.555555555555555,4.5440108892921955,440.8,1.9600725952813067,0.39201451905626133
QQQ,prior day,1904,37.5,0.3543270639054309,0.1996738872673516,0.5857200866671589,0.2271629122451081,6.0,1.2109431471371168,3.55600750938658,1.2602374298324253,4.615646258503281,7.002801120448179,4.394283121597096,440.8,1.6197822141560798,0.32395644283121594
BTCUSDT,5-minute swing,143261,37.920997340518355,0.5163864735696619,0.315742266126474,0.8429251698327639,0.3283390329716055,6.0,0.157730679697545,0.3074324324324324,0.593934883596269,1.2374999999999998,79.23646136288333,796.0146420824294,263.42857142857144,206.22668112798263,41.245336225596525
BTCUSDT,15-minute swing,53537,39.8378691372322,0.5337836615409441,0.3258078615362714,0.8790194185958802,0.3307681850110741,6.0,0.2567825577890442,0.5,1.023263043365629,2.096774193548387,56.990810202550634,268.0650759219089,263.42857142857144,80.96312364425162,16.192624728850326
BTCUSDT,1-hour swing,13932,42.0183749641114,0.6418210211671251,0.3926850609485401,1.028685913920636,0.3756141261642617,6.0,0.6569889616192846,1.085315066360486,1.4504821162864638,2.825050942435058,24.29108302015716,62.96203904555314,263.42857142857144,22.222342733188718,4.444468546637744
BTCUSDT,4-hour swing,3298,45.2698605215282,0.8477313095430326,0.550080220032088,1.3620983210845024,0.4990346638964268,6.0,1.786536513491113,2.211760745146454,2.1584581148392767,3.298201053694629,6.162089752176826,13.795010845986983,263.42857142857144,5.667570498915401,1.1335140997830802
BTCUSDT,asia session,2405,44.61538461538462,0.7881031256834142,0.4984308657928742,1.2790468864599918,0.4677971063527473,6.0,1.6333728902953586,2.324324324324324,1.9174268080021748,2.554935525467446,0.1863932898415657,9.156182212581344,263.42857142857144,4.073210412147506,0.8146420824295012
BTCUSDT,london session,2178,45.95959595959596,0.7427636143678059,0.4790110739119175,1.2387363622934628,0.4928610898201458,6.0,1.6161638977671866,2.5315985130111605,0.5819783683117254,2.876106194690265,0.0999000999000999,8.218546637744033,263.42857142857144,3.7998915401301514,0.7599783080260303
BTCUSDT,ny session,1953,47.465437788018434,0.8468530898418392,0.535943826923226,1.2898285227574835,0.510034706503697,6.0,2.2483113911416783,2.932917689233629,1.3350918980878774,3.3642971983716694,0.6472491909385114,7.641540130151843,263.42857142857144,3.518980477223427,0.7037960954446854
BTCUSDT,prior day,1763,45.09359047078843,1.0117721921730831,0.6758509040819556,1.4931400033889035,0.5717835959266486,6.0,3.382692434404398,3.462927081314987,2.004683037375809,3.6018408149793344,2.767295597484277,7.106290672451193,263.42857142857144,3.0178958785249455,0.6035791757049891
