family,cell,timeframe,dial_in_source_market,dial_re_derived_for_ethereum,train_trades,train_avg_profit_per_trade,train_win_pct,train_return_pct,train_worst_drawdown_pct,val_trades,val_avg_profit_per_trade,val_win_pct,val_return_pct,val_worst_drawdown_pct,profit_pct_of_position_train,profit_pct_of_position_val,times_bigger_than_trading_cost_train,times_bigger_than_trading_cost_val,median_stop_distance_pct_train,avg_leverage_out_train,median_hold_hours_train,verdict,source_market,t_stat_train,luck
C RSI dip-buy,1d RSI<5.00 above 200-bar avg [the S&P's number copied straight across + the S&P's 200-bar filter copied straight across],1d,RSI(2)<5 above the 200-day average (S&P),RSI(2)<5.30 above the 100-bar average,11,-430.4733498055829,27.27272727272727,-47.352068478614115,-47.77711594328763,5,-56.50627458141813,40.0,-2.8253137290709107,-4.873521418582716,-4.63605620400106,-0.3723612080734313,-25.755867800005895,-2.0686733781857294,4.708977197877457,1.0874030102442391,24.0,NOT ENOUGH TRADES,S&P 500 tracker,,0.2
C RSI dip-buy,4h RSI<4.01 above 50-bar avg [Ethereum's own trigger + Ethereum's own trend filter],4h,RSI(2)<5 above the 200-day average (S&P),RSI(2)<4.01 above the 50-bar average,28,-18.6534397913787,46.42857142857143,-5.222963141586046,-7.063523027866776,14,-51.6716388279835,50.0,-7.234029435917688,-8.291862055359353,-0.3002023994244029,-0.9335263120378006,-1.6677911079133496,-5.186257289098892,5.268873862481927,0.6510802450260049,8.0,NOT ENOUGH TRADES,S&P 500 tracker,,0.3
C RSI dip-buy,4h RSI<4.01 above 200-bar avg [Ethereum's own trigger + the S&P's 200-bar filter copied straight across],4h,RSI(2)<5 above the 200-day average (S&P),RSI(2)<4.01 above the 50-bar average,52,-10.615472975126195,51.92307692307693,-5.520045947065633,-24.01228362006732,21,-36.57721658530623,57.14285714285714,-7.681215482914306,-8.192055701325545,-0.0588244098978367,-0.3355488061561787,-0.3268022772102042,-1.8641600342009932,3.4402337775163145,1.6956037637670154,8.0,DIES,S&P 500 tracker,,0.3
C RSI dip-buy,4h RSI<5.00 above 50-bar avg [the S&P's number copied straight across + Ethereum's own trend filter],4h,RSI(2)<5 above the 200-day average (S&P),RSI(2)<4.01 above the 50-bar average,38,-39.910997975381015,52.63157894736842,-15.166179230644794,-16.668916451128243,16,-22.659954413035777,56.25,-3.625592706085723,-5.631099038199223,-0.4607523059277466,-0.2840958318348137,-2.559735032931926,-1.5783101768600762,5.121952951283062,0.945122664394508,8.0,DIES,S&P 500 tracker,,0.3
C RSI dip-buy,4h RSI<5.00 above 200-bar avg [the S&P's number copied straight across + the S&P's 200-bar filter copied straight across],4h,RSI(2)<5 above the 200-day average (S&P),RSI(2)<4.01 above the 50-bar average,68,-5.430700378537548,58.82352941176471,-3.6928762574055303,-25.1857416100123,25,-32.95381505735964,56.00000000000001,-8.238453764339903,-10.753906037302343,-0.0325873185894056,-0.2702736825291734,-0.1810406588300313,-1.5015204584954076,3.565654741347506,1.5298080281695954,8.0,DIES,S&P 500 tracker,,0.3
C RSI dip-buy,1h RSI<4.43 above 150-bar avg [Ethereum's own trigger + Ethereum's own trend filter],1h,RSI(2)<5 above the 200-day average (S&P),RSI(2)<4.43 above the 150-bar average,250,-34.60336594617139,49.6,-86.50841486542848,-88.10845974997542,86,-47.74691050835765,52.32558139534884,-41.06234303718759,-44.52350063267049,-0.2539063760452267,-0.1875281286568028,-1.410590978029037,-1.0418229369822378,2.0297930182065915,2.90776285482153,1.0,DIES,S&P 500 tracker,,0.0
C RSI dip-buy,1h RSI<4.43 above 200-bar avg [Ethereum's own trigger + the S&P's 200-bar filter copied straight across],1h,RSI(2)<5 above the 200-day average (S&P),RSI(2)<4.43 above the 150-bar average,256,-33.94347219073593,51.171875,-86.89528880828391,-87.45245420073137,84,-64.02916096790052,53.57142857142857,-53.78449521303644,-56.81548527556532,-0.2427770161896308,-0.2506472181894241,-1.3487612010535044,-1.392484545496801,1.8901352871430697,3.1626526087886546,1.0,DIES,S&P 500 tracker,,0.0
C RSI dip-buy,1h RSI<5.00 above 150-bar avg [the S&P's number copied straight across + Ethereum's own trend filter],1h,RSI(2)<5 above the 200-day average (S&P),RSI(2)<4.43 above the 150-bar average,288,-32.90671759168166,48.61111111111111,-94.77134666404324,-95.27368511062916,97,-33.21001904750558,53.608247422680414,-32.2137184760804,-36.57237171246802,-0.257982810352341,-0.1307887619888358,-1.4332378352907833,-0.7266042332713103,1.9620206474443769,3.061159658233652,1.0,DIES,S&P 500 tracker,,0.0
C RSI dip-buy,1h RSI<5.00 above 200-bar avg [the S&P's number copied straight across + the S&P's 200-bar filter copied straight across],1h,RSI(2)<5 above the 200-day average (S&P),RSI(2)<4.43 above the 150-bar average,289,-32.82393354024061,50.86505190311419,-94.86116793129544,-95.06461767999716,95,-52.27818436914555,54.736842105263165,-49.66427515068826,-53.471211598430536,-0.2483224649041817,-0.2136849440858396,-1.379569249467676,-1.1871385782546648,1.8372369756801503,3.300409367317896,1.0,DIES,S&P 500 tracker,,0.0
D flag touch,1h 80-hour trend line (touched on 5.7% of bars),1h,"80-hour trend line, 2.20% stop (Bitcoin 2h)","80-hour trend line, chart stop off Ethereum's own swings",204,-24.961590420801414,37.25490196078432,-50.921644458434926,-68.84756376939207,63,-58.10009524339833,31.746031746031743,-36.60306000334095,-44.42809775473093,-0.12298422189357,-0.2854706492349981,-0.6832456771865005,-1.5859480513055455,2.0870534610677343,2.1968272962017283,17.5,DIES,Bitcoin,,0.0
D flag touch,1h 40-hour trend line (touched on 9.3% of bars),1h,"80-hour trend line, 2.20% stop (Bitcoin 2h)","40-hour trend line, chart stop off Ethereum's own swings",253,-29.04724981902084,33.99209486166008,-73.48954204212271,-81.71323114984021,72,-34.536604007831656,37.5,-24.8663548856388,-30.34175010789629,-0.3450206692068044,-0.3095426180877931,-1.916781495593358,-1.7196812115988505,2.448289703330896,1.558669342999259,23.0,DIES,Bitcoin,,0.0
D flag touch,1h 160-hour trend line (touched on 4.1% of bars),1h,"80-hour trend line, 2.20% stop (Bitcoin 2h)","160-hour trend line, chart stop off Ethereum's own swings",140,-29.861893747373493,40.0,-41.8066512463229,-58.40647062555717,50,-129.5119608904978,32.0,-64.75598044524887,-64.75598044524887,-0.1620224409816675,-0.7365637924334065,-0.900124672120375,-4.09202106907448,2.146861942390691,2.0985113665309965,17.5,DIES,Bitcoin,,0.0
D flag touch,4h 80-hour trend line (touched on 12.7% of bars),4h,"80-hour trend line, 2.20% stop (Bitcoin 2h)","80-hour trend line, chart stop off Ethereum's own swings",138,-0.5050986191139274,42.7536231884058,-0.6970360943772125,-26.48223781176074,43,-35.27096473966113,37.2093023255814,-15.16651483805428,-15.254505587444015,-0.0101321708439799,-0.5295449388511372,-0.056289838022111,-2.9419163269507616,5.388899058470791,0.4682000066430014,48.0,DIES,Bitcoin,,0.3
D flag touch,4h 40-hour trend line (touched on 20.4% of bars),4h,"80-hour trend line, 2.20% stop (Bitcoin 2h)","40-hour trend line, chart stop off Ethereum's own swings",189,-3.58135178296972,43.91534391534391,-6.768754869812765,-26.95961389795064,55,3.9411246692571695,43.63636363636363,2.167618568091445,-11.449341138941206,-0.0771832051613451,0.0589866477278721,-0.428795584229695,0.3277035984881785,6.137656344985366,0.4821804487605135,48.0,DIES,Bitcoin,,0.3
D flag touch,4h 160-hour trend line (touched on 8.7% of bars),4h,"80-hour trend line, 2.20% stop (Bitcoin 2h)","160-hour trend line, chart stop off Ethereum's own swings",100,-16.883376755466976,44.0,-16.883376755466983,-30.28192429767372,38,-46.61891029493858,31.57894736842105,-17.71518591207667,-19.398517298204005,-0.2105504232686826,-0.4998670917666006,-1.1697245737149036,-2.7770393987033373,4.621932557524426,0.8586782114152095,48.0,DIES,Bitcoin,,0.3
E turn of the month,1d 3 days before through 3 after,1d,3 trading days either side (S&P),3 calendar days either side,38,42.58676512992439,65.78947368421053,16.182970749371272,-7.858384808607986,12,-104.0552496249582,25.0,-12.486629954994989,-12.486629954994989,0.940551824109125,-5.064740793444001,5.225287911717361,-28.137448852466672,11.907529610195574,0.3993735723269094,168.0,DIES,S&P 500 tracker,3.0058660016050314,0.2
E turn of the month,1d 5 days before through 5 after,1d,3 trading days either side (S&P),5 calendar days either side,38,58.70386521345222,52.63157894736842,22.30746878111185,-12.82507391500302,13,-74.18953846957115,30.76923076923077,-9.644640001044246,-9.644640001044245,1.8079532236519087,-2.0283090523317204,10.044184575843936,-11.268383624065114,11.275383143622031,0.2646212642355727,264.0,DIES,S&P 500 tracker,2.7968152803966846,0.2
A2 volatility gate ladder,4h 20/100 gate 2.01% matched to Bitcoin's whole history (53.5% of bars),4h,1.50% on Bitcoin 4h,2.01% on Ethereum 4h,29,71.99032778553692,41.37931034482759,20.87719505780572,-4.587895013184871,10,-36.235703130052954,50.0,-3.6235703130052976,-5.3434248636892026,2.5218716738477087,-1.3270817021263546,14.010398188042826,-7.372676122924192,10.673698941614749,0.2488115628594319,132.0,NOT ENOUGH TRADES,Bitcoin,,0.3
A2 volatility gate ladder,4h 10/50 gate 2.01% matched to Bitcoin's whole history (53.5% of bars),4h,1.50% on Bitcoin 4h,2.01% on Ethereum 4h,67,27.37622967525728,37.3134328358209,18.342073882422373,-6.341922258758966,20,5.063807553912015,35.0,1.0127615107824006,-7.304117306707989,1.0039718668963165,0.2021257492432426,5.577621482757314,1.1229208291291255,10.571168244360988,0.2469163218659158,100.0,SURVIVES (first 60% + middle 20%; final slice untouched),Bitcoin,,0.3
A2 volatility gate ladder,4h 20/100 gate 2.86% matched to Bitcoin's most recent fifth (24.3% of bars),4h,1.50% on Bitcoin 4h,2.86% on Ethereum 4h,19,146.8769029494771,36.84210526315789,27.906611560400663,-5.883690314637715,4,-33.59274027091818,50.0,-1.3437096108367186,-1.7423970531813937,3.410858373401551,-1.262250311715923,18.949213185564172,-7.012501731755128,8.345888660907637,0.3697346360810283,124.0,NOT ENOUGH TRADES,Bitcoin,,0.3
A2 volatility gate ladder,4h 10/50 gate 2.86% matched to Bitcoin's most recent fifth (24.3% of bars),4h,1.50% on Bitcoin 4h,2.86% on Ethereum 4h,34,55.46656343193756,41.17647058823529,18.85863156685876,-3.2474727357443536,7,-68.71050637381256,28.57142857142857,-4.809735446166885,-5.512322221965787,1.9813906714337464,-2.5358103189994003,11.007725952409702,-14.08783510555222,11.138367366581228,0.262191616685178,48.0,NOT ENOUGH TRADES,Bitcoin,,0.3
A2 volatility gate ladder,4h 20/100 gate 3.09% matched to the 18.7% figure in round 170's notes,4h,1.50% on Bitcoin 4h,3.09% on Ethereum 4h,16,72.52541747104075,25.0,11.60406679536652,-6.991641882322745,3,-27.497047363867136,66.66666666666666,-0.8249114209160191,-1.4796973100506328,2.1283964480754465,-1.2592185280968573,11.82442471153026,-6.995658489426986,8.14338220705443,0.3222032915130691,54.0,NOT ENOUGH TRADES,Bitcoin,,0.3
A2 volatility gate ladder,4h 10/50 gate 3.09% matched to the 18.7% figure in round 170's notes,4h,1.50% on Bitcoin 4h,3.09% on Ethereum 4h,24,87.21723102656011,41.66666666666667,20.932135446374424,-2.1642488391768167,4,-7.68087621872824,50.0,-0.3072350487491326,-1.4796973100506328,3.293992110327882,-0.3389026847751326,18.299956168488237,-1.8827926931951808,10.586385104042376,0.2438542598078365,84.0,NOT ENOUGH TRADES,Bitcoin,,0.3
A2 volatility gate ladder,1h 20/100 gate 0.94% matched to Bitcoin's whole history (53.5% of bars),1h,1.50% on Bitcoin 4h,0.94% on Ethereum 1h,142,-17.86211857926327,33.80281690140845,-25.364208382553834,-29.15773068782983,56,-17.01515022008065,21.428571428571427,-9.528484123245162,-23.702685610564583,-0.444217338839662,-0.3775513143075648,-2.467874104664789,-2.097507301708694,5.910583982550797,0.442037394832511,25.5,DIES,Bitcoin,,0.0
A2 volatility gate ladder,1h 10/50 gate 0.94% matched to Bitcoin's whole history (53.5% of bars),1h,1.50% on Bitcoin 4h,0.94% on Ethereum 1h,253,-11.529847890082689,32.015810276679844,-29.170515161909183,-40.639399711610984,89,-2.077956516787303,30.337078651685395,-1.849381299940689,-18.01195440186354,-0.3032257782296496,-0.0480961841118394,-1.684587656831387,-0.2672010228435527,5.499991738065397,0.4265388419586215,22.0,DIES,Bitcoin,,0.0
A2 volatility gate ladder,1h 20/100 gate 1.37% matched to Bitcoin's most recent fifth (24.3% of bars),1h,1.50% on Bitcoin 4h,1.37% on Ethereum 1h,75,-1.2113128899267829,40.0,-0.9084846674450864,-9.829102318080626,24,-45.19493009280078,20.833333333333336,-10.846783222272183,-15.977399053131697,-0.0279483439663675,-1.1649494085811134,-0.1552685775909308,-6.471941158783962,6.750186812461699,0.438626433385227,20.0,DIES,Bitcoin,,0.0
A2 volatility gate ladder,1h 10/50 gate 1.37% matched to Bitcoin's most recent fifth (24.3% of bars),1h,1.50% on Bitcoin 4h,1.37% on Ethereum 1h,130,-3.675797934887975,36.92307692307693,-4.778537315354347,-17.773071737789643,34,-33.731648877453885,26.47058823529412,-11.46876061833433,-19.081659157067023,-0.1029702943762304,-0.9098781213724738,-0.5720571909790577,-5.054878452069298,7.104585670548953,0.3594694269917933,21.0,DIES,Bitcoin,,0.0
A2 volatility gate ladder,1h 20/100 gate 1.49% matched to the 18.7% figure in round 170's notes,1h,1.50% on Bitcoin 4h,1.49% on Ethereum 1h,65,-22.786263327752188,46.15384615384615,-14.811071163038925,-19.860198398094106,18,28.25533762736218,38.88888888888889,5.085960772925202,-7.531316999074083,-0.4877748132648989,0.5434198510946102,-2.7098600736938834,3.0189991727478342,6.1857066167445085,0.5144273837664556,15.0,DIES,Bitcoin,,0.0
A2 volatility gate ladder,1h 10/50 gate 1.49% matched to the 18.7% figure in round 170's notes,1h,1.50% on Bitcoin 4h,1.49% on Ethereum 1h,103,-7.602463194583967,39.80582524271845,-7.830537090421497,-17.004165093709396,31,-6.792572655322271,35.483870967741936,-2.1056975231498964,-11.563612837573006,-0.1913299883891205,-0.190039086112765,-1.0629443799395588,-1.0557727006264723,7.092377793609844,0.402512694855877,21.0,DIES,Bitcoin,,0.0
