asset,family,config,gate,execution,tr_n,tr_exp,tr_win%,tr_dd%,tr_avgcost,tr_grossedge,va_n,va_exp,va_win%,va_dd%,va_avgcost,va_grossedge,verdict,tr_exp_makerENTRY_takerEXIT,va_exp_makerENTRY_takerEXIT,tr_exp_makerMAKER_theoretical,va_exp_makerMAKER_theoretical,trades_per_calm_day
BTCUSDT,S1-range-edge-fade,W48 K1.5 S0.3 hold2h,calm-gated,taker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,0.0,0.0,0.0,0.0,0.0
BTCUSDT,S1-range-edge-fade,W48 K1.5 S0.3 hold2h,calm-gated,maker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,,,,,
BTCUSDT,S1-range-edge-fade,W48 K1.5 S0.3 hold2h,ungated,taker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,0.0,0.0,0.0,0.0,
BTCUSDT,S1-range-edge-fade,W48 K1.5 S0.3 hold2h,ungated,maker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,,,,,
BTCUSDT,S1-range-edge-fade,W48 K1.5 S0.3 hold4h,calm-gated,taker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,0.0,0.0,0.0,0.0,0.0
BTCUSDT,S1-range-edge-fade,W48 K1.5 S0.3 hold4h,calm-gated,maker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,,,,,
BTCUSDT,S1-range-edge-fade,W48 K1.5 S0.3 hold4h,ungated,taker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,0.0,0.0,0.0,0.0,
BTCUSDT,S1-range-edge-fade,W48 K1.5 S0.3 hold4h,ungated,maker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,,,,,
BTCUSDT,S1-range-edge-fade,W48 K1.5 S0.5 hold2h,calm-gated,taker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,0.0,0.0,0.0,0.0,0.0
BTCUSDT,S1-range-edge-fade,W48 K1.5 S0.5 hold2h,calm-gated,maker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,,,,,
BTCUSDT,S1-range-edge-fade,W48 K1.5 S0.5 hold2h,ungated,taker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,0.0,0.0,0.0,0.0,
BTCUSDT,S1-range-edge-fade,W48 K1.5 S0.5 hold2h,ungated,maker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,,,,,
BTCUSDT,S1-range-edge-fade,W48 K1.5 S0.5 hold4h,calm-gated,taker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,0.0,0.0,0.0,0.0,0.0
BTCUSDT,S1-range-edge-fade,W48 K1.5 S0.5 hold4h,calm-gated,maker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,,,,,
BTCUSDT,S1-range-edge-fade,W48 K1.5 S0.5 hold4h,ungated,taker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,0.0,0.0,0.0,0.0,
BTCUSDT,S1-range-edge-fade,W48 K1.5 S0.5 hold4h,ungated,maker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,,,,,
BTCUSDT,S1-range-edge-fade,W48 K2.5 S0.3 hold2h,calm-gated,taker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,0.0,0.0,0.0,0.0,0.0
BTCUSDT,S1-range-edge-fade,W48 K2.5 S0.3 hold2h,calm-gated,maker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,,,,,
BTCUSDT,S1-range-edge-fade,W48 K2.5 S0.3 hold2h,ungated,taker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,0.0,0.0,0.0,0.0,
BTCUSDT,S1-range-edge-fade,W48 K2.5 S0.3 hold2h,ungated,maker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,,,,,
BTCUSDT,S1-range-edge-fade,W48 K2.5 S0.3 hold4h,calm-gated,taker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,0.0,0.0,0.0,0.0,0.0
BTCUSDT,S1-range-edge-fade,W48 K2.5 S0.3 hold4h,calm-gated,maker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,,,,,
BTCUSDT,S1-range-edge-fade,W48 K2.5 S0.3 hold4h,ungated,taker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,0.0,0.0,0.0,0.0,
BTCUSDT,S1-range-edge-fade,W48 K2.5 S0.3 hold4h,ungated,maker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,,,,,
BTCUSDT,S1-range-edge-fade,W48 K2.5 S0.5 hold2h,calm-gated,taker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,0.0,0.0,0.0,0.0,0.0
BTCUSDT,S1-range-edge-fade,W48 K2.5 S0.5 hold2h,calm-gated,maker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,,,,,
BTCUSDT,S1-range-edge-fade,W48 K2.5 S0.5 hold2h,ungated,taker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,0.0,0.0,0.0,0.0,
BTCUSDT,S1-range-edge-fade,W48 K2.5 S0.5 hold2h,ungated,maker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,,,,,
BTCUSDT,S1-range-edge-fade,W48 K2.5 S0.5 hold4h,calm-gated,taker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,0.0,0.0,0.0,0.0,0.0
BTCUSDT,S1-range-edge-fade,W48 K2.5 S0.5 hold4h,calm-gated,maker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,,,,,
BTCUSDT,S1-range-edge-fade,W48 K2.5 S0.5 hold4h,ungated,taker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,0.0,0.0,0.0,0.0,
BTCUSDT,S1-range-edge-fade,W48 K2.5 S0.5 hold4h,ungated,maker,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,FAIL,,,,,
BTCUSDT,S2-micro-meanrev,win48 Z2.0,calm-gated,taker,1397,-6.741988667030751,26.700071581961343,-94.20131660414312,5.846052157988541,-0.89593650904221,527,-12.230244953164739,28.842504743833018,-64.70723466401496,11.442450470987316,-0.7877944821774232,FAIL,-4.466562687517693,-7.778571642811599,-2.1911972162310636,-3.3271027468597123,3.983179142136249
BTCUSDT,S2-micro-meanrev,win48 Z2.0,calm-gated,maker,1397,-5.5019543382132,38.0100214745884,-76.94101887619355,3.911507982685346,-1.5904463555278543,527,-6.560651666537767,40.98671726755218,-36.108506633321454,6.0039158267816175,-0.5567358397561497,FAIL,,,,,
BTCUSDT,S2-micro-meanrev,win48 Z2.0,ungated,taker,4356,-2.295209595921009,25.803489439853077,-99.97984292026065,2.1713674493638697,-0.1238421465571391,1540,-6.161432524162338,27.467532467532468,-94.9418925934356,5.44876129774793,-0.7126712264144084,FAIL,-1.4502895144754506,-4.040347266836511,-0.6055268264618433,-1.9193383249895792,
BTCUSDT,S2-micro-meanrev,win48 Z2.0,ungated,maker,4356,-2.26521825977486,32.897153351698805,-98.71424382487986,1.9300209827077526,-0.3351972770671072,1540,-4.843967322497009,35.064935064935064,-75.74033747570095,4.300830223069394,-0.5431370994276143,FAIL,,,,,
BTCUSDT,S2-micro-meanrev,win48 Z2.5,calm-gated,taker,891,-9.683097881119682,24.915824915824917,-86.3135407959363,7.370658212047192,-2.31243966907249,321,-15.35384198876484,26.791277258566975,-49.534399040640196,13.100945986362957,-2.252896002401883,FAIL,-6.816050216043736,-10.250820117360304,-3.9490632984343383,-5.150718570480493,2.509154428414311
BTCUSDT,S2-micro-meanrev,win48 Z2.5,calm-gated,maker,891,-7.509260864509943,35.1290684624018,-67.02009826174115,4.570038129698933,-2.9392227348110103,321,-7.564236465090618,41.1214953271028,-25.11336667137823,6.425577308829866,-1.1386591562607515,FAIL,,,,,
BTCUSDT,S2-micro-meanrev,win48 Z2.5,ungated,taker,2613,-3.8072782072976104,24.799081515499427,-99.50677547945888,3.229889589338242,-0.5773886179593681,866,-9.267770748645113,26.78983833718245,-80.41194545045981,8.367304702834183,-0.9004660458109299,FAIL,-2.55132913993585,-6.013006704416467,-1.2957099785597457,-2.758586089842706,
BTCUSDT,S2-micro-meanrev,win48 Z2.5,ungated,maker,2613,-3.567082493606806,31.228473019517793,-93.55638936635793,2.765788692266732,-0.8012938013400741,866,-5.965328718985284,35.10392609699769,-52.196442956376465,5.3566591898951375,-0.6086695290901467,FAIL,,,,,
BTCUSDT,S2-micro-meanrev,win96 Z2.0,calm-gated,taker,1059,-8.493340724019978,24.645892351274785,-89.97169042838637,6.928966421362507,-1.5643743026574715,416,-14.068218967129797,28.365384615384613,-58.70064318149654,11.901472953647989,-2.1667460134818075,FAIL,-5.791647214839561,-9.436560657605908,-3.089561978171073,-4.805243532522676,3.0536326583424986
BTCUSDT,S2-micro-meanrev,win96 Z2.0,calm-gated,maker,1059,-6.8964637145394825,36.07176581680831,-73.12529330490342,4.356920610946213,-2.539543103593269,416,-8.76024574721287,39.42307692307692,-36.83336454798666,6.07180513265879,-2.6884406145540805,FAIL,,,,,
BTCUSDT,S2-micro-meanrev,win96 Z2.0,ungated,taker,3602,-2.774766796153762,24.597445863409217,-99.95093426888734,2.3607129788023404,-0.41405381735142166,1288,-7.234216893665181,26.319875776397517,-93.18992669478146,5.853910322953538,-1.3803065707116433,FAIL,-1.8556389325177598,-4.9535900257473395,-0.9364255703030518,-2.6728939865204,
BTCUSDT,S2-micro-meanrev,win96 Z2.0,ungated,maker,3602,-2.733237129610369,31.70460855080511,-98.58464157246193,1.968670137246533,-0.7645669923638361,1288,-5.962443360774843,33.22981366459628,-76.99260187985684,4.0613743437165715,-1.9010690170582718,FAIL,,,,,
BTCUSDT,S2-micro-meanrev,win96 Z2.5,calm-gated,taker,656,-11.856984253310264,25.152439024390244,-78.20012202018108,8.986958239692452,-2.870026013617812,258,-16.732686586434927,27.131782945736433,-43.837682885043805,13.80525933260761,-2.9274272538273163,FAIL,-8.357935034250504,-11.358895393811762,-4.857764972767079,-5.986673461040519,1.8922171184576568
BTCUSDT,S2-micro-meanrev,win96 Z2.5,calm-gated,maker,656,-9.04747703237004,32.926829268292686,-60.19988128827271,5.272918449057957,-3.774558583312083,258,-8.991635956558099,37.98449612403101,-24.40216585804781,6.7947185079894705,-2.1969174485686285,FAIL,,,,,
BTCUSDT,S2-micro-meanrev,win96 Z2.5,ungated,taker,2039,-4.870533707836622,22.511034820990684,-99.32420528434939,3.8255810923031692,-1.044952615533453,720,-10.884264107319675,22.916666666666664,-78.47727276169299,8.607280594631892,-2.2769835126877833,FAIL,-3.383693738882743,-7.533795052369017,-1.8970451661645946,-4.182964746345259,
BTCUSDT,S2-micro-meanrev,win96 Z2.5,ungated,maker,2039,-4.691894982513821,27.905836194212853,-95.78578643016031,2.766878955369827,-1.925016027143994,720,-7.637308223240263,30.277777777777775,-55.29889730161961,5.546548282972883,-2.0907599402673798,FAIL,,,,,
BTCUSDT,S3-vwap-magnet,band1.5 allweek,calm-gated,taker,2234,-4.433253226201166,29.140555058191588,-99.0414780554144,3.7533339577693714,-0.6799192684317945,786,-10.293881761742664,33.20610687022901,-80.95794100010247,8.880863727539271,-1.4130180342033931,FAIL,-2.9708408909939585,-6.8340704645079695,-1.5083003263663415,-3.3741599425699556,6.252183476741929
BTCUSDT,S3-vwap-magnet,band1.5 allweek,calm-gated,maker,2234,-4.048568330470862,42.30080572963295,-90.47752351593469,2.9329687215065503,-1.1155996089643114,786,-7.100416585540757,43.12977099236641,-56.85753056640972,5.121287083822841,-1.9791295017179165,FAIL,,,,,
BTCUSDT,S3-vwap-magnet,band1.5 allweek,ungated,taker,7657,-1.3059940174011657,29.0191981193679,-99.99996368398695,1.183291240875149,-0.12270277652601669,2650,-3.7562582880569018,31.433962264150946,-99.54248610543229,3.1780144627620213,-0.5782438252948805,FAIL,-0.8453208059876254,-2.5185516960352063,-0.3846150670178844,-1.2806625277034993,
BTCUSDT,S3-vwap-magnet,band1.5 allweek,ungated,maker,7657,-1.305164614369107,37.45592268512472,-99.94036439402709,1.0680920732262222,-0.23707254114288467,2650,-3.522218799958562,38.49056603773585,-93.55345542142149,2.602717544943104,-0.919501255015458,FAIL,,,,,
BTCUSDT,S3-vwap-magnet,band1.5 weekend,calm-gated,taker,1131,-7.732640572844511,30.327144120247567,-87.45616487887142,7.581594719840509,-0.15104585300400242,460,-13.002820537016998,33.04347826086956,-59.873224140463286,11.90239941807139,-1.100421118945608,FAIL,-4.778920676546182,-8.3633985276146,-1.8250262762935325,-3.723659252428315,3.293782752151129
BTCUSDT,S3-vwap-magnet,band1.5 weekend,calm-gated,maker,1131,-4.907753933345298,47.92219274977896,-55.50669698613533,4.958363240869083,0.050609307523784786,460,-7.245422964030901,47.608695652173914,-33.78010837357188,5.841730491816942,-1.403692472213959,FAIL,,,,,
BTCUSDT,S3-vwap-magnet,band1.5 weekend,ungated,taker,2146,-4.552076353487598,31.03448275862069,-97.68755854584386,4.57513038523352,0.023054031745922465,736,-10.213856464040052,34.23913043478261,-75.25989715561815,10.081155901778205,-0.13270056226184757,FAIL,-2.7688578276946476,-6.284359898811829,-0.9857839256193855,-2.3547750551635986,
BTCUSDT,S3-vwap-magnet,band1.5 weekend,ungated,maker,2146,-3.5712479747689847,44.547996272134206,-76.63898153854241,3.840156549698076,0.26890857492909115,736,-5.969449091092896,46.875,-45.19877686552835,5.757535127528826,-0.21191396356407033,FAIL,,,,,
BTCUSDT,S3-vwap-magnet,band2.0 allweek,calm-gated,taker,1665,-5.792424638496777,29.36936936936937,-96.45349379685261,4.999873451097035,-0.7925511873997415,603,-12.300218515372261,30.016583747927033,-74.27562706985313,9.95545686993981,-2.3447616454324507,FAIL,-3.845482579513784,-8.418795833461992,-1.8989088176316808,-4.537318064302354,4.695348385844601
BTCUSDT,S3-vwap-magnet,band2.0 allweek,calm-gated,maker,1665,-5.0040397826216845,39.51951951951952,-83.3740187290445,3.490066734462654,-1.5139730481590306,603,-8.67185094549148,40.13266998341625,-52.79784692685623,5.615000919538661,-3.0568500259528184,FAIL,,,,,
BTCUSDT,S3-vwap-magnet,band2.0 allweek,ungated,taker,5676,-1.7617558790960888,28.64693446088795,-99.99748128730035,1.562074407750361,-0.19968147134572778,1977,-4.969222269595096,29.1350531107739,-98.24875975904578,4.29379141944299,-0.6754308501521056,FAIL,-1.1539795105732833,-3.296692569661946,-0.5461202106675532,-1.6236875858918258,
BTCUSDT,S3-vwap-magnet,band2.0 allweek,ungated,maker,5676,-1.7529180431536937,35.429880197322056,-99.54424076807032,1.3466930044519034,-0.4062250387017903,1977,-4.45404779275588,35.35660091047041,-88.17607987241465,3.368702691213684,-1.0853451015421958,FAIL,,,,,
BTCUSDT,S3-vwap-magnet,band2.0 weekend,calm-gated,taker,829,-8.981847100616603,31.72496984318456,-74.48514591545373,9.964957236509026,0.9831101358924226,342,-15.833940754859258,29.239766081871345,-54.265966760716466,12.44493653959753,-3.3890042152617283,FAIL,-5.10036547884034,-10.978722238149174,-1.219830410247363,-6.123477232739593,2.424273791809536
BTCUSDT,S3-vwap-magnet,band2.0 weekend,calm-gated,maker,829,-4.893014924222362,45.59710494571773,-40.95235025227924,5.73259805077264,0.839583126550278,342,-9.379282965097035,45.02923976608187,-32.293161968163595,6.094568743608002,-3.2847142214890335,FAIL,,,,,
BTCUSDT,S3-vwap-magnet,band2.0 weekend,ungated,taker,1560,-5.6601550340292,32.62820512820513,-88.29841853085553,7.31686818609012,1.6567131520609193,531,-12.9989514152905,30.69679849340866,-69.17327908593272,10.79240848556452,-2.2065429297259804,FAIL,-2.8083333432242656,-8.788680894493462,0.04309909489186528,-4.578456942245961,
BTCUSDT,S3-vwap-magnet,band2.0 weekend,ungated,maker,1560,-2.800565862180445,43.91025641025641,-43.70539309466698,5.539119850338288,2.738553988157843,531,-8.356135039871829,43.87947269303202,-44.74095139491449,5.861879047724308,-2.4942559921475205,FAIL,,,,,
BTCUSDT,S4-compression-edge,S0.3 hold2h,calm-gated,taker,540,-12.145627463799835,29.629629629629626,-66.06786028850954,11.436900448372226,-0.7087270154276091,225,-12.439405158456216,32.0,-28.68234207702415,15.533282285264065,3.0938771268078487,FAIL,-7.685611649742212,-6.395705520692232,-3.2258024801559992,-0.34870053970440823,1.5837484634793297
BTCUSDT,S4-compression-edge,S0.3 hold2h,calm-gated,maker,540,-5.976511919060084,46.2962962962963,-33.831970056607936,4.515844659596248,-1.4606672594638361,225,-1.715400137716497,51.11111111111111,-7.203500115543915,4.769728878087826,3.0543287403713295,FAIL,,,,,
BTCUSDT,S4-compression-edge,S0.3 hold2h,ungated,taker,890,-8.996762340806514,33.258426966292134,-80.68167590446392,9.729758908275782,0.732996567469268,299,-12.266877012413754,32.77591973244147,-37.2879392777846,14.916470227391198,2.6495932149774433,FAIL,-5.204781394958466,-6.462355508273144,-1.4138289778008155,-0.6550608880817296,
BTCUSDT,S4-compression-edge,S0.3 hold2h,ungated,maker,890,-4.421317085714858,48.08988764044943,-45.00542628677726,4.729675680113975,0.3083585943991176,299,-2.520340636582304,50.50167224080268,-14.735438603432307,4.897455233310782,2.3771145967284784,FAIL,,,,,
BTCUSDT,S4-compression-edge,S0.3 hold4h,calm-gated,taker,481,-11.422459665872006,37.00623700623701,-55.169182098040416,13.091970612514986,1.6695109466429798,196,-11.98876548103686,39.285714285714285,-24.943554010189153,15.850540640424462,3.8617751593876033,FAIL,-6.324392890989686,-5.819922838961333,-1.2277880914122365,0.35366665086225646,1.4015656336934723
BTCUSDT,S4-compression-edge,S0.3 hold4h,calm-gated,maker,481,-4.127916050613879,48.024948024948024,-26.04380886088605,5.552742804304292,1.4248267536904127,196,-1.6377214599117498,52.55102040816326,-6.906225472846389,5.31899730305818,3.6812758431464303,FAIL,,,,,
BTCUSDT,S4-compression-edge,S0.3 hold4h,ungated,taker,786,-9.10241324784362,38.295165394402034,-71.84825924916429,11.71700962183633,2.614596373992711,263,-12.307476467105392,38.78326996197718,-33.6466173394557,15.414259815706963,3.106783348601571,FAIL,-4.542251790443694,-6.3093248685178365,0.017043491399138928,-0.30629782296746666,
BTCUSDT,S4-compression-edge,S0.3 hold4h,ungated,maker,786,-3.6139011382187425,47.96437659033079,-44.183397587073166,5.985270505328052,2.3713693671093097,263,-2.153276520419171,51.71102661596958,-13.412395764299259,5.555093541477135,3.4018170210579646,FAIL,,,,,
