tf,entry_n,ema_n,stop,stop_pct,tr_n,tr_exp,tr_ret,tr_dd,tr_bh_ret,va_n,va_exp,va_ret,va_dd,va_bh_ret,combined_n,combined_exp,trades_per_yr,avg_notional,edge_pct_notional,thickness_x_cost,worst_adverse_pct,p5_adverse_pct,median_move_pct,verdict,stage
4h,10,20,none,,161,76.30009572755316,122.84315412136056,-69.61332607846572,6.372549019607843,63,-59.157780299718894,-37.2694015888229,-64.47478044939797,11.92086467353517,224,38.202568094882885,58.775862068965516,9668.695951250282,0.3951160351664882,2.1950890842582678,-14.580819615413413,-6.7975907114339895,-1.6611680481901112,FAIL,2_native_sweep
4h,10,20,3xATR,9.208225297666583,161,89.04513812829663,143.36267238655756,-68.33692539106356,6.372549019607843,63,-56.48632714274249,-35.58638609992777,-63.52166512347416,11.92086467353517,224,48.11441352081688,58.775862068965516,10034.42358075175,0.4794935467256036,2.6638530373644644,-9.235462830077292,-6.7975907114339895,-1.6611680481901112,FAIL,2_native_sweep
4h,10,20,5xATR,15.347042162777637,161,68.65993803503814,110.54250023641141,-71.02324529382388,6.372549019607843,63,-59.157780299718894,-37.2694015888229,-64.47478044939797,11.92086467353517,224,32.711204753387726,58.775862068965516,9388.107333037167,0.3484323686657857,1.9357353814765874,-15.3724380501288,-6.7975907114339895,-1.6611680481901112,FAIL,2_native_sweep
4h,15,20,none,,127,46.471123756044534,59.01832717017656,-63.76514118092437,6.372549019607843,48,-66.48949851689524,-31.914959288109713,-54.46609580267627,11.92086467353517,175,15.48763878975248,45.91864224137931,8754.189697158721,0.17691687438277906,0.9828715243487726,-14.580819615413413,-8.045426021598065,-1.9333564405417711,FAIL,2_native_sweep
4h,15,20,3xATR,9.208225297666583,127,57.61550118249227,73.17168650176518,-62.23170526992639,6.372549019607843,48,-62.68393349684576,-30.08828807848597,-53.24445488142041,11.92086467353517,175,24.619084813302415,45.91864224137931,9055.115979883223,0.2718803919021687,1.5104466216787151,-9.235462830077292,-8.320297191490155,-1.9333564405417711,FAIL,2_native_sweep
4h,15,20,5xATR,15.347042162777637,127,39.55962297850359,50.24072118269955,-65.44641185394133,6.372549019607843,48,-66.48949851689524,-31.914959288109713,-54.46609580267627,11.92086467353517,175,10.471863939765628,45.91864224137931,8509.737074499568,0.12305743230476304,0.683652401693128,-15.3724380501288,-8.045426021598065,-1.9333564405417711,FAIL,2_native_sweep
4h,20,20,none,,105,84.75522516449381,88.99298642271849,-58.55455218753887,6.372549019607843,40,-51.82518997790248,-20.73007599116099,-46.02261459456982,11.92086467353517,145,47.07786926314311,38.046875,9551.575626434238,0.49288066288093724,2.7382259048940956,-14.580819615413413,-8.540192611201459,-1.9387646107963379,FAIL,2_native_sweep
4h,20,20,3xATR,9.208225297666583,105,96.7192156268389,101.55517640818084,-57.69456138674168,6.372549019607843,40,-46.508306619164635,-18.603322647665856,-44.574441326845694,11.92086467353517,145,57.20817500725172,38.046875,9744.146533011619,0.5871029834520604,3.2616832414003354,-9.235462830077296,-9.235462830077276,-1.9387646107963379,FAIL,2_native_sweep
4h,20,20,5xATR,15.347042162777637,105,74.81982667938153,78.56081801335063,-60.47759033942104,6.372549019607843,40,-51.82518997790248,-20.73007599116099,-46.02261459456982,11.92086467353517,145,39.88327036013079,38.046875,9281.08718536459,0.42972627628175925,2.387368201565329,-15.3724380501288,-8.540192611201459,-1.9387646107963379,FAIL,2_native_sweep
4h,30,20,none,,84,203.86800434370278,171.2491236487103,-43.2715487889974,6.372549019607843,29,42.94965294408651,12.45539935378508,-34.94647676433221,11.92086467353517,113,162.57037433849152,29.650323275862068,13409.866583896526,1.2123191034108944,6.735106130060525,-14.580819615413413,-8.602954242424683,-0.44423599135830893,SURVIVOR,2_native_sweep
4h,30,20,3xATR,9.208225297666583,84,229.90851278734547,193.12315074137015,-43.49033871999766,6.372549019607843,29,53.35342903202211,15.47249441928642,-33.20113892305761,11.92086467353517,113,184.59791607137748,29.650323275862068,13686.535235655605,1.3487556411681934,7.493086895378852,-9.235462830077292,-8.86272556741461,-0.44423599135830893,SURVIVOR,2_native_sweep
4h,30,20,5xATR,15.347042162777637,84,200.88826834190473,168.74614540719998,-43.2715487889974,6.372549019607843,29,42.94965294408651,12.45539935378508,-34.94647676433221,11.92086467353517,113,160.35534934600446,29.650323275862068,13379.887472594513,1.198480552803257,6.658225293351427,-15.372438050128792,-8.602954242424683,-0.44423599135830893,SURVIVOR,2_native_sweep
4h,55,20,none,,64,54.128359349157336,34.64214998346069,-38.25779638308617,6.372549019607843,23,82.2775327902737,18.923832541762952,-25.97622660407018,11.92086467353517,87,61.570094856578905,22.828125,10191.502903635354,0.6041316520119577,3.3562869556219876,-14.580819615413413,-8.553099448553775,-0.8844789088847952,SURVIVOR,2_native_sweep
4h,55,20,3xATR,9.208225297666583,64,28.879954667937398,18.483170987479937,-37.55284777915888,6.372549019607843,23,82.2775327902737,18.923832541762952,-25.97622660407018,11.92086467353517,87,42.996555780738944,22.828125,9744.617300028332,0.44123390849442523,2.451299491635696,-9.235462830077289,-9.049094198745943,-0.9094425260087684,SURVIVOR,2_native_sweep
4h,55,20,5xATR,15.347042162777637,64,52.187072133728265,33.39972616558609,-38.25779638308617,6.372549019607843,23,82.2775327902737,18.923832541762952,-25.97622660407018,11.92086467353517,87,60.14202150270005,22.828125,10174.875479540806,0.5910836120169823,3.2837978445387908,-15.372438050128792,-8.553099448553775,-0.8844789088847952,SURVIVOR,2_native_sweep
