pair,day,day_range_pct,captured_move_in_price_pct,share_of_day_captured,r,mfe_r,pnl,outcome,hours_held,big_day
BTC/USD,2025-10-16,4.09450119465655,-0.08174247193285976,-0.019963963385707693,-1.0,3.0626342735007266,-10.50091971359903,stopped out,0.08333333333333333,True
BTC/USD,2025-10-16,4.09450119465655,-0.241618520623434,-0.059010489712093286,-1.0,4.186893029731307,-5.894071626140594,stopped out,0.4166666666666667,True
BTC/USD,2025-10-17,5.381138283563105,1.668855935889624,0.3101306541382162,4.0,5.738199064672705,13.955875973689105,target,1.0833333333333333,True
BTC/USD,2025-10-19,3.1858091436643097,-0.09660109282357757,-0.030322310115686098,-1.0,4.685497043623766,-9.37548267165796,stopped out,0.5,True
BTC/USD,2025-10-20,5.05345017970114,0.7000563485431943,0.1385303750208527,4.0,5.948686834691305,12.912760937217058,target,0.08333333333333333,True
BTC/USD,2025-10-21,5.87336523131762,0.2728113707779771,0.046448902806743235,4.0,4.512557666213557,9.589733783845329,target,0.16666666666666666,True
BTC/USD,2025-10-22,2.7941338575672776,0.28117587107337155,0.10063078055901671,4.0,4.675686535408966,10.473284156211683,target,0.25,True
BTC/USD,2025-10-22,2.7941338575672776,-0.22911060635542965,-0.08199700445092692,-1.0,1.3456692375883015,-7.448955219069759,stopped out,0.08333333333333333,True
BTC/USD,2025-10-23,3.612608953092889,-0.13398823238500682,-0.037089049527570514,-1.0,1.2783444147805278,-8.844364491689,stopped out,0.16666666666666666,True
BTC/USD,2025-10-23,3.612608953092889,-0.17438428466636643,-0.04827101048871331,-1.0,1.8012609537830981,-7.8757243437701625,stopped out,0.25,True
BTC/USD,2025-10-23,3.612608953092889,-0.2162326038141274,-0.05985497091485715,-1.0,2.1615156624518135,-6.473597845217883,stopped out,0.16666666666666666,True
BTC/USD,2025-10-25,1.2440136234129444,0.280585003836239,0.22554817612564051,4.0,5.529483516835689,9.072963376599887,target,0.08333333333333333,False
BTC/USD,2025-10-25,1.2440136234129444,-0.03944537370231482,-0.03170815251532106,-1.0,4.538971428571468,-16.051239447124757,stopped out,0.16666666666666666,False
BTC/USD,2025-10-26,3.653271855506225,0.2647810336058418,0.07247777994040133,4.0,12.529392241722547,8.209981883331968,target,0.08333333333333333,True
BTC/USD,2025-10-27,2.27879464892752,-0.06824118615147555,-0.029946176231189687,-1.0,3.4423792648623373,-11.054079463788188,stopped out,0.25,True
BTC/USD,2025-10-27,2.27879464892752,-0.23109542469558134,-0.1014112547632771,-1.0,1.1257921342083714,-5.581815093365389,stopped out,1.0,True
BTC/USD,2025-10-29,4.020785509384843,-0.0,-0.0,0.0,1.9357426925274206,-2.2712985879522964,break even,1.25,True
BTC/USD,2025-10-29,4.020785509384843,0.29255740585150697,0.07276125651782568,4.0,5.398404208733508,8.101125146314622,target,0.4166666666666667,True
BTC/USD,2025-10-29,4.020785509384843,0.4653023617563499,0.11572424360123068,4.0,6.181674420736279,10.918349154778628,target,0.4166666666666667,True
BTC/USD,2025-10-30,5.047746959052098,-0.10709091515706265,-0.02121558707791742,-1.0,2.2612392551956617,-8.503652478201317,stopped out,0.08333333333333333,True
BTC/USD,2025-10-31,2.718525831091395,-0.19491095357059465,-0.07169729687370474,-1.0,1.8183199249349318,-6.065416843910985,stopped out,0.4166666666666667,True
BTC/USD,2025-11-01,1.2694926988943183,0.17515809482927205,0.13797487372855974,4.0,5.6138154844712345,4.484554047691461,target,0.08333333333333333,False
BTC/USD,2025-11-01,1.2694926988943183,0.30529631422207376,0.24048686100201733,4.0,4.550970599264466,8.986926704811873,target,0.16666666666666666,False
BTC/USD,2025-11-04,7.9636314630928595,0.5737428486025382,0.07204537920439025,4.0,4.336493144457687,12.568443650393183,target,0.08333333333333333,True
BTC/USD,2025-11-06,3.8520230011870265,0.6489440238815649,0.1684683667988453,4.0,4.0298310136062465,14.183220268055633,target,0.4166666666666667,True
BTC/USD,2025-11-06,3.8520230011870265,0.8234431445541678,0.21376901028379588,4.0,4.465587980080125,16.319816894589724,target,1.0833333333333333,True
BTC/USD,2025-11-06,3.8520230011870265,-0.28692871628205585,-0.07448779931834178,-1.0,1.455788664650623,-7.472066828453311,stopped out,0.25,True
BTC/USD,2025-11-06,3.8520230011870265,0.4659150701401238,0.12095334581245984,4.0,5.163708368118154,14.968151837089863,target,0.08333333333333333,True
BTC/USD,2025-11-08,1.9279254654028608,-0.0,-0.0,0.0,2.2528607157197427,-2.879819495863036,break even,0.8333333333333334,False
BTC/USD,2025-11-08,1.9279254654028608,-0.0,-0.0,0.0,3.4467445005658583,-3.658867946145927,break even,3.3333333333333335,False
BTC/USD,2025-11-09,4.052556024747324,-0.11095783609585907,-0.027379716756112525,-1.0,1.3181647402036667,-11.029594841366123,stopped out,0.08333333333333333,True
BTC/USD,2025-11-09,4.052556024747324,-0.08797176873089024,-0.021707724259376587,-1.0,2.5991355044585287,-11.745069307733875,stopped out,0.25,True
BTC/USD,2025-11-11,4.81425524628749,0.9637476394980297,0.20018623654016332,4.0,4.045536530766546,16.1482846228592,target,2.0,True
BTC/USD,2025-11-12,4.394878446858468,-0.0,-0.0,0.0,1.7354038227392974,-2.43687006542854,break even,1.1666666666666667,True
BTC/USD,2025-11-13,5.9677957482362824,0.6621480600846846,0.11095353929972811,4.0,5.695099484156349,16.447437728235897,target,0.5,True
BTC/USD,2025-11-15,3.971730049040452,0.6512150140379336,0.16396255686996236,4.0,4.225632246391447,17.995748741506457,target,0.4166666666666667,True
BTC/USD,2025-11-15,3.971730049040452,-0.0,-0.0,-0.0,1.3047323281896341,-2.246457408992162,break even,4.0,True
BTC/USD,2025-11-19,5.916543998863665,-0.05922358227440928,-0.010009827068941563,-1.0,8.536225259406537,-18.140750251361183,stopped out,0.08333333333333333,True
BTC/USD,2025-11-21,10.587190276846293,-0.4748983812299118,-0.04485594088815926,-1.0,0.9972111153371627,-6.822788753876142,stopped out,0.08333333333333333,True
BTC/USD,2025-11-25,4.939126196711197,1.145904481582436,0.23200550784579194,4.0,4.436828141829339,18.763719814598222,target,0.8333333333333334,True
BTC/USD,2025-11-27,2.1042943774326277,-0.0,-0.0,-0.0,3.5727424248895447,-5.46619006482176,break even,0.8333333333333334,True
BTC/USD,2025-11-30,1.9044027204739127,0.22695693470148892,0.11917486373103398,4.0,4.775134675907717,10.615061542044478,target,0.16666666666666666,False
BTC/USD,2025-11-30,1.9044027204739127,-0.10163507365809206,-0.053368477457751196,-1.0,1.6708629223155183,-13.001258364669592,stopped out,0.5,False
BTC/USD,2025-12-02,7.391296517423848,-0.1481153198914487,-0.02003915274435135,-1.0,2.207051574845242,-10.084494365472525,stopped out,0.3333333333333333,True
BTC/USD,2025-12-03,4.95613446706177,-0.12371170029978562,-0.024961328455062628,-1.0,1.7688982022718236,-10.379101045946925,stopped out,0.08333333333333333,True
BTC/USD,2025-12-04,3.702665042609906,-0.16042600909488666,-0.04332717306283985,-1.0,2.067602808425181,-8.664180521644107,stopped out,0.16666666666666666,True
BTC/USD,2025-12-04,3.702665042609906,-0.28514233866187255,-0.0770100280150871,-1.0,0.5878288224969375,-6.671893140217239,stopped out,0.5,True
BTC/USD,2025-12-05,5.0239115237722105,0.8450364470113841,0.16820289191257243,4.0,11.317124894874652,15.419215315238237,target,0.08333333333333333,True
BTC/USD,2025-12-06,2.2503468060505507,-0.11629373850059839,-0.05167814053723505,-1.0,1.3485283742163066,-10.077282280231136,stopped out,1.1666666666666667,True
BTC/USD,2025-12-07,4.53095343685821,-0.06814453308393909,-0.015039777837838674,-1.0,3.228658699302473,-12.860224743814182,stopped out,0.4166666666666667,True
BTC/USD,2025-12-09,5.625927203830746,-0.0,-0.0,-0.0,3.1592010902979486,-2.6261143872096944,break even,0.9166666666666666,True
BTC/USD,2025-12-09,5.625927203830746,-0.09058668924124973,-0.016101646174797358,-1.0,2.091335894153225,-9.746373735022,stopped out,0.16666666666666666,True
BTC/USD,2025-12-12,4.474340602320112,-0.08244655939907106,-0.018426527331495385,-1.0,1.2127642802480958,-9.576507355808955,stopped out,0.08333333333333333,True
BTC/USD,2025-12-19,5.015245741347485,-0.05230075643797781,-0.010428353690984993,-1.0,2.3143999044273604,-11.902783171480117,stopped out,0.08333333333333333,True
BTC/USD,2025-12-21,1.9111513949765342,0.2086120649175784,0.10915517497248814,4.0,6.106179702088515,5.516843101733387,target,0.3333333333333333,False
BTC/USD,2025-12-21,1.9111513949765342,-0.09384523914883866,-0.04910403194404749,-1.0,1.8218210835579223,-7.79466312926793,stopped out,5.166666666666667,False
BTC/USD,2025-12-21,1.9111513949765342,-0.05271477192040422,-0.027582729478661458,-1.0,4.072167149774717,-10.442555194150188,stopped out,0.16666666666666666,False
BTC/USD,2025-12-22,3.0354680318853413,-0.16919447930966283,-0.05573917350879675,-1.0,1.6486932362298246,-4.90997562186757,stopped out,0.25,True
BTC/USD,2025-12-22,3.0354680318853413,0.3703142573868253,0.12199576918516306,4.0,4.416386246370197,7.359935554671076,target,0.08333333333333333,True
BTC/USD,2025-12-22,3.0354680318853413,-0.20037929238495497,-0.06601265118924629,-1.0,2.8874388684752232,-4.710232816857605,stopped out,0.16666666666666666,True
BTC/USD,2025-12-25,1.90099112054013,-0.13569792637212857,-0.07138272499325121,-1.0,1.2261917273795158,-5.285425225042517,stopped out,1.3333333333333333,False
BTC/USD,2025-12-26,3.3555719779314295,-0.0,-0.0,0.0,3.0883253293686295,-1.5898693478560537,break even,5.916666666666667,True
BTC/USD,2025-12-28,2.307306042456104,-0.058864781283762616,-0.025512342186345443,-1.0,2.40741421509349,-7.898002275256948,stopped out,0.8333333333333334,True
BTC/USD,2025-12-29,4.114022499733215,-0.0,-0.0,0.0,2.3704696573341333,-2.740768221634787,break even,0.16666666666666666,True
BTC/USD,2025-12-29,4.114022499733215,-0.24585736282525245,-0.05976082115282445,-1.0,4.570367826430806,-3.3910497302992155,stopped out,0.75,True
BTC/USD,2025-12-29,4.114022499733215,-0.18133232885955075,-0.044076649768276605,-1.0,5.851421636140016,-3.7871767523260305,stopped out,0.08333333333333333,True
BTC/USD,2025-12-30,3.0018977637443607,-0.07235876402883724,-0.024104339895500607,-1.0,1.2724343572007644,-5.487340204937274,stopped out,0.08333333333333333,True
BTC/USD,2025-12-30,3.0018977637443607,-0.22700561552659587,-0.0756207017668199,-1.0,1.0272150877845398,-2.9024115835904007,stopped out,0.16666666666666666,True
BTC/USD,2025-12-31,2.2807947348142883,-0.0693548025805754,-0.03040817374835906,-1.0,1.1739573192340849,-4.947937194671365,stopped out,0.3333333333333333,True
BTC/USD,2026-01-02,3.9143024526133807,-0.44048234668947917,-0.11253150517160254,-1.0,1.1571716764044082,-2.115809935448376,stopped out,0.25,True
BTC/USD,2026-01-02,3.9143024526133807,1.118608743270471,0.28577473427574124,4.0,6.1231707427027535,5.935157678412779,target,0.5833333333333334,True
BTC/USD,2026-01-03,1.6057978402663846,-0.08089394283159171,-0.050376168657800834,-1.0,1.6133347962340228,-4.41628973421341,stopped out,0.4166666666666667,False
BTC/USD,2026-01-03,1.6057978402663846,-0.036303915435682066,-0.022608023578895606,-1.0,3.0651484577618793,-7.0870747254355875,stopped out,0.25,False
BTC/USD,2026-01-04,1.3813444249150046,-0.05413904430621062,-0.039193008875785515,-1.0,2.9657100638128187,-4.609616965337494,stopped out,0.16666666666666666,False
BTC/USD,2026-01-04,1.3813444249150046,-0.0620288901191055,-0.04490472397781762,-1.0,3.967830301639069,-3.799248566016586,stopped out,1.9166666666666667,False
BTC/USD,2026-01-06,3.408262901867801,-0.07196977903516552,-0.02111626394657658,-1.0,1.2511348909540578,-3.1488797387759773,stopped out,0.08333333333333333,True
BTC/USD,2026-01-07,3.362845054553961,-0.08374246290582776,-0.024902266249949224,-1.0,1.5682398123566992,-2.6420206375635424,stopped out,0.16666666666666666,True
BTC/USD,2026-01-08,2.6033379512690145,-0.09671808503959065,-0.03715156727632875,-1.0,3.610016514519278,-2.255416914757305,stopped out,0.5,True
BTC/USD,2026-01-09,2.587961023955592,0.4630338151512806,0.17891838820800804,4.0,4.12474092742638,2.778888985102725,target,0.3333333333333333,True
BTC/USD,2026-01-10,0.5334358432247701,-0.01903588939912633,-0.03568543366724105,-1.0,2.8063635835805485,-7.469565171851142,stopped out,0.25,False
BTC/USD,2026-01-11,1.2955729782053207,-0.0124446927149619,-0.00960555130765446,-1.0,4.961892918208997,-8.49700854473986,stopped out,0.08333333333333333,False
BTC/USD,2026-01-14,6.013473044233874,-0.07457435538033763,-0.012401212216598291,-1.0,2.06941410338348,-1.4167017608233765,stopped out,0.25,True
BTC/USD,2026-01-14,6.013473044233874,-0.10158300338093136,-0.016892568177109574,-1.0,1.1582458102875544,-1.091510308007424,stopped out,0.4166666666666667,True
BTC/USD,2026-01-15,2.199291555193352,-0.1006738555544677,-0.04577558410422619,-1.0,1.3456041998303838,-1.0250243793749665,stopped out,0.3333333333333333,True
BTC/USD,2026-01-16,1.6746182411529733,-0.06532585855720258,-0.03900940342810656,-1.0,1.2376687301538736,-1.2395001911315384,stopped out,0.16666666666666666,False
BTC/USD,2026-01-17,0.663355215177527,-0.0,-0.0,-0.0,3.5756628102239696,-0.7054540047447061,break even,1.1666666666666667,False
BTC/USD,2026-01-18,2.072663290720122,-0.026348176509446687,-0.012712231951718665,-1.0,1.5984027153828253,-2.1028976418618277,stopped out,0.08333333333333333,True
BTC/USD,2026-01-18,2.072663290720122,-0.08622352558480524,-0.041600353502110755,-1.0,1.8764159937622749,-0.7542313468622013,stopped out,2.3333333333333335,True
BTC/USD,2026-01-19,3.4625641509131557,-0.13683446403544708,-0.03951824661482756,-1.0,2.2356151185379853,-0.5493184663015168,stopped out,1.1666666666666667,True
BTC/USD,2026-01-20,7.169347193649931,-0.13356086801425504,-0.018629432276979586,-1.0,0.8685584053418024,-0.5243084205022416,stopped out,0.08333333333333333,True
BTC/USD,2026-01-20,7.169347193649931,-0.1429233680138096,-0.019935339181285622,-1.0,1.430329901902429,-0.47908998564344163,stopped out,1.25,True
BTC/USD,2026-01-24,0.8850692526740156,-0.068023881779366,-0.07685712905950448,-1.0,1.9606803894983096,-0.6802604860380912,stopped out,0.8333333333333334,False
BTC/USD,2026-01-26,2.908555157434543,-0.07620431869115882,-0.02620005967443091,-1.0,2.9460028634840993,-0.5810468816768297,stopped out,0.16666666666666666,True
BTC/USD,2026-01-26,2.908555157434543,-0.10781104907151697,-0.03706687452563576,-1.0,1.9672653464552152,-0.4399519739306178,stopped out,0.16666666666666666,True
BTC/USD,2026-01-26,2.908555157434543,-0.08796630364495943,-0.030243986750641196,-1.0,1.411196567645563,-0.4610378360953779,stopped out,0.75,True
