sig_i,sig_t,stop_pct,gross_pct,net_pct,net_low_pct,net_R,reason,bars_held,sym,level,dirn,y,day,R,netR_pt,win
142226,2017-06-14 18:53:00,0.11069203017382004,-0.11069203017382004,-0.15069203017382005,-0.13069203017382003,-1.3613629629629873,stop,7,SPY,prev day low,1,2017,2017-06-14,-1.0,-1.3613629629629873,False
142439,2017-06-15 15:56:00,0.036948763696010765,-0.036948763696010765,-0.07694876369601077,-0.05694876369601076,-2.0825802002224685,stop,3,SPY,prev day low,1,2017,2017-06-15,-1.0,-2.0825802002224685,False
142556,2017-06-15 17:53:00,0.05321782941116377,0.18513229459253647,0.14513229459253646,0.16513229459253648,2.7271366795371654,close,126,SPY,prev day low,1,2017,2017-06-15,3.478764478765087,2.7271366795371654,True
143648,2017-06-20 16:35:00,0.08006733868483984,-0.08006733868483984,-0.12006733868483985,-0.10006733868483984,-1.4995794871795047,stop,123,SPY,prev day low,1,2017,2017-06-20,-1.0,-1.4995794871795047,False
143778,2017-06-20 18:45:00,0.05339247576802836,-0.05339247576802836,-0.09339247576802837,-0.07339247576802836,-1.7491692307692572,stop,48,SPY,prev day low,1,2017,2017-06-20,-1.0,-1.7491692307692572,False
143963,2017-06-21 15:20:00,0.05766062602966012,-0.05766062602966012,-0.09766062602966012,-0.07766062602966012,-1.6937142857142125,stop,98,SPY,prev day low,1,2017,2017-06-21,-1.0,-1.6937142857142125,False
145435,2017-06-27 13:52:00,0.09471646831117167,-0.09471646831117167,-0.13471646831117168,-0.11471646831117167,-1.4223130434782276,stop,197,SPY,prev day low,1,2017,2017-06-27,-1.0,-1.4223130434782276,False
147362,2017-07-05 14:21:00,0.04548085669396082,-0.04548085669396082,-0.08548085669396083,-0.06548085669396082,-1.8794909090908003,stop,4,SPY,prev day low,1,2017,2017-07-05,-1.0,-1.8794909090908003,False
147850,2017-07-06 15:59:00,0.053783459517601856,-0.053783459517601856,-0.09378345951760186,-0.07378345951760186,-1.7437230769231031,stop,15,SPY,prev day low,1,2017,2017-07-06,-1.0,-1.7437230769231031,False
148990,2017-07-11 15:29:00,0.17407883284287973,0.3688813362622731,0.3288813362622731,0.3488813362622731,1.8892666666665625,close,270,SPY,prev day low,1,2017,2017-07-11,2.1190476190475063,1.8892666666665625,True
