family,config,symbol,tf,stop%,target%,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,verdict,shape,side,thresh,stop_style
B-gapday,reversal long thresh0.3% stop=atr1.0x,ES,1d,,,103,5.008642639189083,55.33980582524271,5.158901918364756,-19.502853561036343,73,13.618619572025912,50.68493150684932,9.941592287578919,-14.395297952169548,SURVIVOR,reversal,long,0.3,atr1.0x
B-gapday,reversal long thresh0.3% stop=atr1.5x,ES,1d,,,103,1.2149571432084472,55.33980582524271,1.251405857504703,-21.45056605014712,73,14.063559383137719,53.42465753424658,10.266398349690535,-12.704793926857768,SURVIVOR,reversal,long,0.3,atr1.5x
B-gapday,reversal long thresh0.5% stop=structure_k5,ES,1d,,,51,15.009105842783796,47.05882352941176,7.654643979819735,-10.40268878803245,37,20.767792512860062,45.94594594594595,7.684083229758219,-14.951603270787658,SURVIVOR,reversal,long,0.5,structure_k5
B-gapday,reversal long thresh0.5% stop=atr1.0x,ES,1d,,,53,10.28145702630789,52.83018867924528,5.449172223943181,-15.112724445207245,37,41.463322462781115,48.64864864864865,15.341429311229012,-11.223036229253303,SURVIVOR,reversal,long,0.5,atr1.0x
B-gapday,reversal long thresh0.5% stop=atr1.5x,ES,1d,,,53,8.437446048877744,52.83018867924528,4.471846405905201,-14.757286623623953,37,41.19626423115835,51.35135135135135,15.24261776552859,-10.447144417389232,SURVIVOR,reversal,long,0.5,atr1.5x
B-gapday,reversal long thresh0.8% stop=structure_k5,ES,1d,,,33,13.082692286968015,51.515151515151516,4.3172884546994466,-4.438895101102867,21,52.152584786318215,47.61904761904761,10.952042805126826,-8.817237725993296,SURVIVOR,reversal,long,0.8,structure_k5
B-gapday,reversal long thresh0.8% stop=atr1.0x,ES,1d,,,35,6.2813669999756465,54.285714285714285,2.198478449991476,-7.252637796429205,21,64.96089735267914,47.61904761904761,13.64178844406262,-6.388746326770084,SURVIVOR,reversal,long,0.8,atr1.0x
B-gapday,reversal long thresh0.8% stop=atr1.5x,ES,1d,,,35,2.83083738493145,54.285714285714285,0.9907930847260067,-7.118441610126265,21,47.78833654172628,52.38095238095239,10.03555067376252,-8.321042238580228,SURVIVOR,reversal,long,0.8,atr1.5x
B-gapday,reversal short thresh0.3% stop=structure_k5,ES,1d,,,74,-37.048117578022236,41.891891891891895,-27.415607007736455,-30.501032190375664,37,-36.06805033996019,32.432432432432435,-13.345178625785273,-17.15775481297185,FAIL,reversal,short,0.3,structure_k5
B-gapday,reversal short thresh0.3% stop=atr1.0x,ES,1d,,,76,-31.25639670829517,46.05263157894737,-23.754861498304336,-26.88475192435525,43,-32.077999805401646,39.53488372093023,-13.793539916322702,-17.683281230641796,FAIL,reversal,short,0.3,atr1.0x
B-gapday,reversal short thresh0.3% stop=atr1.5x,ES,1d,,,76,-35.87178217759315,47.368421052631575,-27.262554454970804,-30.34983869036197,43,-37.103024702573016,39.53488372093023,-15.954300622106398,-19.65208254585921,FAIL,reversal,short,0.3,atr1.5x
B-gapday,reversal short thresh0.5% stop=structure_k5,ES,1d,,,39,-71.32724405466433,33.33333333333333,-27.817625181319084,-29.086857182699603,18,-45.670948450596796,33.33333333333333,-8.220770721107423,-14.226163366908837,FAIL,reversal,short,0.5,structure_k5
B-gapday,reversal short thresh0.5% stop=atr1.0x,ES,1d,,,40,-64.11919406935377,42.5,-25.647677627741505,-26.8785856111093,20,-37.70337577537712,40.0,-7.540675155075426,-12.127420277770488,FAIL,reversal,short,0.5,atr1.0x
B-gapday,reversal short thresh0.5% stop=atr1.5x,ES,1d,,,40,-65.2624546035166,45.0,-26.104981841406644,-27.335889824774423,20,-54.45758996021226,40.0,-10.891517992042452,-14.28645185402472,FAIL,reversal,short,0.5,atr1.5x
B-gapday,reversal short thresh0.8% stop=structure_k5,ES,1d,,,17,-157.66047596475028,23.52941176470588,-26.802280914007543,-29.14027024914786,4,13.070956869528448,50.0,0.5228382747811379,-1.1121723646723876,FAIL,reversal,short,0.8,structure_k5
B-gapday,reversal short thresh0.8% stop=atr1.0x,ES,1d,,,18,-133.16028091906003,33.33333333333333,-23.968850565430806,-26.111331626558716,5,12.128549699037293,60.0,0.6064274849518647,-1.0843445181380231,FAIL,reversal,short,0.8,atr1.0x
B-gapday,reversal short thresh0.8% stop=atr1.5x,ES,1d,,,18,-150.4749972784048,33.33333333333333,-27.08549951011286,-29.22798057124078,5,11.571992768349938,60.0,0.5785996384174968,-1.1121723646723876,FAIL,reversal,short,0.8,atr1.5x
