family,config,symbol,tf,stop%,target%,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,trades_yr,verdict,mean_ret_pct,tstat,win_pct
2-pullback-trend,pullback->EMA20 trend=SMA200 tgt1.5xATR,SPY,1h,0.35701654195790844,0.5355248129368626,108,-0.7336032708531093,41.66666666666667,-0.7922915325213609,-4.057939959359154,42.0,-2.939696782445329,40.476190476190474,-1.2346726486270332,-3.31083706395468,6.0,16.253333333333334,64.66191295795426,FAIL,,,
2-pullback-trend,pullback->EMA20 trend=SMA200 tgt2.5xATR,SPY,1h,0.35701654195790844,0.8925413548947712,108,-0.3547762234346313,37.96296296296296,-0.38315832130940697,-3.9261847939649477,42.0,-5.806989450940126,38.095238095238095,-2.438935569394851,-3.3210697551032564,19.0,18.626666666666665,64.66191295795426,FAIL,,,
2-pullback-trend,pullback->EMA50 trend=SMA50 tgt1.5xATR,SPY,1h,0.35701654195790844,0.5355248129368626,52,-3.3912823362699362,44.230769230769226,-1.7634668148603705,-2.209145310490858,25.0,-10.097278143991643,32.0,-2.52431953599791,-2.5243195359979107,5.0,15.987012987012987,33.193115318416524,FAIL,,,
2-pullback-trend,pullback->EMA50 trend=SMA50 tgt2.5xATR,SPY,1h,0.35701654195790844,0.8925413548947712,52,-2.261863967355811,42.30769230769231,-1.1761692630250176,-1.7782374750333236,25.0,-8.86336927420918,32.0,-2.215842318552297,-2.215842318552295,18.0,18.376623376623378,33.193115318416524,FAIL,,,
2-pullback-trend,pullback->EMA50 trend=SMA200 tgt1.5xATR,SPY,1h,0.35701654195790844,0.5355248129368626,68,-1.0589713338702709,45.588235294117645,-0.7201005070317845,-2.021594682045743,28.0,-9.923787316171131,32.142857142857146,-2.7786604485279143,-2.7786604485279165,4.0,14.5625,41.383624293090726,FAIL,,,
2-pullback-trend,pullback->EMA50 trend=SMA200 tgt2.5xATR,SPY,1h,0.35701654195790844,0.8925413548947712,68,0.9851648074408438,42.64705882352941,0.6699120690597749,-2.3463711772290843,28.0,-9.125760483635661,32.142857142857146,-2.555212935417983,-2.5552129354179853,6.0,17.114583333333332,41.383624293090726,FAIL,,,
2-pullback-trend,pullback->sessionVWAP trend=SMA50 tgt1.5xATR,SPY,1h,0.35701654195790844,0.5355248129368626,127,-0.009295134070299806,48.818897637795274,-0.01180482026927887,-5.0420650386882775,60.0,-1.2617312746447473,46.666666666666664,-0.7570387647868437,-2.744110791202829,20.0,22.3475935828877,80.61185148758298,FAIL,,,
2-pullback-trend,pullback->sessionVWAP trend=SMA50 tgt2.5xATR,SPY,1h,0.35701654195790844,0.8925413548947712,127,2.720846351816033,45.66929133858268,3.4554748668063517,-5.042065038688225,60.0,-0.36983661498604004,46.666666666666664,-0.2219019689916224,-2.62343362531873,21.0,24.197860962566846,80.61185148758298,FAIL,,,
2-pullback-trend,pullback->sessionVWAP trend=SMA200 tgt1.5xATR,SPY,1h,0.35701654195790844,0.5355248129368626,158,-2.1795010672638084,45.56962025316456,-3.443611686276815,-5.64384083019074,63.0,-1.6126841267832788,46.03174603174603,-1.0159909998734618,-2.9978782077782475,19.0,19.398190045248867,95.26855175805261,FAIL,,,
2-pullback-trend,pullback->sessionVWAP trend=SMA200 tgt2.5xATR,SPY,1h,0.35701654195790844,0.8925413548947712,158,-1.0175809876747066,41.139240506329116,-1.6077779605260356,-5.64384083019071,63.0,-0.2044094143184627,46.03174603174603,-0.1287779310206294,-2.5325509642587596,20.0,21.69683257918552,95.26855175805261,FAIL,,,
2-pullback-trend,pullback->EMA20 trend=SMA50 tgt1.5xATR,ES,1h,0.20642480171620886,0.30963720257431326,248,1.143915402006549,47.58064516129033,2.83691019697625,-2.928634483345283,112.0,-3.645645757463334,38.392857142857146,-4.083123248358933,-5.050988374521441,3.0,4.648611111111111,187.8204975598143,FAIL,,,
2-pullback-trend,pullback->EMA20 trend=SMA50 tgt2.5xATR,ES,1h,0.20642480171620886,0.5160620042905222,248,2.1807140306831525,43.95161290322581,5.408170796094214,-2.7554936359947613,112.0,-3.384777634652583,36.607142857142854,-3.7909509508108896,-5.128188113642527,4.0,5.795833333333333,187.8204975598143,FAIL,,,
2-pullback-trend,pullback->EMA20 trend=SMA200 tgt1.5xATR,ES,1h,0.20642480171620886,0.30963720257431326,297,0.6614817855673084,46.801346801346796,1.9646009031349054,-4.298585136268615,121.0,-3.0772284784800656,39.66942148760331,-3.7234464589608773,-5.607134210949702,2.0,4.278708133971292,218.0804666111177,FAIL,,,
2-pullback-trend,pullback->EMA20 trend=SMA200 tgt2.5xATR,ES,1h,0.20642480171620886,0.5160620042905222,297,2.3976154593054204,44.107744107744104,7.120917914137093,-3.7328565169351338,121.0,-2.7582514811302112,37.1900826446281,-3.3374842921675585,-5.489771533174783,4.0,5.340909090909091,218.0804666111177,FAIL,,,
2-pullback-trend,pullback->EMA50 trend=SMA50 tgt1.5xATR,ES,1h,0.20642480171620886,0.30963720257431326,165,-1.6213994276494552,43.03030303030303,-2.6753090556215997,-3.4018543442430134,63.0,-3.0993906047763358,39.682539682539684,-1.9526160810090953,-2.921555803173801,2.0,5.037280701754386,118.9529817878824,FAIL,,,
2-pullback-trend,pullback->EMA50 trend=SMA50 tgt2.5xATR,ES,1h,0.20642480171620886,0.5160620042905222,165,0.3489690576614741,40.60606060606061,0.5757989451414369,-2.1833302497105924,63.0,-1.8805788009556723,36.507936507936506,-1.1847646446020765,-2.3389657070136827,3.0,5.75219298245614,118.9529817878824,FAIL,,,
2-pullback-trend,pullback->EMA50 trend=SMA200 tgt1.5xATR,ES,1h,0.20642480171620886,0.30963720257431326,187,-1.339068785940514,43.31550802139038,-2.504058629708761,-3.336704935860331,69.0,-2.4989963808858073,40.57971014492754,-1.7243075028112065,-2.4795786315315724,2.0,4.775390625,133.56124270920128,FAIL,,,
2-pullback-trend,pullback->EMA50 trend=SMA200 tgt2.5xATR,ES,1h,0.20642480171620886,0.5160620042905222,187,-0.020349184615830664,39.57219251336899,-0.03805297523160611,-3.0011487706727213,69.0,-0.4954762626631513,37.68115942028986,-0.34187862123757906,-1.6873739168219744,3.0,5.494140625,133.56124270920128,FAIL,,,
2-pullback-trend,pullback->sessionVWAP trend=SMA50 tgt1.5xATR,ES,1h,0.20642480171620886,0.30963720257431326,355,-0.8674603987715592,45.07042253521127,-3.0794844156390333,-4.999195968167996,172.0,-2.02609736809225,43.604651162790695,-3.4848874731186696,-7.101113672183704,3.0,4.349146110056926,274.9483394833948,FAIL,,,
2-pullback-trend,pullback->sessionVWAP trend=SMA50 tgt2.5xATR,ES,1h,0.20642480171620886,0.5160620042905222,355,-1.150808840352421,40.845070422535215,-4.085371383251091,-5.290022610301164,172.0,-1.4539629910155825,41.86046511627907,-2.500816344546797,-5.972636873256885,4.0,5.193548387096774,274.9483394833948,FAIL,,,
2-pullback-trend,pullback->sessionVWAP trend=SMA200 tgt1.5xATR,ES,1h,0.20642480171620886,0.30963720257431326,428,-1.6184185430851161,42.99065420560748,-6.926831364404295,-8.77033824200344,185.0,-2.3237729985703877,42.7027027027027,-4.298980047355217,-7.956091516501172,3.0,4.200652528548124,319.81656945601713,FAIL,,,
2-pullback-trend,pullback->sessionVWAP trend=SMA200 tgt2.5xATR,ES,1h,0.20642480171620886,0.5160620042905222,428,-1.6947598836676465,39.018691588785046,-7.253572302097533,-8.418432131532171,185.0,-2.078055328656538,40.54054054054054,-3.844402358014598,-6.856368242585875,4.0,4.99836867862969,319.81656945601713,FAIL,,,
3a-bos-choch,k=5 struct=wick mode=cont R1.5,SPY,1h,1.4637013643891261,2.195552046583689,81,5.1758459313112795,58.0246913580247,4.192435204362144,-5.364653518829901,27.0,-6.538785888492486,51.85185185185185,-1.7654721898929693,-4.109225626557741,46.0,58.27777777777778,46.55657732972707,FAIL,,,
3a-bos-choch,k=5 struct=wick mode=cont R2.5,SPY,1h,1.4637013643891261,3.6592534109728154,81,4.918327109986219,58.0246913580247,3.9838449590888336,-5.364653518829936,27.0,-6.538785888492486,51.85185185185185,-1.7654721898929693,-4.109225626557741,46.0,58.351851851851855,46.55657732972707,FAIL,,,
3a-bos-choch,k=5 struct=wick mode=choch R1.5,SPY,1h,1.4317209793501235,2.1475814690251855,62,-8.304496809101428,43.54838709677419,-5.148788021642881,-12.747096824476788,23.0,-24.06123745835446,47.82608695652174,-5.534084615421531,-6.823072058433299,29.0,45.694117647058825,36.641750676174084,FAIL,,,
