attack,asset,rsi_n,rsi_th,guard,half,date_range,n_total,before_exp,n_kept,after_exp,n_skipped,skipped_total_pnl,control_pctile,note
2_family_sweep,SOL,5.0,10.0,False,,,85,-35.39254465171993,48.0,-42.218276425781745,37.0,-981.88902695867,21.0,
2_family_sweep,SOL,5.0,15.0,True,,,31,-30.290554557451784,14.0,-10.613926211969945,17.0,-790.4122243134261,82.0,
2_family_sweep,SOL,5.0,15.0,False,,,242,-11.710665698378385,120.0,-15.334702096016372,122.0,-993.8168474856047,33.0,
2_family_sweep,SOL,5.0,20.0,True,,,91,-16.99570268596174,36.0,12.342363442874456,55.0,-1990.9340283659985,95.5,
2_family_sweep,SOL,5.0,20.0,False,,,480,-8.180460104329963,218.0,-16.916388110554358,262.0,-238.84824197753187,4.5,
2_family_sweep,XRP,2.0,5.0,True,,,11,12.495731116148157,8.0,-17.014094032072308,3.0,273.5657945342082,7.5,
2_family_sweep,XRP,2.0,5.0,False,,,649,-9.015415681238776,276.0,-17.195052731474664,373.0,-1105.170223236959,2.5,
2_family_sweep,XRP,2.0,10.0,True,,,35,-1.0156915683890215,17.0,12.79028134997155,18.0,-252.98398784313213,72.0,
2_family_sweep,XRP,2.0,10.0,False,,,1183,-4.8344644621255375,437.0,-18.35083011963244,746.0,2300.1413035848664,0.0,
2_family_sweep,XRP,2.0,15.0,True,,,94,-9.590822741643972,42.0,10.733704282467356,52.0,-1352.3529175781623,95.0,
2_family_sweep,XRP,2.0,15.0,False,,,1622,-4.943644439448128,567.0,-12.44178584243637,1055.0,-964.0987081234416,0.0,
2_family_sweep,XRP,2.0,20.0,True,,,176,-7.081255679848224,67.0,10.945381087218564,109.0,-1979.6415324969312,95.5,
2_family_sweep,XRP,2.0,20.0,False,,,1979,-4.255050751685947,671.0,-13.315384671473154,1308.0,513.877676971998,0.0,
2_family_sweep,XRP,3.0,5.0,True,,,4,81.16946951929503,3.0,59.507811907970485,1.0,146.15444235326868,28.499999999999996,thin sample (<8)
2_family_sweep,XRP,3.0,5.0,False,,,167,1.2634629741057983,85.0,5.22647195278634,82.0,-233.25179931117054,73.5,
2_family_sweep,XRP,3.0,10.0,True,,,30,6.385449575260827,19.0,29.252686129088705,11.0,-364.23754919486055,92.0,
2_family_sweep,XRP,3.0,10.0,False,,,468,-8.277172152911142,204.0,-14.995979012883103,264.0,-814.5368489342618,6.5,
2_family_sweep,XRP,3.0,15.0,True,,,68,-13.553916560326984,37.0,-0.879084757220905,31.0,-889.1401900850615,86.5,
2_family_sweep,XRP,3.0,15.0,False,,,793,-9.575793461407853,307.0,-21.837953652114948,486.0,-889.3524436971384,0.0,
2_family_sweep,XRP,3.0,20.0,True,,,148,-13.47962649114094,67.0,6.618382621704076,81.0,-2438.416356343032,98.5,
2_family_sweep,XRP,3.0,20.0,False,,,1167,-6.800139715943756,424.0,-17.416270174122978,743.0,-551.2644946782211,0.0,
2_family_sweep,XRP,5.0,5.0,True,,,1,-111.09181800000079,1.0,-111.09181800000079,0.0,0.0,,thin sample (<8)
2_family_sweep,XRP,5.0,5.0,False,,,25,-38.208070197877674,17.0,-57.34061533103597,8.0,19.58870568066959,12.0,
2_family_sweep,XRP,5.0,10.0,True,,,12,8.376953365226806,8.0,36.247776219177695,4.0,-189.45876937069988,88.0,
