pair,entry_t,equity_before,stop_move_in_price_pct,risk_dollars,risk_share_of_account_pct,truncated_by_the_ceiling,face_value_times_account,exchange_leverage_wanted,exchange_leverage_set,margin_share_of_account_pct,liquidation_move_pct,guard_needs_pct,guard_would_refuse
SOL/USD,2025-08-17 16:00:00,1347.463553729231,0.5264177004401988,299.43634527316243,22.22222222222222,False,42.21404828074673,422.14048280746727,75.0,56.28539770766231,1.3333333333333333,1.5792531013205964,True
BTC/USD,2025-08-17 16:00:00,972.1638993304005,0.17105657532348928,216.0364220734223,22.222222222222218,False,129.91153470831057,1299.1153470831057,150.0,86.60768980554037,0.6666666666666666,0.5131697259704678,False
DOT/USD,2025-08-18 12:00:00,604.3767226768866,1.1358440575081787,134.30593837264146,22.22222222222222,False,19.564501020477636,195.64501020477636,75.0,26.08600136063685,1.3333333333333333,3.407532172524536,True
ETH/USD,2025-08-22 10:00:00,1113.017697660791,0.28778275651757157,247.33726614684247,22.22222222222222,False,77.21874128641674,772.1874128641674,150.0,51.47916085761117,0.6666666666666666,0.8633482695527147,True
XRP/USD,2025-08-23 07:00:00,762.0882249434915,0.21059895384075195,80.24749145372748,10.529947692037599,True,50.0,500.0,50.0,100.0,2.0,0.6317968615222559,False
ETH/USD,2025-08-24 11:00:00,1033.8785948914094,0.623941203195407,229.75079886475763,22.22222222222222,False,35.6158915430091,356.158915430091,150.0,23.7439276953394,0.6666666666666666,1.871823609586221,True
ETH/USD,2025-08-24 19:00:00,1908.4988919754335,0.38916780194088824,424.11086488342966,22.22222222222222,False,57.10190337277084,571.0190337277085,150.0,38.06793558184723,0.6666666666666666,1.1675034058226648,True
ETH/USD,2025-08-26 12:00:00,1777.144441224294,1.6419978740166485,394.92098693873197,22.222222222222218,False,13.533648595940207,135.33648595940204,136.0,9.951212202897208,0.7352941176470589,4.925993622049946,True
DOT/USD,2025-08-27 11:00:00,1353.2340080737415,0.43079932060322135,300.71866846083145,22.222222222222225,False,51.583698393734316,515.8369839373431,75.0,68.77826452497908,1.3333333333333333,1.292397961809664,False
ETH/USD,2025-08-27 18:00:00,883.7771759059668,1.0044352101602503,196.39492797910373,22.22222222222222,False,22.12409720152764,221.24097201527638,150.0,14.74939813435176,0.6666666666666666,3.013305630480751,True
ETH/USD,2025-08-28 14:00:00,663.814904244492,0.3354397275187105,147.51442316544265,22.22222222222222,False,66.24803325057162,662.4803325057162,150.0,44.16535550038108,0.6666666666666666,1.0063191825561315,True
DOT/USD,2025-08-28 17:00:00,463.29481642672425,0.7072079502008495,102.95440365038316,22.22222222222222,False,31.422472295328458,314.2247229532846,75.0,41.89662972710461,1.3333333333333333,2.1216238506025484,True
XRP/USD,2025-08-29 02:00:00,428.1042925870444,0.5187339346538805,95.13428724156542,22.222222222222218,False,42.83934544796987,428.3934544796987,50.0,85.67869089593974,2.0,1.5562018039616416,False
SOL/USD,2025-08-29 12:00:00,784.9616056356701,1.020230933493549,174.43591236348223,22.22222222222222,False,21.78156091202535,217.81560912025347,75.0,29.042081216033793,1.3333333333333333,3.060692800480647,True
SOL/USD,2025-09-05 01:00:00,1459.9020881509705,0.8144325960269979,324.4226862557712,22.22222222222222,False,27.285526550174534,272.85526550174535,75.0,36.38070206689938,1.3333333333333333,2.4432977880809936,True
DOT/USD,2025-09-06 16:00:00,1082.3525818379558,0.29983613149825455,240.52279596399015,22.222222222222218,False,74.11455754574924,741.1455754574923,75.0,98.81941006099898,1.3333333333333333,0.8995083944947636,False
DOT/USD,2025-09-07 03:00:00,647.9197814328984,0.5388810446001885,143.98217365175518,22.22222222222222,False,41.23771367521292,412.3771367521293,75.0,54.98361823361724,1.3333333333333333,1.6166431338005653,True
DOT/USD,2025-09-08 19:00:00,439.350809375362,0.6410734252702156,97.6335131945249,22.22222222222222,False,34.664082687338734,346.6408268733873,75.0,46.218776916451645,1.3333333333333333,1.9232202758106467,True
BTC/USD,2025-09-09 05:00:00,402.53629454599206,0.13003820030909732,78.51764295278028,19.5057300463646,True,150.0,1500.0,150.0,99.99999999999999,0.6666666666666666,0.390114600927292,False
SOL/USD,2025-09-11 02:00:00,251.46822679198834,0.22970629770651668,43.32287652540774,17.227972327988752,True,75.0,749.9999999999999,75.0,99.99999999999999,1.3333333333333333,0.6891188931195501,False
