section,asset,tf,direction,age_cutoff,touch_cutoff,dist_bar_cutoff,dist_atr_cutoff,bucket,split,n_trades,expectancy,trades_per_year,win_rate_pct
level_sweep,BTC,4h,short,100.0,1.0,,,STRUCTURAL,train,37,-127.19726699668875,9.75,45.94594594594595
level_sweep,BTC,4h,short,100.0,1.0,,,LOCAL,train,170,-41.98084170350285,44.8,42.35294117647059
level_sweep,BTC,4h,short,100.0,2.0,,,STRUCTURAL,train,36,-138.80997049534722,9.49,41.66666666666667
level_sweep,BTC,4h,short,100.0,2.0,,,LOCAL,train,170,-41.98084170350285,44.8,42.35294117647059
level_sweep,BTC,4h,short,100.0,3.0,,,STRUCTURAL,train,32,-118.67136029412052,8.43,43.75
level_sweep,BTC,4h,short,100.0,3.0,,,LOCAL,train,171,-42.90052528834912,45.06,42.10526315789473
level_sweep,BTC,4h,short,200.0,1.0,,,STRUCTURAL,train,27,-157.1284716004617,7.12,40.74074074074074
level_sweep,BTC,4h,short,200.0,1.0,,,LOCAL,train,170,-41.24686625222658,44.8,42.35294117647059
level_sweep,BTC,4h,short,200.0,2.0,,,STRUCTURAL,train,24,-161.2594560127766,6.32,37.5
level_sweep,BTC,4h,short,200.0,2.0,,,LOCAL,train,170,-41.24686625222658,44.8,42.35294117647059
level_sweep,BTC,4h,short,200.0,3.0,,,STRUCTURAL,train,23,-182.55457749029395,6.06,34.78260869565217
level_sweep,BTC,4h,short,200.0,3.0,,,LOCAL,train,171,-42.221618881018735,45.06,42.10526315789473
level_sweep,BTC,4h,short,500.0,1.0,,,STRUCTURAL,train,12,-180.14695539814116,3.16,41.66666666666667
level_sweep,BTC,4h,short,500.0,1.0,,,LOCAL,train,171,-41.143960443892624,45.06,42.10526315789473
level_sweep,BTC,4h,short,500.0,2.0,,,STRUCTURAL,train,10,-246.787182809375,2.64,30.0
level_sweep,BTC,4h,short,500.0,2.0,,,LOCAL,train,171,-41.143960443892624,45.06,42.10526315789473
level_sweep,BTC,4h,short,500.0,3.0,,,STRUCTURAL,train,10,-246.787182809375,2.64,30.0
level_sweep,BTC,4h,short,500.0,3.0,,,LOCAL,train,172,-42.10407593295365,45.33,41.86046511627907
level_selected,BTC,4h,short,20.0,1.0,,,STRUCTURAL,train,95,-73.85657373253326,25.04,41.05263157894737
level_selected,BTC,4h,short,20.0,1.0,,,STRUCTURAL,val,27,68.95408014615417,21.35,55.55555555555556
level_selected,BTC,4h,short,20.0,1.0,,,LOCAL,train,164,-41.003321495583585,43.22,43.292682926829265
level_selected,BTC,4h,short,20.0,1.0,,,LOCAL,val,58,-23.552050939547026,45.85,50.0
fresh_sweep,BTC,1h,long,,,10.0,,FRESH,train,178,-21.788171673594242,46.87,50.56179775280899
fresh_sweep,BTC,1h,long,,,10.0,,EXTENDED,train,71,-16.410916957815957,18.69,50.70422535211267
fresh_sweep,BTC,1h,long,,,20.0,,FRESH,train,218,-15.724384386151328,57.4,51.37614678899083
fresh_sweep,BTC,1h,long,,,20.0,,EXTENDED,train,6,-29.743463143236415,1.58,50.0
fresh_sweep,BTC,1h,long,,,40.0,,FRESH,train,221,-15.163366441062678,58.19,51.13122171945701
fresh_sweep,BTC,1h,long,,,40.0,,EXTENDED,train,0,0.0,,0.0
fresh_sweep,BTC,1h,long,,,80.0,,FRESH,train,221,-15.163366441062678,58.19,51.13122171945701
fresh_sweep,BTC,1h,long,,,80.0,,EXTENDED,train,0,0.0,,0.0
fresh_sweep,BTC,1h,long,,,150.0,,FRESH,train,221,-15.163366441062678,58.19,51.13122171945701
fresh_sweep,BTC,1h,long,,,150.0,,EXTENDED,train,0,0.0,,0.0
fresh_sweep,BTC,1h,long,,,,2.0,FRESH,train,135,-5.975454880148983,35.54,55.55555555555556
fresh_sweep,BTC,1h,long,,,,2.0,EXTENDED,train,119,-12.875666208123588,31.33,47.89915966386555
fresh_sweep,BTC,1h,long,,,,4.0,FRESH,train,193,-6.760031407531774,50.82,54.40414507772021
fresh_sweep,BTC,1h,long,,,,4.0,EXTENDED,train,39,-38.188763223887996,10.27,41.02564102564102
fresh_sweep,BTC,1h,long,,,,6.0,FRESH,train,214,-12.076998363504428,56.34,52.336448598130836
fresh_sweep,BTC,1h,long,,,,6.0,EXTENDED,train,12,-144.4720171569676,3.16,33.33333333333333
fresh_sweep,BTC,1h,long,,,,10.0,FRESH,train,221,-15.163366441062678,58.19,51.13122171945701
fresh_sweep,BTC,1h,long,,,,10.0,EXTENDED,train,0,0.0,,0.0
fresh_sweep,BTC,1h,long,,,,15.0,FRESH,train,221,-15.163366441062678,58.19,51.13122171945701
fresh_sweep,BTC,1h,long,,,,15.0,EXTENDED,train,0,0.0,,0.0
fresh_selected,BTC,1h,long,,,,4.0,FRESH,train,193,-6.760031407531774,50.82,54.40414507772021
fresh_selected,BTC,1h,long,,,,4.0,FRESH,val,85,-37.146857688658706,67.14,47.05882352941176
fresh_selected,BTC,1h,long,,,,4.0,EXTENDED,train,39,-38.188763223887996,10.27,41.02564102564102
fresh_selected,BTC,1h,long,,,,4.0,EXTENDED,val,12,-0.21793350051924185,9.48,50.0
fresh_sweep,BTC,4h,long,,,10.0,,FRESH,train,41,61.093582840794625,10.8,63.41463414634146
fresh_sweep,BTC,4h,long,,,10.0,,EXTENDED,train,2,186.79396373571672,0.53,100.0
fresh_sweep,BTC,4h,long,,,20.0,,FRESH,train,41,61.093582840794625,10.8,63.41463414634146
fresh_sweep,BTC,4h,long,,,20.0,,EXTENDED,train,0,0.0,,0.0
fresh_sweep,BTC,4h,long,,,40.0,,FRESH,train,41,61.093582840794625,10.8,63.41463414634146
fresh_sweep,BTC,4h,long,,,40.0,,EXTENDED,train,0,0.0,,0.0
fresh_sweep,BTC,4h,long,,,80.0,,FRESH,train,41,61.093582840794625,10.8,63.41463414634146
fresh_sweep,BTC,4h,long,,,80.0,,EXTENDED,train,0,0.0,,0.0
fresh_sweep,BTC,4h,long,,,150.0,,FRESH,train,41,61.093582840794625,10.8,63.41463414634146
fresh_sweep,BTC,4h,long,,,150.0,,EXTENDED,train,0,0.0,,0.0
fresh_sweep,BTC,4h,long,,,,2.0,FRESH,train,34,1.9816061574822872,8.96,61.76470588235294
fresh_sweep,BTC,4h,long,,,,2.0,EXTENDED,train,9,324.59917226139663,2.37,77.77777777777779
fresh_sweep,BTC,4h,long,,,,4.0,FRESH,train,40,53.785586812414614,10.54,62.5
fresh_sweep,BTC,4h,long,,,,4.0,EXTENDED,train,1,290.841171633856,0.26,100.0
fresh_sweep,BTC,4h,long,,,,6.0,FRESH,train,41,61.093582840794625,10.8,63.41463414634146
fresh_sweep,BTC,4h,long,,,,6.0,EXTENDED,train,0,0.0,,0.0
fresh_sweep,BTC,4h,long,,,,10.0,FRESH,train,41,61.093582840794625,10.8,63.41463414634146
fresh_sweep,BTC,4h,long,,,,10.0,EXTENDED,train,0,0.0,,0.0
fresh_sweep,BTC,4h,long,,,,15.0,FRESH,train,41,61.093582840794625,10.8,63.41463414634146
fresh_sweep,BTC,4h,long,,,,15.0,EXTENDED,train,0,0.0,,0.0
