name,n_tr,n_va,mean_tr,mean_va,gross_tr,gross_va,R_tr,win_tr,stop_tr,lev,verdict,n_assets_pos,arm,filt
"1h swing high -> 1m BOS, target 1R",385,142,-0.4429355209969479,-0.3902659167217281,0.05706447900305213,0.10973408327827187,-3.729212281853667,6.493506493506493,0.24347379246399778,4.107218234372675,reject,0,EQ,EQ
"1h swing high -> 1m BOS, target 2R",385,142,-0.41080232563009667,-0.3574298684339072,0.08919767436990332,0.1425701315660928,-3.5577837104250953,17.92207792207792,0.24347379246399778,4.107218234372675,reject,0,EQ,EQ
"1h swing high -> 1m BOS, target 3R",385,142,-0.40357083447839426,-0.3342391571145675,0.09642916552160576,0.16576084288543252,-3.5162252688666538,18.441558441558442,0.24347379246399778,4.107218234372675,reject,0,EQ,EQ
"4h swing low -> 1m BOS, hold 24h",181,76,-0.16423405703629962,-0.34674803829461043,0.3357659429637003,0.15325196170538963,-2.4597741147001777,14.917127071823206,0.2529829916754638,3.952834905529294,reject,1,EQ,EQ
"4h swing low -> 1m BOS, target 1R",181,76,-0.44775404960819226,-0.4380780659877422,0.05224595039180776,0.06192193401225789,-3.641916234720344,4.972375690607735,0.2529829916754638,3.952834905529294,reject,0,EQ,EQ
"4h swing low -> 1m BOS, target 2R",181,76,-0.3991920470714784,-0.35808147333294604,0.10080795292852164,0.141918526667054,-3.487220102123659,21.54696132596685,0.2529829916754638,3.952834905529294,reject,0,EQ,EQ
"4h swing low -> 1m BOS, target 3R",181,76,-0.33335396588550303,-0.34459045730442933,0.16664603411449697,0.15540954269557072,-3.266225626985538,24.30939226519337,0.2529829916754638,3.952834905529294,reject,0,EQ,EQ
"4h swing high -> 1m BOS, hold 24h",171,77,-0.48594460550901486,-0.14355647563589508,0.014055394490985187,0.3564435243641049,-3.3099583672658905,8.187134502923977,0.22904271517673583,4.3659978411815965,reject,0,EQ,EQ
"4h swing high -> 1m BOS, target 1R",171,77,-0.4520450249883889,-0.39222997472236587,0.04795497501161108,0.10777002527763406,-3.744838011943355,4.678362573099415,0.22904271517673583,4.3659978411815965,reject,0,EQ,EQ
"4h swing high -> 1m BOS, target 2R",171,77,-0.4386256253234701,-0.29078915543805733,0.06137437467652984,0.2092108445619427,-3.5752473686685002,15.204678362573098,0.22904271517673583,4.3659978411815965,reject,0,EQ,EQ
"4h swing high -> 1m BOS, target 3R",171,77,-0.4673606183438055,-0.273562857392722,0.032639381656194524,0.22643714260727796,-3.6512707604813666,14.619883040935672,0.22904271517673583,4.3659978411815965,reject,0,EQ,EQ
"prev day low -> 1m BOS, hold 24h",138,62,-0.31925465295439315,-0.8228211427815824,0.18074534704560685,-0.3228211427815822,-5.846109182763229,9.420289855072465,0.2848320642532688,3.5108406864994444,reject,0,EQ_C,EQ_C
"prev day low -> 1m BOS, target 1R",138,62,-0.4730432358808726,-0.5494750339183905,0.026956764119127473,-0.04947503391839028,-7.380783373235421,4.3478260869565215,0.2848320642532688,3.5108406864994444,reject,0,EQ_C,EQ_C
"prev day low -> 1m BOS, target 2R",138,62,-0.5314559272608619,-0.5666914626062636,-0.03145592726086194,-0.06669146260626337,-7.48223264859774,14.492753623188406,0.2848320642532688,3.5108406864994444,reject,0,EQ_C,EQ_C
"prev day low -> 1m BOS, target 3R",138,62,-0.5020721556688738,-0.6080718100415389,-0.0020721556688737203,-0.10807181004153868,-7.380783373235421,18.84057971014493,0.2848320642532688,3.5108406864994444,reject,0,EQ_C,EQ_C
"prev day high -> 1m BOS, hold 24h",161,40,-0.336854858357126,-0.47687012568300646,0.16314514164287405,0.023129874316993454,-4.115142311570386,13.664596273291925,0.30344459386119493,3.2954945325453098,reject,1,EQ_C,EQ_C
"prev day high -> 1m BOS, target 1R",161,40,-0.4741774372891157,-0.4642081717440146,0.02582256271088434,0.03579182825598547,-5.035755001830194,8.074534161490684,0.30344459386119493,3.2954945325453098,reject,0,EQ_C,EQ_C
"prev day high -> 1m BOS, target 2R",161,40,-0.41152949355879576,-0.44288066497898504,0.08847050644120429,0.05711933502101492,-4.861841958351933,21.11801242236025,0.30344459386119493,3.2954945325453098,reject,0,EQ_C,EQ_C
"prev day high -> 1m BOS, target 3R",161,40,-0.35596237834270117,-0.5896962273480642,0.14403762165729883,-0.08969622734806418,-4.675506554625225,22.981366459627328,0.30344459386119493,3.2954945325453098,reject,0,EQ_C,EQ_C
"last session low -> 1m BOS, hold 24h",281,71,-0.41566056898104736,-0.3934659941246976,0.0843394310189526,0.10653400587530226,-5.551254652705628,8.540925266903916,0.2822766744589539,3.5426235692932218,reject,0,EQ_C,EQ_C
"last session low -> 1m BOS, target 1R",281,71,-0.4634866734748841,-0.4526566374258592,0.03651332652511595,0.047343362574140756,-5.654740708118777,6.049822064056939,0.2822766744589539,3.5426235692932218,reject,0,EQ_C,EQ_C
"last session low -> 1m BOS, target 2R",281,71,-0.47275748062316014,-0.3600814260376868,0.027242519376839833,0.13991857396231316,-5.629829676090307,16.72597864768683,0.2822766744589539,3.5426235692932218,reject,0,EQ_C,EQ_C
"last session low -> 1m BOS, target 3R",281,71,-0.4508142587520964,-0.2545797677062067,0.04918574124790361,0.2454202322937934,-5.491039640503119,19.217081850533805,0.2822766744589539,3.5426235692932218,reject,0,EQ_C,EQ_C
"last session high -> 1m BOS, hold 24h",289,92,-0.6236677527436394,-0.40170787716990713,-0.12366775274363935,0.09829212283009278,-6.503471695802229,6.920415224913495,0.32503344422982094,3.0766064777411994,reject,0,EQ_C,EQ_C
"last session high -> 1m BOS, target 1R",289,92,-0.5623340674981905,-0.4553657336046586,-0.062334067498190496,0.044634266395341377,-6.235170125156672,5.536332179930796,0.32503344422982094,3.0766064777411994,reject,0,EQ_C,EQ_C
"last session high -> 1m BOS, target 2R",289,92,-0.5799770529255146,-0.46187295327483896,-0.0799770529255145,0.03812704672516109,-6.217869087094388,14.186851211072666,0.32503344422982094,3.0766064777411994,reject,0,EQ_C,EQ_C
"last session high -> 1m BOS, target 3R",289,92,-0.5777265258398809,-0.4973578228710817,-0.07772652583988089,0.0026421771289183126,-6.249010955606498,14.186851211072666,0.32503344422982094,3.0766064777411994,reject,0,EQ_C,EQ_C
"1h swing low -> 1m BOS, hold 24h",430,116,-0.5143733646310847,-0.675505564966327,-0.014373364631084738,-0.17550556496632708,-4.593137946673241,8.13953488372093,0.3063823586330192,3.2638954947069485,reject,0,EQ_C,EQ_C
"1h swing low -> 1m BOS, target 1R",430,116,-0.46037978733568,-0.47877237741108913,0.039620212664320004,0.021227622588910863,-4.483539084149535,8.13953488372093,0.3063823586330192,3.2638954947069485,reject,0,EQ_C,EQ_C
"1h swing low -> 1m BOS, target 2R",430,116,-0.4331373560233028,-0.4589891490030239,0.0668626439766972,0.04101085099697607,-4.376562339963488,21.3953488372093,0.3063823586330192,3.2638954947069485,reject,0,EQ_C,EQ_C
"1h swing low -> 1m BOS, target 3R",430,116,-0.43666203123096836,-0.45986168045170756,0.06333796876903164,0.0401383195482924,-4.3812135027541865,21.627906976744185,0.3063823586330192,3.2638954947069485,reject,0,EQ_C,EQ_C
"1h swing high -> 1m BOS, hold 24h",476,140,-0.4980071253719926,-0.43022453350765716,0.0019928746280074394,0.06977546649234281,-5.534523613790134,8.403361344537815,0.33431474326003274,2.9911932397853955,reject,0,EQ_C,EQ_C
"1h swing high -> 1m BOS, target 1R",476,140,-0.4983053792541923,-0.45844204340238254,0.001694620745807684,0.04155795659761744,-5.529322501385501,7.9831932773109235,0.33431474326003274,2.9911932397853955,reject,0,EQ_C,EQ_C
"1h swing high -> 1m BOS, target 2R",476,140,-0.47994261996949383,-0.4261697916932764,0.020057380030506156,0.07383020830672361,-5.466297291301467,23.10924369747899,0.33431474326003274,2.9911932397853955,reject,0,EQ_C,EQ_C
"1h swing high -> 1m BOS, target 3R",476,140,-0.48200444106066337,-0.49408185660535053,0.017995558939336596,0.005918143394649486,-5.487305694662812,20.798319327731093,0.33431474326003274,2.9911932397853955,reject,0,EQ_C,EQ_C
"4h swing low -> 1m BOS, hold 24h",210,59,-0.5052596265732073,-0.5276592850905961,-0.005259626573207242,-0.027659285090596123,-5.2459873925832134,7.142857142857142,0.27185921455352346,3.678374491158256,reject,0,EQ_C,EQ_C
"4h swing low -> 1m BOS, target 1R",210,59,-0.48467713057325024,-0.4622956246704469,0.01532286942674977,0.037704375329553126,-5.153543890899417,5.714285714285714,0.27185921455352346,3.678374491158256,reject,0,EQ_C,EQ_C
