instrument_tf,lookback,exit,tr_n,tr_exp,tr_win,tr_avg_lev,tr_med_hold_h,tr_skipped_no_structure,raw_signal_events_per_year
CL=F_1h,10,structure_trail,233,-10.900649077934059,0.33476394849785407,1.4009628207632332,23.0,0,1029.8955032119916
CL=F_1h,10,ema20_cross,473,-20.930016232602693,0.2769556025369979,5.527947887960766,8.0,0,1029.8955032119916
CL=F_1h,10,ema50_cross,331,-29.998987633529957,0.2688821752265861,6.914769322012148,11.0,0,1029.8955032119916
CL=F_1h,10,chandelier2.5,519,-14.205669728889148,0.29865125240847784,2.3770284683396232,8.0,0,1029.8955032119916
CL=F_1h,10,chandelier3.0,419,-13.416560537918985,0.3269689737470167,1.852161625814627,13.0,0,1029.8955032119916
CL=F_1h,10,chandelier3.5,351,-10.71575433062499,0.3418803418803419,1.508146804569703,17.0,0,1029.8955032119916
CL=F_1h,10,chandelier4.0,288,-5.281843194175246,0.3645833333333333,1.1947507764589353,20.0,0,1029.8955032119916
CL=F_1h,15,structure_trail,219,-8.693879397003416,0.3424657534246575,1.1920246199155193,24.0,0,822.5815845824411
CL=F_1h,15,ema20_cross,379,-22.335297463836184,0.2928759894459103,3.50988878528624,11.0,0,822.5815845824411
CL=F_1h,15,ema50_cross,293,-33.4367539948755,0.2764505119453925,5.78104256754992,13.0,0,822.5815845824411
CL=F_1h,15,chandelier2.5,441,-14.919297953486494,0.2743764172335601,2.4371675120146907,8.0,0,822.5815845824411
CL=F_1h,15,chandelier3.0,377,11.386117913050631,0.2891246684350133,1.919523446468329,13.0,0,822.5815845824411
CL=F_1h,15,chandelier3.5,327,-9.496291883700067,0.3180428134556575,1.4544269989739766,17.0,0,822.5815845824411
CL=F_1h,15,chandelier4.0,281,-11.29024162749087,0.33807829181494664,1.1874369144071495,20.0,0,822.5815845824411
CL=F_1h,20,structure_trail,198,-10.365768727262104,0.3484848484848485,1.0385151432547215,25.0,0,664.9062098501071
CL=F_1h,20,ema20_cross,302,-25.106125129664637,0.2980132450331126,2.5790958285851255,13.0,0,664.9062098501071
CL=F_1h,20,ema50_cross,247,-35.90636136353579,0.27530364372469635,4.2498955540285435,15.0,0,664.9062098501071
CL=F_1h,20,chandelier2.5,360,-11.968058496443804,0.2722222222222222,2.4605340019354363,9.5,0,664.9062098501071
CL=F_1h,20,chandelier3.0,313,16.785511198305265,0.2939297124600639,1.84145267521615,14.0,0,664.9062098501071
CL=F_1h,20,chandelier3.5,279,-11.809353471629892,0.3225806451612903,1.3970326358804452,17.0,0,664.9062098501071
CL=F_1h,20,chandelier4.0,251,-11.777144486496358,0.3346613545816733,1.162004521905338,20.0,0,664.9062098501071
CL=F_1h,25,structure_trail,183,-3.893416121951938,0.34972677595628415,0.9446224475818891,27.0,0,573.5546038543897
CL=F_1h,25,ema20_cross,249,-21.5451415037384,0.3172690763052209,2.2533237978700473,14.0,0,573.5546038543897
CL=F_1h,25,ema50_cross,200,-16.660350962330437,0.295,2.896229838519579,19.0,0,573.5546038543897
CL=F_1h,25,chandelier2.5,303,-8.089644965650873,0.28052805280528054,2.3610558082871993,10.0,0,573.5546038543897
CL=F_1h,25,chandelier3.0,260,25.665010655086487,0.3269230769230769,1.7124451378858223,14.5,0,573.5546038543897
CL=F_1h,25,chandelier3.5,233,-6.6371485284134515,0.34763948497854075,1.3544813949897407,18.0,0,573.5546038543897
CL=F_1h,25,chandelier4.0,209,-6.476514186837083,0.3444976076555024,1.1410382870904674,21.0,0,573.5546038543897
CL=F_1h,30,structure_trail,174,2.020823485268881,0.3448275862068966,0.9091075894884072,27.5,0,526.4188436830835
CL=F_1h,30,ema20_cross,232,-22.178359445906466,0.3146551724137931,2.2104302456124993,14.0,0,526.4188436830835
CL=F_1h,30,ema50_cross,183,5.306931466476739,0.3114754098360656,2.405986297566815,21.0,0,526.4188436830835
CL=F_1h,30,chandelier2.5,283,-10.257719767859006,0.2862190812720848,2.4180308313366834,9.0,0,526.4188436830835
CL=F_1h,30,chandelier3.0,245,40.190085846087754,0.3306122448979592,1.7779705383557851,14.0,0,526.4188436830835
CL=F_1h,30,chandelier3.5,219,-4.004347764565441,0.3378995433789954,1.3903499769987289,18.0,0,526.4188436830835
CL=F_1h,30,chandelier4.0,198,-6.63421824085473,0.32323232323232326,1.1658272566123524,21.0,0,526.4188436830835
CL=F_1h,35,structure_trail,167,4.951569153617483,0.33532934131736525,0.9257870471495946,28.0,0,494.2997858672377
CL=F_1h,35,ema20_cross,225,-25.287725033727583,0.31555555555555553,2.190436752759557,14.0,0,494.2997858672377
CL=F_1h,35,ema50_cross,174,5.235498955122777,0.3045977011494253,2.2303338664869274,21.5,0,494.2997858672377
CL=F_1h,35,chandelier2.5,271,-8.35650861301475,0.28413284132841327,2.501262797813965,9.0,0,494.2997858672377
CL=F_1h,35,chandelier3.0,237,42.774316854514765,0.3206751054852321,1.867908216572747,14.0,0,494.2997858672377
CL=F_1h,35,chandelier3.5,213,-8.01534933196338,0.3192488262910798,1.4229086493963896,17.0,0,494.2997858672377
CL=F_1h,35,chandelier4.0,192,-10.010135657148888,0.3125,1.1872072539008804,21.0,0,494.2997858672377
CL=F_1h,40,structure_trail,155,-1.2168735466637723,0.3548387096774194,0.9162953749885011,28.0,0,463.4321199143469
CL=F_1h,40,ema20_cross,209,-28.618574758051373,0.2966507177033493,2.005595595677172,14.0,0,463.4321199143469
CL=F_1h,40,ema50_cross,157,-13.274681827785223,0.29936305732484075,1.691670710808025,23.0,0,463.4321199143469
CL=F_1h,40,chandelier2.5,250,-8.830435773586476,0.276,2.469563034955261,10.0,0,463.4321199143469
CL=F_1h,40,chandelier3.0,218,-15.138283230059354,0.3165137614678899,1.7875531791918733,14.0,0,463.4321199143469
CL=F_1h,40,chandelier3.5,199,-20.42610747235801,0.31155778894472363,1.3926170188261704,18.0,0,463.4321199143469
CL=F_1h,40,chandelier4.0,180,-19.767136208671303,0.28888888888888886,1.1591723326299614,21.0,0,463.4321199143469
CL=F_1h,45,structure_trail,151,-6.512384934099094,0.33112582781456956,0.8904292853796562,28.0,0,437.57002141327627
CL=F_1h,45,ema20_cross,201,-31.721908327995653,0.27860696517412936,1.9458492145896922,14.0,0,437.57002141327627
CL=F_1h,45,ema50_cross,150,-18.62328544780217,0.2733333333333333,1.5214112570945562,23.0,0,437.57002141327627
CL=F_1h,45,chandelier2.5,236,-10.281123962146308,0.2796610169491525,2.379600687042056,10.0,0,437.57002141327627
CL=F_1h,45,chandelier3.0,210,-20.90652194614983,0.3047619047619048,1.744468485435194,14.0,0,437.57002141327627
CL=F_1h,45,chandelier3.5,192,-24.047931110270984,0.3020833333333333,1.3624986163311323,18.0,0,437.57002141327627
CL=F_1h,45,chandelier4.0,173,-22.08536785001863,0.28901734104046245,1.1354742519868801,21.0,0,437.57002141327627
CL=F_1h,50,structure_trail,138,-3.7495072688996522,0.35507246376811596,0.8540170711954624,28.5,0,415.04496788008566
CL=F_1h,50,ema20_cross,186,-34.225686069326436,0.2956989247311828,1.9364593911575743,14.5,0,415.04496788008566
CL=F_1h,50,ema50_cross,138,-15.891320407897648,0.26811594202898553,1.4015619101584569,24.0,0,415.04496788008566
CL=F_1h,50,chandelier2.5,217,-11.690090935432776,0.29493087557603687,2.3215857023570976,10.0,0,415.04496788008566
CL=F_1h,50,chandelier3.0,194,-22.83478515788797,0.31958762886597936,1.7149455084932355,14.5,0,415.04496788008566
CL=F_1h,50,chandelier3.5,179,-25.55267132847074,0.3128491620111732,1.3533755878880138,18.0,0,415.04496788008566
CL=F_1h,50,chandelier4.0,161,-23.813965201006212,0.2919254658385093,1.1282501868046,21.0,0,415.04496788008566
CL=F_1h,55,structure_trail,134,-9.166919388191957,0.3582089552238806,0.8640266520708482,28.0,0,398.77687366167027
CL=F_1h,55,ema20_cross,179,-36.29130447080383,0.29608938547486036,1.9488578927075955,15.0,0,398.77687366167027
CL=F_1h,55,ema50_cross,131,-19.540264791717473,0.2824427480916031,1.3687066705384863,25.0,0,398.77687366167027
CL=F_1h,55,chandelier2.5,210,-22.43831218346326,0.29523809523809524,2.2396515987134533,10.0,0,398.77687366167027
CL=F_1h,55,chandelier3.0,187,-28.40515492129603,0.32620320855614976,1.6919677040455436,14.0,0,398.77687366167027
CL=F_1h,55,chandelier3.5,173,-28.971359695957037,0.30057803468208094,1.350120259034221,17.0,0,398.77687366167027
CL=F_1h,55,chandelier4.0,155,-26.046456289103094,0.2967741935483871,1.1303585512723104,21.0,0,398.77687366167027
