name,n_tr,n_va,mean_tr,mean_va,R_tr,R_va,win_tr,stop_tr,lev_at_1pct,thick_x,verdict,extra
"sweep opening-range low -> BOS long 09:30-12:00, hold to close",1213,436,-0.00575364498722543,-0.03378603949424577,-0.24149295445391833,-0.2494959373523526,32.97609233305853,0.2576442765184154,3.8813204528085987,-0.14384112468063576,reject,
"sweep opening-range low -> BOS long 09:30-12:00, target 1R",1213,436,-0.02426685753469105,-0.025889882646895075,-0.3299817286659253,-0.3130579968910901,47.32069249793899,0.2576442765184154,3.8813204528085987,-0.6066714383672762,reject,
"sweep opening-range low -> BOS long 09:30-12:00, target 2R",1213,436,-0.014676978156116124,-0.03459472243445621,-0.28974445047244834,-0.3517179593896603,37.26298433635614,0.2576442765184154,3.8813204528085987,-0.36692445390290307,reject,
"sweep opening-range low -> BOS long 09:30-12:00, target 3R",1213,436,-0.011359708302162243,-0.04493238338996193,-0.29165574113055426,-0.40377330394179184,34.46001648804617,0.2576442765184154,3.8813204528085987,-0.2839927075540561,reject,
"sweep opening-range low -> BOS long all session, hold to close",4462,1621,-0.03167453209125237,-0.02583801205751352,-0.41914598100295203,-0.15512436350243464,30.90542357687136,0.22088613515492428,4.527219416911903,-0.7918633022813093,reject,
"sweep opening-range low -> BOS long all session, target 1R",4462,1621,-0.040371573403262355,-0.0380568918088072,-0.4717629114697985,-0.36320691365680396,43.72478709099059,0.22088613515492428,4.527219416911903,-1.0092893350815588,reject,
"sweep opening-range low -> BOS long all session, target 2R",4462,1621,-0.04027962453337681,-0.03883423220461546,-0.45928189831349453,-0.3430960360288575,35.20842671447782,0.22088613515492428,4.527219416911903,-1.0069906133344202,reject,
"sweep opening-range low -> BOS long all session, target 3R",4462,1621,-0.03596642702339289,-0.03532423532561774,-0.44150115430746617,-0.32053665185210106,32.877633348274315,0.22088613515492428,4.527219416911903,-0.8991606755848222,reject,
"sweep opening-range high -> BOS short 09:30-10:30, hold to close",154,63,-0.08775394353903984,-0.053706931640697786,-0.37476632771600504,-0.0574675843832492,22.727272727272727,0.23737211852548218,4.212794687985434,-2.193848588475996,reject,
"sweep opening-range high -> BOS short 09:30-10:30, target 1R",154,63,-0.06450258220455714,-0.11105052742991518,-0.375584848409838,-0.27139869247741677,43.506493506493506,0.23737211852548218,4.212794687985434,-1.6125645551139285,reject,
