tool,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,hold_hours,stop_pct,leverage,notional,gross_pnl,fees,funding_cost,net_pnl,overlap_tag
O-1H,1,2024-09-06 13:00:00+00:00,70.02999877929688,2024-09-06 14:00:00+00:00,68.91000366210938,structure_floor,1.0,1.5993076348854753,20,5000.0,-79.96538174427376,1.9840069236511453,0.0,-81.94938866792491,transfer-assumption
O-1H,1,2024-09-09 16:00:00+00:00,68.8499984741211,2024-09-10 14:00:00+00:00,67.30999755859375,structure_floor,22.0,2.4400876432949365,20,5000.0,-111.83739648928167,1.9776325207021437,0.0,-113.81502900998382,transfer-assumption
O-1H,1,2024-09-11 16:00:00+00:00,67.7300033569336,2024-09-13 16:00:00+00:00,69.20999908447266,structure_floor,48.0,2.687139531402228,20,5000.0,109.25702452276299,2.021851404904553,0.0,107.23517311785844,transfer-assumption
O-1H,1,2024-09-16 13:00:00+00:00,70.30999755859375,2024-09-22 22:00:00+00:00,71.05999755859375,structure_floor,153.0,2.360967274008884,20,5000.0,53.335231549039506,2.0106670463098077,0.0,51.3245645027297,transfer-assumption
O-1H,1,2024-09-24 08:00:00+00:00,71.9000015258789,2024-09-25 07:00:00+00:00,71.08999633789062,structure_floor,23.0,3.351882629991245,20,5000.0,-56.328593240483926,1.9887342813519033,0.0,-58.31732752183583,transfer-assumption
O-1H,1,2024-09-30 05:00:00+00:00,69.0999984741211,2024-10-01 07:00:00+00:00,67.56999969482422,structure_floor,26.0,2.865406325993767,20,5000.0,-110.7090313373799,1.9778581937325237,0.0,-112.68688953111243,transfer-assumption
O-1H,1,2024-10-01 13:00:00+00:00,70.11000061035156,2024-10-08 08:00:00+00:00,75.36000061035156,structure_floor,163.0,3.622879608351222,20,5000.0,374.41163559374235,2.0748823271187486,0.0,372.3367532666236,transfer-assumption
O-1H,1,2024-10-10 09:00:00+00:00,74.33999633789062,2024-10-13 22:00:00+00:00,74.52999877929688,structure_floor,85.0,3.779926953213357,20,5000.0,12.779287783567389,2.0025558575567133,0.0,10.776731926010676,transfer-assumption
O-1H,1,2024-10-21 10:00:00+00:00,70.72000122070312,2024-10-24 14:00:00+00:00,70.12999725341797,structure_floor,76.0,2.432128380958792,20,5000.0,-41.71408067739356,1.9916571838645214,0.0,-43.70573786125808,transfer-assumption
O-1H,1,2024-10-25 12:00:00+00:00,71.12000274658203,2024-10-27 22:00:00+00:00,69.98999786376953,structure_floor,58.0,1.8982087336610869,20,5000.0,-79.44353481249037,1.984111293037502,0.0,-81.42764610552787,transfer-assumption
O-DONCH,1,2024-10-03 04:00:00+00:00,73.70999908447266,2024-10-28 04:00:00+00:00,68.69000244140625,structure_floor,600.0,11.450281571342707,10,2500.0,-170.26172518715617,0.9659476549625687,0.0,-171.22767284211875,transfer-assumption
O-1H,1,2024-10-29 11:00:00+00:00,68.22000122070312,2024-10-29 15:00:00+00:00,67.19000244140625,structure_floor,4.0,1.5098193504345692,20,5000.0,-75.49096752172846,1.9849018064956545,0.0,-77.47586932822412,transfer-assumption
O-1H,1,2024-10-30 12:00:00+00:00,68.3499984741211,2024-11-01 14:00:00+00:00,70.31999969482422,structure_floor,50.0,2.3847802338066235,20,5000.0,144.1112849072713,2.0288222569814542,0.0,142.08246265028987,transfer-assumption
O-1H,1,2024-11-04 09:00:00+00:00,71.45999908447266,2024-11-06 03:00:00+00:00,71.4000015258789,structure_floor,42.0,2.994681524021223,20,5000.0,-4.197982043270604,1.9991604035913457,0.0,-6.19714244686195,transfer-assumption
O-1H,1,2024-11-06 15:00:00+00:00,72.5199966430664,2024-11-08 15:00:00+00:00,70.66000366210938,structure_floor,48.0,3.157740474539525,20,5000.0,-128.2400073811134,1.974351998523777,0.0,-130.2143593796372,transfer-assumption
O-1H,1,2024-11-12 13:00:00+00:00,68.83000183105469,2024-11-13 13:00:00+00:00,67.77999877929688,structure_floor,24.0,1.5690858670984558,20,5000.0,-76.27509979841906,1.9847449800403163,0.0,-78.25984477845938,transfer-assumption
O-1H,1,2024-11-14 13:00:00+00:00,69.16000366210938,2024-11-15 04:00:00+00:00,68.0999984741211,structure_floor,15.0,1.7929517459575024,20,5000.0,-76.63426343693395,1.9846731473126131,0.0,-78.61893658424657,transfer-assumption
O-1H,1,2024-11-18 14:00:00+00:00,68.29000091552734,2024-11-19 15:00:00+00:00,68.44999694824219,structure_floor,25.0,2.357593481867257,20,5000.0,11.714455306037701,2.0023428910612076,0.0,9.712112414976493,transfer-assumption
O-1H,1,2024-11-20 07:00:00+00:00,69.72000122070312,2024-11-22 12:00:00+00:00,69.41000366210938,structure_floor,53.0,1.821578098429255,20,5000.0,-22.23160880422484,1.9955536782391552,0.0,-24.227162482463996,transfer-assumption
